x N
1.5524986E+0 1.3711287E+21
1.5410557E+0 1.4300274E+21
1.5304802E+0 1.4719037E+21
1.5195071E+0 1.4330559E+21
1.5081879E+0 1.4566341E+21
1.4974176E+0 1.4818820E+21
1.4863122E+0 1.4314536E+21
1.4745999E+0 1.4490399E+21
1.4636025E+0 1.4727976E+21
1.4520792E+0 1.4544454E+21
1.4406213E+0 1.4525782E+21
1.4288826E+0 1.4432165E+21
1.4170843E+0 1.4277072E+21
1.4048890E+0 1.4259383E+21
1.3928571E+0 1.4220795E+21
1.3803809E+0 1.4090246E+21
1.3679024E+0 1.4262750E+21
1.3555038E+0 1.4190103E+21
1.3426644E+0 1.3944727E+21
1.3295780E+0 1.4031112E+21
1.3166485E+0 1.3773316E+21
1.3028040E+0 1.3598730E+21
1.2892552E+0 1.3909386E+21
1.2757384E+0 1.3881045E+21
1.2618426E+0 1.3641747E+21
1.2475373E+0 1.3542316E+21
1.2331120E+0 1.3445856E+21
1.2182584E+0 1.3372970E+21
1.2033187E+0 1.3392369E+21
1.1881369E+0 1.3294815E+21
1.1725868E+0 1.3171258E+21
1.1567058E+0 1.3137601E+21
1.1406446E+0 1.3241157E+21
1.1245695E+0 1.3012626E+21
1.1074614E+0 1.2818399E+21
1.0903791E+0 1.2754843E+21
1.0725500E+0 1.2547727E+21
1.0543070E+0 1.2349532E+21
1.0352577E+0 1.2318367E+21
1.0162478E+0 1.2701223E+21
9.9766235E-1 1.2967560E+21
