x N
5.9461803E+4 5.4534020E+11
5.8708631E+4 6.1709691E+11
5.8124000E+4 7.3407050E+11
5.7571377E+4 7.8333452E+11
5.7048015E+4 7.6688478E+11
5.6461331E+4 7.0671192E+11
5.5831145E+4 7.2873274E+11
5.5269100E+4 7.0938663E+11
5.4591899E+4 8.1562002E+11
5.4181689E+4 8.3868435E+11
5.3521309E+4 7.0571641E+11
5.2897092E+4 7.4644665E+11
5.2292285E+4 7.7883455E+11
5.1705541E+4 7.9145403E+11
5.1106077E+4 7.6316623E+11
5.0460526E+4 7.3176195E+11
4.9791304E+4 8.0603504E+11
4.9252730E+4 8.1744027E+11
4.8584164E+4 7.8546391E+11
4.7981705E+4 7.7389571E+11
4.7275641E+4 7.4745886E+11
4.6608720E+4 7.6203491E+11
4.5908595E+4 7.8346875E+11
4.5260034E+4 8.5011831E+11
4.4647631E+4 8.2728925E+11
4.3944641E+4 8.0876879E+11
4.3282615E+4 7.9434784E+11
4.2531474E+4 8.4464455E+11
4.1933955E+4 8.8793105E+11
4.1226216E+4 8.5894439E+11
4.0564046E+4 8.9879052E+11
3.9894816E+4 8.7130491E+11
3.9166698E+4 9.1616718E+11
3.8544005E+4 9.5290078E+11
3.7843873E+4 9.5363934E+11
3.7200103E+4 9.9120497E+11
3.6527031E+4 1.0351736E+12
3.5917582E+4 1.0752007E+12
3.5269533E+4 1.0788458E+12
3.4642368E+4 1.1563145E+12
3.4058615E+4 1.2102572E+12
