x N
1.8557263E+0 2.7965885E+21
1.8510441E+0 1.9492193E+21
1.8422592E+0 1.3444775E+21
1.8314373E+0 1.2270450E+21
1.8206612E+0 1.2266129E+21
1.8097025E+0 1.1943526E+21
1.7982019E+0 1.1283211E+21
1.7857743E+0 1.1092860E+21
1.7737025E+0 1.1114187E+21
1.7611496E+0 1.0788512E+21
1.7481538E+0 1.0800705E+21
1.7354454E+0 1.0733942E+21
1.7220935E+0 1.0699400E+21
1.7091059E+0 1.0971998E+21
1.6962111E+0 1.0826638E+21
1.6826709E+0 1.0524344E+21
1.6688005E+0 1.0280258E+21
1.6543743E+0 1.0393345E+21
1.6405778E+0 1.0429215E+21
1.6260000E+0 1.0281712E+21
1.6115464E+0 1.0280017E+21
1.5966987E+0 1.0047704E+21
1.5812872E+0 1.0086896E+21
1.5662725E+0 1.0219137E+21
1.5509602E+0 1.0383639E+21
1.5361388E+0 1.0366368E+21
1.5204719E+0 1.0073984E+21
1.5044474E+0 9.8493771E+20
1.4877086E+0 9.9843955E+20
1.4717802E+0 1.0160890E+21
1.4552458E+0 1.0111009E+21
1.4387944E+0 1.0508404E+21
1.4231526E+0 1.1168124E+21
1.4082646E+0 1.1543442E+21
1.3932945E+0 1.2241963E+21
1.3798237E+0 1.2974647E+21
1.3661814E+0 1.3072753E+21
1.3526482E+0 1.3133892E+21
1.3388581E+0 1.3841742E+21
1.3264713E+0 1.9689432E+21
1.3203177E+0 2.9799981E+21
