x N
8.4427974E+4 4.6145410E+11
8.3802749E+4 4.7341326E+11
8.3204764E+4 4.9229598E+11
8.2617889E+4 5.0458351E+11
8.2040535E+4 5.1763320E+11
8.1475041E+4 5.1480289E+11
8.0883157E+4 5.1112089E+11
8.0301056E+4 5.1851938E+11
7.9717453E+4 5.1369437E+11
7.9115665E+4 5.1635197E+11
7.8529445E+4 5.2734843E+11
7.7943634E+4 5.2431583E+11
7.7341649E+4 5.1573987E+11
7.6726712E+4 5.2341434E+11
7.6133230E+4 5.3575450E+11
7.5536734E+4 5.2652812E+11
7.4912640E+4 5.2022375E+11
7.4291311E+4 5.3187095E+11
7.3684398E+4 5.3613903E+11
7.3062567E+4 5.3688099E+11
7.2447088E+4 5.3770788E+11
7.1816479E+4 5.3101399E+11
7.1174243E+4 5.3362060E+11
7.0538585E+4 5.3902877E+11
6.9897663E+4 5.3938276E+11
6.9251142E+4 5.5107623E+11
6.8626021E+4 5.5147167E+11
6.7968335E+4 5.4914243E+11
6.7325761E+4 5.6358114E+11
6.6689209E+4 5.6930660E+11
6.6047304E+4 5.6962806E+11
6.5399045E+4 5.8052974E+11
6.4769059E+4 6.0271574E+11
6.4155865E+4 6.0874128E+11
6.3526099E+4 5.9483306E+11
6.2871143E+4 6.2000158E+11
6.2281583E+4 6.7230689E+11
6.1712171E+4 6.9954409E+11
6.1157410E+4 7.2375100E+11
6.0615729E+4 7.3056370E+11
6.0061253E+4 7.2537685E+11
