fname time Tem kT_1 n1 Rs ta_n Rsh n2 ta_g dev 
00T1 7:0 295.4 39.25 1.000E+000 2.109E+000 3.990E-006 7.815E+004 2.334E+000 9.673E-008 1.477E-003 
00T2 7:20 296.9 39.05 1.000E+000 2.089E+000 4.182E-006 7.402E+004 2.313E+000 1.024E-007 1.629E-003 
00T3 7:54 298.9 38.79 1.000E+000 2.174E+000 3.681E-006 6.878E+004 2.314E+000 1.032E-007 8.538E-004 
00T4 8:16 300.7 38.56 1.000E+000 2.133E+000 3.191E-006 6.434E+004 2.337E+000 9.815E-008 8.957E-004 
00T5 8:36 303.6 38.19 1.000E+000 2.104E+000 3.358E-006 5.766E+004 2.328E+000 1.057E-007 8.993E-004 
00T6 8:58 306.3 37.85 1.000E+000 1.922E+000 2.954E-006 5.197E+004 2.329E+000 1.089E-007 2.155E-003 
00T7 9:17 308.7 37.56 1.000E+000 1.927E+000 3.008E-006 4.729E+004 2.312E+000 1.144E-007 1.219E-003 
00T8 9:37 310.9 37.29 1.000E+000 2.012E+000 2.777E-006 4.330E+004 2.325E+000 1.135E-007 6.973E-004 
00T9 9:56 312.2 37.14 1.000E+000 2.261E+000 2.376E-006 4.106E+004 2.332E+000 1.081E-007 9.392E-004 
0T10 10:18 315.5 36.75 1.000E+000 2.242E+000 2.764E-006 3.579E+004 2.319E+000 1.198E-007 1.137E-003 
0T11 10:36 317.9 36.47 1.000E+000 2.145E+000 2.834E-006 3.227E+004 2.303E+000 1.259E-007 1.111E-003 
0T12 10:58 320.2 36.21 1.000E+000 2.203E+000 2.870E-006 2.913E+004 2.295E+000 1.280E-007 9.399E-004 
0T13 11:17 322.5 35.95 1.000E+000 2.241E+000 2.855E-006 2.619E+004 2.300E+000 1.298E-007 9.525E-004 
0T14 11:42 325.4 35.63 1.000E+000 2.289E+000 3.015E-006 2.273E+004 2.304E+000 1.299E-007 1.202E-003 
0T15 12:4 328 35.35 1.000E+000 2.363E+000 3.078E-006 1.984E+004 2.294E+000 1.355E-007 1.592E-003 
0T16 12:26 330.4 35.09 1.000E+000 2.417E+000 3.014E-006 1.731E+004 2.278E+000 1.420E-007 7.896E-004 
