N_Fe d154 d184 d214 d244
d 150 180 210 240
1.000000000E+01 1.254978000E-02 1.210882600E-02 1.188408000E-02 1.178053500E-02
1.016672606E+01 9.101628000E-03 8.689239000E-03 8.460689000E-03 8.335403000E-03
1.033324570E+01 6.540246000E-03 6.184231000E-03 5.977302000E-03 5.853806000E-03
1.049996187E+01 4.660544000E-03 4.370988000E-03 4.197190000E-03 4.087841000E-03
1.066670514E+01 3.300119000E-03 3.074970000E-03 2.951014000E-03 2.845952000E-03
1.083333839E+01 2.329143000E-03 2.160044000E-03 2.081206000E-03 1.982744000E-03
1.100000000E+01 1.644890000E-03 1.521504000E-03 1.461615000E-03 1.389563000E-03
1.116672606E+01 1.168053000E-03 1.080547000E-03 1.037265000E-03 9.864240000E-04
1.133324570E+01 8.389340000E-04 7.788890000E-04 7.489260000E-04 7.150210000E-04
1.149996187E+01 6.135730000E-04 5.740570000E-04 5.549650000E-04 5.332120000E-04
1.166670514E+01 4.600420000E-04 4.354050000E-04 4.242220000E-04 4.109610000E-04
1.183333839E+01 3.553840000E-04 3.410220000E-04 3.350950000E-04 3.273550000E-04
1.200000000E+01 2.832540000E-04 2.755130000E-04 2.727470000E-04 2.683550000E-04
1.216672606E+01 2.322560000E-04 2.284590000E-04 2.273860000E-04 2.249110000E-04
1.233324570E+01 1.947130000E-04 1.930750000E-04 1.928070000E-04 1.913870000E-04
1.249996187E+01 1.658550000E-04 1.651530000E-04 1.651990000E-04 1.643510000E-04
1.266670514E+01 1.423150000E-04 1.421410000E-04 1.423020000E-04 1.417300000E-04
1.283333839E+01 1.224320000E-04 1.225420000E-04 1.226770000E-04 1.221700000E-04
1.300000000E+01 1.053200000E-04 1.052580000E-04 1.056190000E-04 1.053920000E-04
