fname time Tem kT_1 Io Et Ud Iph dev 
01RV 1rv.dat 294.2 39.41 1.000E+004 6.659E-002 2.135E+000 4.722E-010 9.377E-003 
03RV 3rv.dat 298.4 38.85 1.000E+004 6.348E-002 1.880E+000 3.522E-009 5.063E-003 
05RV 5rv.dat 301.7 38.43 1.000E+004 6.319E-002 1.874E+000 3.179E-009 5.021E-003 
07RV 7rv.dat 306.6 37.82 1.000E+004 6.230E-002 1.818E+000 3.329E-009 1.389E-002 
09RV 9rv.dat 310.9 37.29 1.063E+001 4.645E-002 1.312E+000 2.501E-009 3.901E-003 
11RV 11rv.dat 316.8 36.6 1.000E+004 6.226E-002 1.907E+000 2.456E-009 2.537E-002 
13RV 13rv.dat 322.4 35.96 1.822E+000 4.151E-002 1.170E+000 1.173E-009 5.556E-003 
15RV 15rv.dat 327.9 35.36 1.120E+001 4.448E-002 1.256E+000 2.324E-009 7.166E-003 
17RV 17rv.dat 333.4 34.78 5.684E+000 4.285E-002 1.253E+000 1.000E-015 1.019E-002 
19RV 19rv.dat 338.3 34.27 1.353E-003 2.080E-002 3.994E-001 1.165E-008 4.784E-003 
21RV 21rv.dat 345.7 33.54 1.452E-001 3.247E-002 8.830E-001 3.049E-009 5.365E-003 
