X Y Yfit Y1 Y2
2.584E+0 2.946E-6 3.020E-6 3.020E-6 0.000E+0
2.776E+0 3.789E-6 3.850E-6 3.850E-6 0.000E+0
2.967E+0 4.823E-6 4.823E-6 4.823E-6 0.000E+0
3.155E+0 6.045E-6 5.938E-6 5.938E-6 0.000E+0
3.404E+0 7.838E-6 7.680E-6 7.680E-6 0.000E+0
3.589E+0 9.440E-6 9.188E-6 9.188E-6 0.000E+0
3.773E+0 1.116E-5 1.088E-5 1.088E-5 0.000E+0
4.397E+0 1.790E-5 1.828E-5 1.828E-5 0.000E+0
4.596E+0 2.092E-5 2.123E-5 2.123E-5 0.000E+0
4.792E+0 2.425E-5 2.446E-5 2.446E-5 0.000E+0
4.988E+0 2.801E-5 2.801E-5 2.801E-5 0.000E+0
