T d154 d184 d214 d244
d 150 180 210 240
290 2.297952100E-02 2.217339500E-02 2.290773800E-02 2.298284600E-02
295 2.292043400E-02 2.213851800E-02 2.293544200E-02 2.284833100E-02
300 2.298518600E-02 2.214556500E-02 2.295895600E-02 2.308584600E-02
305 2.231514600E-02 2.142584600E-02 2.221408200E-02 2.198746800E-02
310 2.075245200E-02 1.986971200E-02 2.060202100E-02 2.081105600E-02
315 1.772608500E-02 1.684040700E-02 1.750963300E-02 1.769222700E-02
320 1.157529500E-02 1.067251200E-02 1.115618300E-02 1.125377600E-02
325 3.392830000E-04 -6.716420000E-04 -3.138290000E-04 -3.896520000E-04
330 -1.920583900E-02 -2.029124800E-02 -2.020702700E-02 -2.053911700E-02
335 -5.184185300E-02 -5.256569000E-02 -5.276940100E-02 -5.335578300E-02
340 -9.870512800E-02 -9.917433500E-02 -9.932306800E-02 -9.977991300E-02
