N_Fe T90 T95 T00 T05 T10 T15 T20 T25 T30 T35 T40
T 290 295 300 305 310 315 320 325 330 335 340
1.000000000E+01 1.254350393E+00 1.256383083E+00 1.257453194E+00 1.257270569E+00 1.255209330E+00 1.251347578E+00 1.245415088E+00 1.237239278E+00 1.227267069E+00 1.215259635E+00 1.201898281E+00
1.016672606E+01 1.261208672E+00 1.264091497E+00 1.266457169E+00 1.268042243E+00 1.268187780E+00 1.266911571E+00 1.263848336E+00 1.258669914E+00 1.251643554E+00 1.242320640E+00 1.231171953E+00
1.033324570E+01 1.267480921E+00 1.270700041E+00 1.273801341E+00 1.276550651E+00 1.278287321E+00 1.279010960E+00 1.278316103E+00 1.275789013E+00 1.271576670E+00 1.265074943E+00 1.256555769E+00
1.049996187E+01 1.273512967E+00 1.276674797E+00 1.280059914E+00 1.283462025E+00 1.286233368E+00 1.288376207E+00 1.289475610E+00 1.289080649E+00 1.287270457E+00 1.283346086E+00 1.277428488E+00
1.066670514E+01 1.279472375E+00 1.282305634E+00 1.285639957E+00 1.289297598E+00 1.292650795E+00 1.295713317E+00 1.298074572E+00 1.299274015E+00 1.299357307E+00 1.297576424E+00 1.293953022E+00
1.083333839E+01 1.285386849E+00 1.287731205E+00 1.290790892E+00 1.294420482E+00 1.298016604E+00 1.301608262E+00 1.304794520E+00 1.307119016E+00 1.308612901E+00 1.308507457E+00 1.306764543E+00
1.100000000E+01 1.291217186E+00 1.292999489E+00 1.295652887E+00 1.299069143E+00 1.302672776E+00 1.306510105E+00 1.310192086E+00 1.313273062E+00 1.315779388E+00 1.316937129E+00 1.316674755E+00
1.116672606E+01 1.296939029E+00 1.298142697E+00 1.300323601E+00 1.303414777E+00 1.306871558E+00 1.310759470E+00 1.314703026E+00 1.318270873E+00 1.321489355E+00 1.323587556E+00 1.324477410E+00
1.133324570E+01 1.302596764E+00 1.303233305E+00 1.304913382E+00 1.307613731E+00 1.310823258E+00 1.314628922E+00 1.318670875E+00 1.322534736E+00 1.326250118E+00 1.329053299E+00 1.330850310E+00
1.149996187E+01 1.308306477E+00 1.308396838E+00 1.309564789E+00 1.311831795E+00 1.314723312E+00 1.318350625E+00 1.322372276E+00 1.326393912E+00 1.330451041E+00 1.333789970E+00 1.336317553E+00
1.166670514E+01 1.314213008E+00 1.313781423E+00 1.314433334E+00 1.316234922E+00 1.318751495E+00 1.322122179E+00 1.326027479E+00 1.330097023E+00 1.334374939E+00 1.338119845E+00 1.341243938E+00
1.183333839E+01 1.320428889E+00 1.319506426E+00 1.319646534E+00 1.320959117E+00 1.323052414E+00 1.326097102E+00 1.329799748E+00 1.333818943E+00 1.338210391E+00 1.342247671E+00 1.345851449E+00
1.200000000E+01 1.326989122E+00 1.325620362E+00 1.325267170E+00 1.326080818E+00 1.327714389E+00 1.330373108E+00 1.333793623E+00 1.337669046E+00 1.342069830E+00 1.346287815E+00 1.350254679E+00
1.216672606E+01 1.333844520E+00 1.332090925E+00 1.331281991E+00 1.331606401E+00 1.332762015E+00 1.334989934E+00 1.338059937E+00 1.341704983E+00 1.346013348E+00 1.350299115E+00 1.354507281E+00
1.233324570E+01 1.340892200E+00 1.338829584E+00 1.337621026E+00 1.337487287E+00 1.338168715E+00 1.339941448E+00 1.342609870E+00 1.345950854E+00 1.350073136E+00 1.354317248E+00 1.358643847E+00
1.249996187E+01 1.348018740E+00 1.345731137E+00 1.344192653E+00 1.343650017E+00 1.343882040E+00 1.345197084E+00 1.347433743E+00 1.350415122E+00 1.354272182E+00 1.358375916E+00 1.362704817E+00
1.266670514E+01 1.355128867E+00 1.352702630E+00 1.350911497E+00 1.350021953E+00 1.349846239E+00 1.350720720E+00 1.352516275E+00 1.355102621E+00 1.358633668E+00 1.362514249E+00 1.366742635E+00
1.283333839E+01 1.362151219E+00 1.359671209E+00 1.357707685E+00 1.356541015E+00 1.356011511E+00 1.356478580E+00 1.357842258E+00 1.360017628E+00 1.363181176E+00 1.366774109E+00 1.370815932E+00
1.300000000E+01 1.369031284E+00 1.366578764E+00 1.364523106E+00 1.363153284E+00 1.362332393E+00 1.362437665E+00 1.363394485E+00 1.365160645E+00 1.367933856E+00 1.371193216E+00 1.374980319E+00
