T JscF EtaF VocF FFF JscFB EtaFB VocFB FFFB eJsc eEta eVoc eFF
290 5.249260E-1 1.859860E+1 4.499330E-1 7.874730E+1 5.865396E-1 2.146510E+1 4.608210E-1 7.941520E+1 1.0504593E+01 1.3354235E+01 2.3627395E+00 8.4102288E-01
295 5.299103E-1 1.803240E+1 4.359990E-1 7.804860E+1 5.926021E-1 2.087860E+1 4.474110E-1 7.874670E+1 1.0579072E+01 1.3632140E+01 2.5506749E+00 8.8651334E-01
300 5.347683E-1 1.745060E+1 4.221320E-1 7.730330E+1 5.981089E-1 2.025540E+1 4.339590E-1 7.803920E+1 1.0590145E+01 1.3847172E+01 2.7253727E+00 9.4298763E-01
305 5.395558E-1 1.685620E+1 4.082170E-1 7.653030E+1 6.024501E-1 1.956950E+1 4.203380E-1 7.727870E+1 1.0439753E+01 1.3864943E+01 2.8836317E+00 9.6844279E-01
310 5.442622E-1 1.624950E+1 3.942770E-1 7.572350E+1 6.068068E-1 1.887730E+1 4.066220E-1 7.650650E+1 1.0307169E+01 1.3920423E+01 3.0359892E+00 1.0234425E+00
315 5.488519E-1 1.563020E+1 3.803890E-1 7.486560E+1 6.104564E-1 1.814830E+1 3.928480E-1 7.567590E+1 1.0091548E+01 1.3875129E+01 3.1714556E+00 1.0707504E+00
320 5.534323E-1 1.500230E+1 3.663970E-1 7.398480E+1 6.130161E-1 1.736750E+1 3.788050E-1 7.479130E+1 9.7197773E+00 1.3618540E+01 3.2755639E+00 1.0783340E+00
325 5.579327E-1 1.436480E+1 3.524680E-1 7.304630E+1 6.152808E-1 1.657280E+1 3.646490E-1 7.386670E+1 9.3206386E+00 1.3323035E+01 3.3404726E+00 1.1106493E+00
330 5.623474E-1 1.371810E+1 3.385200E-1 7.206180E+1 6.167634E-1 1.574590E+1 3.503730E-1 7.286480E+1 8.8228322E+00 1.2878273E+01 3.3829662E+00 1.1020410E+00
335 5.668037E-1 1.306670E+1 3.245540E-1 7.103070E+1 6.173537E-1 1.488420E+1 3.357070E-1 7.181750E+1 8.1881748E+00 1.2210935E+01 3.3222423E+00 1.0955547E+00
340 5.712014E-1 1.240870E+1 3.106520E-1 6.993010E+1 6.176300E-1 1.401470E+1 3.210190E-1 7.068470E+1 7.5172190E+00 1.1459396E+01 3.2294039E+00 1.0675578E+00
