T JscF EtaF VocF FFF JscFB EtaFB VocFB FFFB eJsc eEta eVoc eFF
290 4.207114E-1 1.408340E+1 4.290870E-1 7.801480E+1 4.895922E-1 1.701450E+1 4.417780E-1 7.866480E+1 1.4069015E+01 1.7227071E+01 2.8727098E+00 8.2629079E-01
295 4.266254E-1 1.367910E+1 4.149660E-1 7.726810E+1 4.972312E-1 1.659480E+1 4.281410E-1 7.795180E+1 1.4199793E+01 1.7569962E+01 3.0772573E+00 8.7708045E-01
300 4.324258E-1 1.325710E+1 4.009160E-1 7.646890E+1 5.042802E-1 1.613390E+1 4.144020E-1 7.720530E+1 1.4248904E+01 1.7830779E+01 3.2543279E+00 9.5382053E-01
305 4.381762E-1 1.282020E+1 3.867550E-1 7.565010E+1 5.100410E-1 1.560610E+1 4.005040E-1 7.639800E+1 1.4090005E+01 1.7851353E+01 3.4329245E+00 9.7895233E-01
310 4.438630E-1 1.236840E+1 3.726420E-1 7.477790E+1 5.158360E-1 1.506780E+1 3.865040E-1 7.557620E+1 1.3952690E+01 1.7915024E+01 3.5865088E+00 1.0562849E+00
315 4.494403E-1 1.190140E+1 3.585070E-1 7.386340E+1 5.208226E-1 1.448800E+1 3.724400E-1 7.469000E+1 1.3705684E+01 1.7853396E+01 3.7410053E+00 1.1067077E+00
320 4.550391E-1 1.142360E+1 3.443370E-1 7.290720E+1 5.245521E-1 1.385240E+1 3.580760E-1 7.374980E+1 1.3251877E+01 1.7533424E+01 3.8368950E+00 1.1425116E+00
325 4.605706E-1 1.093330E+1 3.302390E-1 7.188300E+1 5.279154E-1 1.319860E+1 3.436300E-1 7.275650E+1 1.2756741E+01 1.7163184E+01 3.8969240E+00 1.2005800E+00
330 4.660266E-1 1.043100E+1 3.160290E-1 7.082560E+1 5.303370E-1 1.250850E+1 3.290150E-1 7.168670E+1 1.2126327E+01 1.6608706E+01 3.9469325E+00 1.2011991E+00
335 4.715634E-1 9.921700E+0 3.019110E-1 6.968980E+1 5.316865E-1 1.178100E+1 3.140600E-1 7.055300E+1 1.1307998E+01 1.5782192E+01 3.8683691E+00 1.2234774E+00
340 4.770575E-1 9.403100E+0 2.877580E-1 6.849700E+1 5.326230E-1 1.104280E+1 2.990520E-1 6.932870E+1 1.0432426E+01 1.4848589E+01 3.7766007E+00 1.1996475E+00
