T JscF EtaF VocF FFF JscFB EtaFB VocFB FFFB eJsc eEta eVoc eFF
290 7.106740E-1 2.848120E+1 5.107560E-1 7.846490E+1 7.312507E-1 2.995210E+1 5.065790E-1 8.085630E+1 2.8139050E+00 4.9108410E+00 -8.2455056E-01 2.9575927E+00
295 7.119291E-1 2.756360E+1 4.974660E-1 7.782790E+1 7.327824E-1 2.906220E+1 4.941300E-1 8.026250E+1 2.8457698E+00 5.1565263E+00 -6.7512598E-01 3.0332970E+00
300 7.131406E-1 2.664260E+1 4.841470E-1 7.716590E+1 7.341286E-1 2.816010E+1 4.816760E-1 7.963560E+1 2.8588997E+00 5.3888303E+00 -5.1300044E-01 3.1012512E+00
305 7.143290E-1 2.572100E+1 4.708160E-1 7.647850E+1 7.351324E-1 2.723130E+1 4.690210E-1 7.897870E+1 2.8298848E+00 5.5461913E+00 -3.8271207E-01 3.1656637E+00
310 7.154939E-1 2.480000E+1 4.574050E-1 7.577840E+1 7.361235E-1 2.630540E+1 4.564070E-1 7.829650E+1 2.8024645E+00 5.7227794E+00 -2.1866448E-01 3.2161080E+00
315 7.166319E-1 2.387840E+1 4.439780E-1 7.504950E+1 7.369150E-1 2.536620E+1 4.437930E-1 7.756350E+1 2.7524341E+00 5.8652853E+00 -4.1686101E-02 3.2412153E+00
320 7.177669E-1 2.295810E+1 4.305570E-1 7.428840E+1 7.374101E-1 2.440290E+1 4.310470E-1 7.677300E+1 2.6638095E+00 5.9206078E+00 1.1367670E-01 3.2362940E+00
325 7.188885E-1 2.204050E+1 4.170740E-1 7.351000E+1 7.378246E-1 2.343720E+1 4.182930E-1 7.594030E+1 2.5664772E+00 5.9593296E+00 2.9142252E-01 3.2002771E+00
330 7.199964E-1 2.112460E+1 4.036050E-1 7.269470E+1 7.380270E-1 2.245610E+1 4.054580E-1 7.504430E+1 2.4430814E+00 5.9293466E+00 4.5701404E-01 3.1309507E+00
335 7.211215E-1 2.021250E+1 3.901450E-1 7.184330E+1 7.379774E-1 2.145430E+1 3.924850E-1 7.407130E+1 2.2840672E+00 5.7881171E+00 5.9620113E-01 3.0079126E+00
340 7.222412E-1 1.930510E+1 3.766490E-1 7.096640E+1 7.378292E-1 2.044840E+1 3.794970E-1 7.302890E+1 2.1126841E+00 5.5911465E+00 7.5046707E-01 2.8242244E+00
