fname time Tem kT_1 n1 Rs ta_n Rsh n2 ta_g Iph Voc Isc Pm FF Vm Im dev 
00S1 7:4 295.5 39.24 1.000E+000 2.209E+000 1.922E-006 4.192E+002 2.781E+000 3.187E-008 1.505E-005 6.197E-003 1.497E-005 2.321E-008 2.501E-001 3.100E-003 7.244E-006 1.815E-003 
00S2 7:36 298.9 38.79 1.000E+000 2.221E+000 1.908E-006 4.249E+002 2.669E+000 4.409E-008 1.338E-005 5.583E-003 1.331E-005 1.858E-008 2.501E-001 2.800E-003 6.397E-006 2.769E-003 
00S3 7:58 300.8 38.54 1.000E+000 2.225E+000 1.818E-006 4.289E+002 2.552E+000 5.809E-008 1.620E-005 6.834E-003 1.612E-005 2.755E-008 2.501E-001 3.400E-003 7.868E-006 4.609E-003 
00S4 8:14 303.6 38.19 1.000E+000 2.165E+000 2.057E-006 4.357E+002 2.523E+000 6.658E-008 1.686E-005 7.209E-003 1.678E-005 3.025E-008 2.501E-001 3.600E-003 8.171E-006 3.758E-004 
00S5 8:35 305.4 37.96 1.000E+000 2.175E+000 2.034E-006 4.404E+002 2.507E+000 7.137E-008 1.639E-005 7.071E-003 1.631E-005 2.884E-008 2.501E-001 3.500E-003 8.008E-006 4.769E-004 
00S6 8:51 307.6 37.69 1.000E+000 2.190E+000 1.997E-006 4.466E+002 2.505E+000 7.519E-008 1.540E-005 6.718E-003 1.532E-005 2.574E-008 2.501E-001 3.400E-003 7.342E-006 3.108E-004 
00S7 9:13 309.7 37.44 1.000E+000 2.208E+000 1.987E-006 4.528E+002 2.502E+000 7.851E-008 1.586E-005 6.994E-003 1.578E-005 2.762E-008 2.502E-001 3.500E-003 7.665E-006 4.709E-004 
00S8 9:30 312.6 37.09 1.000E+000 2.198E+000 2.116E-006 4.616E+002 2.432E+000 9.469E-008 1.583E-005 7.101E-003 1.575E-005 2.798E-008 2.501E-001 3.600E-003 7.551E-006 8.594E-004 
00S9 9:57 314.9 36.82 1.000E+000 2.242E+000 2.059E-006 4.686E+002 2.469E+000 9.294E-008 1.364E-005 6.177E-003 1.357E-005 2.097E-008 2.502E-001 3.100E-003 6.545E-006 7.190E-004 
0S10 10:15 317.6 36.51 1.000E+000 2.278E+000 1.992E-006 4.768E+002 2.481E+000 9.521E-008 1.729E-005 7.911E-003 1.720E-005 3.405E-008 2.502E-001 4.000E-003 8.295E-006 7.907E-004 
0S11 10:47 320.7 36.15 1.000E+000 2.230E+000 2.105E-006 4.858E+002 2.470E+000 1.031E-007 1.698E-005 7.863E-003 1.690E-005 3.326E-008 2.503E-001 3.900E-003 8.313E-006 1.084E-003 
0S12 11:4 323.2 35.87 1.000E+000 2.223E+000 2.256E-006 4.926E+002 2.382E+000 1.259E-007 1.344E-005 6.304E-003 1.337E-005 2.110E-008 2.502E-001 3.200E-003 6.381E-006 1.286E-003 
0S13 11:28 325.7 35.6 1.000E+000 2.277E+000 2.156E-006 4.988E+002 2.455E+000 1.154E-007 1.462E-005 6.857E-003 1.455E-005 2.497E-008 2.503E-001 3.400E-003 7.133E-006 4.361E-004 
0S14 11:47 327.9 35.36 1.000E+000 2.311E+000 2.280E-006 5.037E+002 2.379E+000 1.366E-007 1.684E-005 7.960E-003 1.675E-005 3.339E-008 2.504E-001 4.000E-003 8.138E-006 2.306E-003 
0S15 12:13 330.8 35.05 1.000E+000 2.357E+000 2.287E-006 5.090E+002 2.422E+000 1.344E-007 1.786E-005 8.416E-003 1.777E-005 3.747E-008 2.505E-001 4.200E-003 8.711E-006 3.307E-004 
