ND320 D320 ND320uP D320uP ND320uR D320uR ND360 D360 ND520 D520 ND520uP D520uP ND520uR D520uR ND560 D560 ND560uP D560uP
d41 2.012045 d42 1.162987 d84a 0.828055 d33a 0.889777 d43s 1.155039 d44b 1.044606 d81a 0.926347 d71a 1.230617 d72a 0.792070
d63a 1.524811 d61a 1.128438 d84b 1.003726 d33b 1.079040 d43b 0.828532 d52a 3.350874 d81b 1.159038 d71b 0.783181 d72b 0.832224
d63b 0.903384 d61c 1.067906 NaN NaN d35 1.125124 d51a 0.919117 d52b 1.057043 d81c 0.975197 NaN NaN d72c 0.931522
d83a 1.176523 d64a 1.694410 NaN NaN NaN NaN d51b 1.132851 d54a 1.986077 NaN NaN NaN NaN NaN NaN
d83b 0.941518 d64b 1.027932 NaN NaN NaN NaN d51c 1.093766 d54b 1.340949 NaN NaN NaN NaN NaN NaN
d62a 1.144442 NaN NaN NaN NaN NaN NaN d51d 0.928409 d54c 4.143769 NaN NaN NaN NaN NaN NaN
d62b 1.302630 NaN NaN NaN NaN NaN NaN d73a 1.073085 d74a 0.645614 NaN NaN NaN NaN NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN d73b 1.173855 d74b 1.089404 NaN NaN NaN NaN NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN d73c 1.115723 NaN NaN NaN NaN NaN NaN NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN d82a 0.941045 NaN NaN NaN NaN NaN NaN NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN d82b 1.208719 NaN NaN NaN NaN NaN NaN NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN d53a 0.885235 NaN NaN NaN NaN NaN NaN NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN d53b 0.865740 NaN NaN NaN NaN NaN NaN NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN d53c 2.522249 NaN NaN NaN NaN NaN NaN NaN NaN
