Series	Name	Fb
D320	d41	2.012045
D320	d63a	1.524811
D320	d63b	0.903384
D320	d83a	1.176523
D320	d83b	0.941518
D320	d62a	1.144442
D320	d62b	1.302630
D320uP	d42	1.162987
D320uP	d61a	1.128438
D320uP	d61c	1.067906
D320uP	d64a	1.694410
D320uP	d64b	1.027932
D320uR	d84a	0.828055
D320uR	d84b	1.003726
D360	d33a	0.889777
D360	d33b	1.079040
D360	d35	1.125124
D520	d43s	1.155039
D520	d43b	0.828532
D520	d51a	0.919117
D520	d51b	1.132851
D520	d51c	1.093766
D520	d51d	0.928409
D520	d73a	1.073085
D520	d73b	1.173855
D520	d73c	1.115723
D520	d82a	0.941045
D520	d82b	1.208719
D520	d53a	0.885235
D520	d53b	0.865740
D520	d53c	2.522249
D520uP	d44b	1.044606
D520uP	d52a	3.350874
D520uP	d52b	1.057043
D520uP	d54a	1.986077
D520uP	d54b	1.340949
D520uP	d54c	4.143769
D520uP	d74a	0.645614
D520uP	d74b	1.089404
D520uR	d81a	0.926347
D520uR	d81b	1.159038
D520uR	d81c	0.975197
D560	d71a	1.230617
D560	d71b	0.783181
D560uP	d72a	0.792070
D560uP	d72b	0.832224
D560uP	d72c	0.931522
