N_Fe N_B T d n_FeB n_FeB_SRH
1.000000E+10 1.778E+15 315 1.500E-4 1.197645022E+00 1.202068348E+00
1.468000E+10 1.778E+15 315 1.500E-4 1.198992382E+00 1.202090801E+00
2.154000E+10 1.778E+15 315 1.500E-4 1.199967926E+00 1.202123644E+00
3.162000E+10 1.778E+15 315 1.500E-4 1.200679638E+00 1.202171624E+00
4.642000E+10 1.778E+15 315 1.500E-4 1.201212862E+00 1.202241575E+00
6.813000E+10 1.778E+15 315 1.500E-4 1.201635684E+00 1.202343253E+00
1.000000E+11 1.778E+15 315 1.500E-4 1.202004300E+00 1.202490361E+00
1.468000E+11 1.778E+15 315 1.500E-4 1.202368013E+00 1.202701869E+00
2.154000E+11 1.778E+15 315 1.500E-4 1.202773653E+00 1.203003211E+00
3.162000E+11 1.778E+15 315 1.500E-4 1.203268877E+00 1.203427100E+00
4.642000E+11 1.778E+15 315 1.500E-4 1.203903594E+00 1.204013102E+00
6.813000E+11 1.778E+15 315 1.500E-4 1.204728507E+00 1.204804784E+00
1.000000E+12 1.778E+15 315 1.500E-4 1.205790096E+00 1.205843751E+00
1.468000E+12 1.778E+15 315 1.500E-4 1.207123213E+00 1.207161456E+00
2.154000E+12 1.778E+15 315 1.500E-4 1.208745061E+00 1.208772825E+00
3.162000E+12 1.778E+15 315 1.500E-4 1.210656344E+00 1.210676975E+00
4.642000E+12 1.778E+15 315 1.500E-4 1.212849903E+00 1.212865661E+00
6.813000E+12 1.778E+15 315 1.500E-4 1.215318667E+00 1.215331079E+00
1.000000E+13 1.778E+15 315 1.500E-4 1.218053996E+00 1.218064072E+00
