Fe nFsrh nFBsrh dnsrh nF nFB dn dnF dnFB
1.000000E+10 1.245290657E+00 1.228049529E+00 1.724112800E-02 1.230601133E+00 1.212750101E+00 1.785103200E-02 1.468952400E-02 1.529942800E-02
1.468000E+10 1.245457352E+00 1.228119295E+00 1.733805700E-02 1.235159753E+00 1.217371652E+00 1.778810100E-02 1.029759900E-02 1.074764300E-02
2.154000E+10 1.245699155E+00 1.228221051E+00 1.747810400E-02 1.238530944E+00 1.220728958E+00 1.780198600E-02 7.168211000E-03 7.492093000E-03
3.162000E+10 1.246048132E+00 1.228368955E+00 1.767917700E-02 1.241086532E+00 1.223178079E+00 1.790845300E-02 4.961600000E-03 5.190876000E-03
4.642000E+10 1.246547850E+00 1.228583059E+00 1.796479100E-02 1.243129005E+00 1.225003554E+00 1.812545100E-02 3.418845000E-03 3.579505000E-03
6.813000E+10 1.247255636E+00 1.228891014E+00 1.836462200E-02 1.244907899E+00 1.226431474E+00 1.847642500E-02 2.347737000E-03 2.459540000E-03
1.000000E+11 1.248242688E+00 1.229330037E+00 1.891265100E-02 1.246634388E+00 1.227644409E+00 1.898997900E-02 1.608300000E-03 1.685628000E-03
1.468000E+11 1.249589809E+00 1.229948053E+00 1.964175600E-02 1.248489609E+00 1.228794815E+00 1.969479400E-02 1.100200000E-03 1.153238000E-03
2.154000E+11 1.251375541E+00 1.230803130E+00 2.057241100E-02 1.250623005E+00 1.230014776E+00 2.060822900E-02 7.525360000E-04 7.883540000E-04
3.162000E+11 1.253654486E+00 1.231958853E+00 2.169563300E-02 1.253138856E+00 1.231419752E+00 2.171910400E-02 5.156300000E-04 5.391010000E-04
4.642000E+11 1.256429645E+00 1.233474296E+00 2.295534900E-02 1.256074777E+00 1.233104870E+00 2.296990700E-02 3.548680000E-04 3.694260000E-04
6.813000E+11 1.259632918E+00 1.235388299E+00 2.424461900E-02 1.259386686E+00 1.235133886E+00 2.425280000E-02 2.462320000E-04 2.544130000E-04
1.000000E+12 1.263133785E+00 1.237702487E+00 2.543129800E-02 1.262960704E+00 1.237525601E+00 2.543510300E-02 1.730810000E-04 1.768860000E-04
1.468000E+12 1.266782399E+00 1.240372605E+00 2.640979400E-02 1.266658503E+00 1.240247649E+00 2.641085400E-02 1.238960000E-04 1.249560000E-04
2.154000E+12 1.270462584E+00 1.243317068E+00 2.714551600E-02 1.270371771E+00 1.243226736E+00 2.714503500E-02 9.081300000E-05 9.033200000E-05
3.162000E+12 1.274117426E+00 1.246442401E+00 2.767502500E-02 1.274048944E+00 1.246375104E+00 2.767384000E-02 6.848200000E-05 6.729700000E-05
4.642000E+12 1.277738978E+00 1.249673003E+00 2.806597500E-02 1.277685708E+00 1.249621142E+00 2.806456600E-02 5.327000000E-05 5.186100000E-05
6.813000E+12 1.281345907E+00 1.252970130E+00 2.837577700E-02 1.281303187E+00 1.252928807E+00 2.837438000E-02 4.272000000E-05 4.132300000E-05
1.000000E+13 1.284969477E+00 1.256333809E+00 2.863566800E-02 1.284934281E+00 1.256299898E+00 2.863438300E-02 3.519600000E-05 3.391100000E-05
