T file kT1 TDD
300 001_300 38.647 1.000000E+9
300 002_300 38.647 1.468000E+9
300 003_300 38.647 2.154000E+9
300 004_300 38.647 3.162000E+9
300 005_300 38.647 4.642000E+9
300 006_300 38.647 6.813000E+9
300 007_300 38.647 1.000000E+10
300 008_300 38.647 1.468000E+10
300 009_300 38.647 2.154000E+10
300 010_300 38.647 3.162000E+10
300 011_300 38.647 4.642000E+10
300 012_300 38.647 6.813000E+10
300 013_300 38.647 1.000000E+11
300 014_300 38.647 1.468000E+11
300 015_300 38.647 2.154000E+11
300 016_300 38.647 3.162000E+11
300 017_300 38.647 4.642000E+11
300 018_300 38.647 6.813000E+11
300 019_300 38.647 1.000000E+12
300 020_300 38.647 1.468000E+12
300 021_300 38.647 2.154000E+12
300 022_300 38.647 3.162000E+12
300 023_300 38.647 4.642000E+12
300 024_300 38.647 6.813000E+12
300 025_300 38.647 1.000000E+13
