d Bo nFsrh nFBsrh dnsrh nF nFB dn dnF dnFB
150 1.500000000E+01 1.108635608E+00 1.195307503E+00 -8.667189500E-02 1.108646386E+00 1.195082241E+00 -8.643585500E-02 -1.077800000E-05 2.252620000E-04
150 1.524993176E+01 1.192362751E+00 1.205307182E+00 -1.294443100E-02 1.192222209E+00 1.204961013E+00 -1.273880400E-02 1.405420000E-04 3.461690000E-04
150 1.549996187E+01 1.225021381E+00 1.210621273E+00 1.440010800E-02 1.224703407E+00 1.210129854E+00 1.457355300E-02 3.179740000E-04 4.914190000E-04
150 1.574996808E+01 1.242393229E+00 1.218087693E+00 2.430553600E-02 1.241791174E+00 1.217427883E+00 2.436329100E-02 6.020550000E-04 6.598100000E-04
150 1.600000000E+01 1.256089400E+00 1.224525680E+00 3.156372000E-02 1.254967644E+00 1.223689407E+00 3.127823700E-02 1.121756000E-03 8.362730000E-04
150 1.624993176E+01 1.269548772E+00 1.227138224E+00 4.241054800E-02 1.267440694E+00 1.226106851E+00 4.133384300E-02 2.108078000E-03 1.031373000E-03
150 1.649996187E+01 1.284999090E+00 1.229183727E+00 5.581536300E-02 1.281006652E+00 1.227927564E+00 5.307908800E-02 3.992438000E-03 1.256163000E-03
150 1.674996808E+01 1.302521073E+00 1.236560000E+00 6.596107300E-02 1.295051637E+00 1.234981194E+00 6.007044300E-02 7.469436000E-03 1.578806000E-03
150 1.700000000E+01 1.322450369E+00 1.251553426E+00 7.089694300E-02 1.308983233E+00 1.249430193E+00 5.955304000E-02 1.346713600E-02 2.123233000E-03
180 1.500000000E+01 1.096657180E+00 1.192064525E+00 -9.540734500E-02 1.096673349E+00 1.191876206E+00 -9.520285700E-02 -1.616900000E-05 1.883190000E-04
180 1.524993176E+01 1.186510983E+00 1.202485935E+00 -1.597495200E-02 1.186388795E+00 1.202194058E+00 -1.580526300E-02 1.221880000E-04 2.918770000E-04
180 1.549996187E+01 1.220540413E+00 1.207915832E+00 1.262458100E-02 1.220262014E+00 1.207498910E+00 1.276310400E-02 2.783990000E-04 4.169220000E-04
180 1.574996808E+01 1.239642588E+00 1.215556793E+00 2.408579500E-02 1.239119236E+00 1.214961822E+00 2.415741400E-02 5.233520000E-04 5.949710000E-04
