Ew Nt
4.4431646E-1 1.9960720E+14
4.4161312E-1 1.8542746E+14
4.3890976E-1 1.8651302E+14
4.3620640E-1 1.9826751E+14
4.3350304E-1 2.1176395E+14
4.3079968E-1 2.1836917E+14
4.2809632E-1 2.1356413E+14
4.2539297E-1 1.9838021E+14
4.2268961E-1 1.7801524E+14
4.1998626E-1 1.5857631E+14
4.1728289E-1 1.4399082E+14
4.1457954E-1 1.3480271E+14
4.1187619E-1 1.2904637E+14
4.0917283E-1 1.2411048E+14
4.0646947E-1 1.1824145E+14
4.0376611E-1 1.1100885E+14
4.0106276E-1 1.0294773E+14
3.9835940E-1 9.5007969E+13
3.9565604E-1 8.8147129E+13
3.9295268E-1 8.2980525E+13
3.9024933E-1 7.9521489E+13
3.8754597E-1 7.7352042E+13
3.8484261E-1 7.6271984E+13
3.8213925E-1 7.6805722E+13
3.7943590E-1 7.9953637E+13
3.7673254E-1 8.6412354E+13
3.7402918E-1 9.6084434E+13
3.7132583E-1 1.0831099E+14
3.6862247E-1 1.2246692E+14
3.6591911E-1 1.3831520E+14
3.6321575E-1 1.5594516E+14
3.6051240E-1 1.7558323E+14
3.5780904E-1 1.9758071E+14
3.5510568E-1 2.2256319E+14
3.5240233E-1 2.5150549E+14
3.4969897E-1 2.8562050E+14
3.4699561E-1 3.2619506E+14
3.4429225E-1 3.7451766E+14
3.4158890E-1 4.3188509E+14
3.3888554E-1 4.9964688E+14
3.3618218E-1 5.7930162E+14
3.3347883E-1 6.7256821E+14
3.3077547E-1 7.8124828E+14
3.2807211E-1 9.0686186E+14
3.2536875E-1 1.0503379E+15
3.2266540E-1 1.2120252E+15
3.1996204E-1 1.3919670E+15
3.1725868E-1 1.5901022E+15
3.1455533E-1 1.8061549E+15
3.1185197E-1 2.0392347E+15
3.0914861E-1 2.2873164E+15
3.0644525E-1 2.5467981E+15
3.0374190E-1 2.8123140E+15
3.0103854E-1 3.0769530E+15
2.9833518E-1 3.3327945E+15
2.9563183E-1 3.5712822E+15
2.9292847E-1 3.7825712E+15
2.9022511E-1 3.9527706E+15
2.8752176E-1 4.0583482E+15
2.8481840E-1 4.0587885E+15
2.8211504E-1 3.8924893E+15
2.7941168E-1 3.4848346E+15
2.7670833E-1 2.7753372E+15
2.7400497E-1 1.7579855E+15
2.7130161E-1 1.1628396E+15
