fname time Tem kT_1 Rs_EA Is1_EA Is2_EA n1_EA n2_EA Rsh_EA If_EA Voc_EA Isc_EA Pm_EA FF_EA 
0DL0 7:44 296.5 39.1 2.404E+000 9.403E-007 9.932E-013 2.259 0.8276 3.257E+004 1.434E-004 0.2868 1.434E-004 2.160E-005 0.5255 
0DL1 7:47 296.5 39.1 2.404E+000 1.362E-006 2.681E-012 2.429 0.867 3.257E+004 1.472E-004 0.2871 1.472E-004 2.163E-005 0.5119 
0DL2 7:49 296.6 39.09 2.404E+000 8.699E-007 1.228E-013 2.215 0.7594 3.257E+004 1.444E-004 0.2863 1.444E-004 2.186E-005 0.5288 
0DL3 7:51 296.6 39.09 2.404E+000 1.317E-006 6.281E-012 2.41 0.8963 3.257E+004 1.468E-004 0.2866 1.467E-004 2.160E-005 0.5135 
0DL4 7:54 296.7 39.08 2.404E+000 9.525E-007 4.389E-013 2.251 0.7969 3.257E+004 1.472E-004 0.2869 1.472E-004 2.223E-005 0.5265 
0DL5 7:56 296.7 39.08 2.404E+000 7.742E-007 1.670E-013 2.171 0.766 3.257E+004 1.473E-004 0.2882 1.473E-004 2.269E-005 0.5345 
0DL6 7:59 296.7 39.08 2.404E+000 1.143E-006 2.915E-012 2.33 0.8634 3.257E+004 1.482E-004 0.2864 1.482E-004 2.206E-005 0.5198 
0DL7 8:1 296.8 39.06 2.404E+000 8.288E-007 4.865E-013 2.2 0.7988 3.257E+004 1.454E-004 0.2876 1.453E-004 2.220E-005 0.5312 
0DL8 8:5 296.8 39.06 2.404E+000 1.112E-006 3.195E-012 2.323 0.8661 3.257E+004 1.461E-004 0.2863 1.461E-004 2.175E-005 0.5202 
0DL9 8:7 296.9 39.05 2.404E+000 9.405E-007 3.936E-013 2.233 0.7913 3.257E+004 1.444E-004 0.2845 1.443E-004 2.159E-005 0.5258 
