T Isc Isc_fit DiffLength
2.900E+2 1.4870000E-4 1.4847480E-4 1.1001041E-4
2.900E+2 1.4890000E-4 1.4848202E-4 1.1001439E-4
2.900E+2 1.4880000E-4 1.4848202E-4 1.1001439E-4
2.900E+2 1.4850000E-4 1.4848202E-4 1.1001439E-4
2.900E+2 1.4850000E-4 1.4848202E-4 1.1001439E-4
2.921E+2 1.4920000E-4 1.4918274E-4 1.1040235E-4
2.921E+2 1.4920000E-4 1.4918274E-4 1.1040235E-4
2.921E+2 1.4940000E-4 1.4918274E-4 1.1040235E-4
2.921E+2 1.4910000E-4 1.4918274E-4 1.1040235E-4
2.941E+2 1.4970000E-4 1.4986158E-4 1.1078067E-4
2.941E+2 1.4970000E-4 1.4986158E-4 1.1078067E-4
2.941E+2 1.5000000E-4 1.4986158E-4 1.1078067E-4
2.941E+2 1.5020000E-4 1.4986158E-4 1.1078067E-4
2.941E+2 1.4990000E-4 1.4986158E-4 1.1078067E-4
2.961E+2 1.5060000E-4 1.5053034E-4 1.1115582E-4
2.961E+2 1.5080000E-4 1.5053034E-4 1.1115582E-4
2.961E+2 1.5070000E-4 1.5053034E-4 1.1115582E-4
2.961E+2 1.5060000E-4 1.5053401E-4 1.1115788E-4
2.961E+2 1.5040000E-4 1.5053401E-4 1.1115788E-4
2.980E+2 1.5100000E-4 1.5117494E-4 1.1151979E-4
2.980E+2 1.5120000E-4 1.5117494E-4 1.1151979E-4
2.980E+2 1.5140000E-4 1.5117494E-4 1.1151979E-4
2.980E+2 1.5110000E-4 1.5118188E-4 1.1152372E-4
2.980E+2 1.5110000E-4 1.5118188E-4 1.1152372E-4
3.001E+2 1.5200000E-4 1.5185839E-4 1.1190831E-4
3.001E+2 1.5200000E-4 1.5185839E-4 1.1190831E-4
3.001E+2 1.5180000E-4 1.5185839E-4 1.1190831E-4
3.001E+2 1.5160000E-4 1.5185839E-4 1.1190831E-4
3.001E+2 1.5170000E-4 1.5185839E-4 1.1190831E-4
3.021E+2 1.5220000E-4 1.5250362E-4 1.1227765E-4
3.021E+2 1.5240000E-4 1.5250362E-4 1.1227765E-4
3.021E+2 1.5240000E-4 1.5250362E-4 1.1227765E-4
