fname time Tem kT_1 Nfe tau_r Wph Em t_ass rmsre 
SC2973_1.9E+11_N 1527486179 0 555 8.693044596E+16 1.000000000E+02 1.676067897E+00 6.243664857E-01 2.514755886E+02 3.203804191E-04 
SC312V1_2.6E+11_N 1527485578 0 555 1.141825179E+17 1.000000000E+02 1.698557135E+00 6.452952739E-01 5.133870737E+02 3.023129052E-04 
SC312V2_2.6E+11_N 1527485579 0 555 1.042701576E+17 1.000000000E+02 1.693248128E+00 6.461306798E-01 5.282226759E+02 5.660438134E-04 
SC312V3_2.6E+11_N 1527485579 0 555 1.162635628E+17 1.000000000E+02 1.700889969E+00 6.424526292E-01 4.659573982E+02 2.844417958E-04 
SC312V4_2.6E+11_N 1527485579 0 555 1.317888506E+17 1.000000000E+02 1.714167963E+00 6.411867485E-01 4.462712371E+02 6.263245640E-04 
SC312V5_2.6E+11_N 1527485579 0 555 1.202431226E+17 1.000000000E+02 1.703125058E+00 6.423676229E-01 4.646086517E+02 2.444603210E-04 
SC312V6_2.6E+11_N 1527485579 0 555 1.268191621E+17 1.000000000E+02 1.707237107E+00 6.421109038E-01 4.605590912E+02 2.411677264E-04 
SC3132V1_8.9E+12_N 1527486312 0 555 2.537994935E+18 1.000000000E+02 2.271101288E+00 6.473393593E-01 5.504491727E+02 5.872297431E-03 
SC3132V2_4.8E+12_N 1527933776 0 555 1.853761041E+18 1.000000000E+02 2.193499356E+00 6.513983902E-01 6.321647228E+02 4.435254668E-04 
SC3132V3_4.8E+12_N 1527933776 0 555 2.377483632E+18 1.000000000E+02 2.273778176E+00 6.525138115E-01 6.566732305E+02 4.930409904E-04 
SC3132V4_4.8E+12_N 1527933776 0 555 2.170129092E+18 1.000000000E+02 2.246984995E+00 6.517423408E-01 6.396229862E+02 3.238571101E-04 
SC3132V5_4.8E+12_N 1527933776 0 555 1.450256749E+18 1.000000000E+02 2.114619039E+00 6.508244345E-01 6.199121437E+02 1.570287166E-04 
SC3152V1_1.5E+12_N 1527933776 0 555 7.432238819E+17 1.000000000E+02 1.937831968E+00 6.441560864E-01 4.938259440E+02 1.641825442E-03 
SC3152V2_1.5E+12_N 1527933776 0 555 1.150466396E+18 1.000000000E+02 2.050110217E+00 6.459082001E-01 5.242303770E+02 7.624788188E-04 
SC3152V3_1.5E+12_N 1527933776 0 555 1.087972577E+18 1.000000000E+02 2.017027124E+00 6.479308093E-01 5.616637822E+02 2.551587111E-03 
SC3152V4_1.5E+12_N 1527933776 0 555 1.056292985E+18 1.000000000E+02 2.032787973E+00 6.432361096E-01 4.785742432E+02 9.009443759E-04 
SC320V10_5.3E+11_N 1527933776 0 555 1.694205522E+17 1.000000000E+02 1.731887186E+00 6.299970719E-01 3.047074919E+02 3.280533130E-04 
SC320V1_2.1E+12_N 1527485853 0 555 1.044392580E+17 1.000000000E+02 1.687344268E+00 6.262297434E-01 2.679724349E+02 7.083207377E-04 
SC320V2_2.1E+12_N 1527485787 0 555 1.064635110E+17 1.000000000E+02 1.688919519E+00 6.269255920E-01 2.744071563E+02 4.298568890E-04 
SC320V4_2.1E+12_N 1527485617 0 555 9.665574029E+16 1.000000000E+02 1.684139330E+00 6.235534492E-01 2.445991853E+02 2.319392243E-04 
SC320V5_2.1E+12_N 1527486087 0 555 1.218590375E+17 1.000000000E+02 1.702230474E+00 6.271858817E-01 2.768536448E+02 6.909741547E-04 
SC320V6_5.3E+11_N 1527933776 0 555 2.271000138E+17 1.000000000E+02 1.763782258E+00 6.292209975E-01 2.967492990E+02 8.186877080E-04 
SC320V7_5.3E+11_N 1527933776 0 555 2.087951122E+17 1.000000000E+02 1.753047770E+00 6.288695122E-01 2.932137352E+02 5.013726061E-04 
SC320V8_5.3E+11_N 1527933776 0 555 1.907393217E+17 1.000000000E+02 1.742030419E+00 6.302949330E-01 3.078182503E+02 5.645664091E-04 
SC320V9_5.3E+11_N 1527933776 0 555 2.143260543E+17 1.000000000E+02 1.757276521E+00 6.282117315E-01 2.867099564E+02 5.364861526E-04 
SC3252V1_2.0E+11_N 1527486179 0 555 9.341998642E+16 1.000000000E+02 1.683520781E+00 6.436348368E-01 4.851257783E+02 2.234978703E-04 
SC328V1_1.9E+12_N 1527486273 0 555 9.489072887E+16 1.000000000E+02 1.681469964E+00 6.263527618E-01 2.690989411E+02 3.050775524E-04 
SC3383V1_3.5E+11_N 1527933776 0 555 5.711678023E+16 1.000000000E+02 1.650977071E+00 6.451998921E-01 5.117199552E+02 2.691457819E-04 
SC3383V2_3.5E+11_N 1527933776 0 555 4.043715570E+17 1.000000000E+02 1.840997982E+00 6.470265915E-01 5.446095159E+02 4.698909204E-04 
SC3383V3_3.5E+11_N 1527933776 0 555 1.433623182E+17 1.000000000E+02 1.721564143E+00 6.461708000E-01 5.289458436E+02 6.364195668E-04 
SC3383V4_3.5E+11_N 1527933776 0 555 9.130409247E+16 1.000000000E+02 1.682661746E+00 6.447655154E-01 5.041959640E+02 3.669201857E-04 
SC3383V5_3.5E+11_N 1527933776 0 555 2.231158069E+16 1.000000000E+02 1.608413473E+00 6.435520580E-01 4.837582932E+02 1.900602218E-04 
SC3411V10_2.9E+13_N 1527486595 0 555 2.846697929E+18 1.000000000E+02 2.341899998E+00 6.491479250E-01 5.854658125E+02 5.110990115E-04 
SC3411V12_2.9E+13_N 1527486669 0 555 6.545476781E+18 1.000000000E+02 2.754539366E+00 6.538805849E-01 6.880037710E+02 1.484109887E-03 
SC3411V13_2.9E+13_N 1527486669 0 555 6.952523757E+18 1.000000000E+02 2.786452022E+00 6.547432031E-01 7.085425505E+02 1.854553853E-03 
SC3411V1_2.9E+13_N 1527486470 0 555 5.142546099E+18 1.000000000E+02 2.619027061E+00 6.531128914E-01 6.702263634E+02 1.166140697E-03 
SC3411V2_2.9E+13_N 1527486470 0 555 5.363100797E+18 1.000000000E+02 2.641277625E+00 6.486041026E-01 5.747085963E+02 1.013247374E-03 
SC3411V3_2.9E+13_N 1527486470 0 555 7.961126950E+18 1.000000000E+02 2.883137642E+00 6.539967963E-01 6.907356558E+02 1.331252274E-03 
SC3411V4_2.9E+13_N 1527486470 0 555 8.267346332E+18 1.000000000E+02 2.902123981E+00 6.547330649E-01 7.082976357E+02 1.662276903E-03 
SC3411V5_2.9E+13_N 1527486470 0 555 6.364669715E+18 1.000000000E+02 2.716290363E+00 6.305848120E-01 3.108761372E+02 1.827053711E-03 
SC3411V6_2.9E+13_N 1527486595 0 555 6.503180325E+18 1.000000000E+02 2.725264600E+00 6.313607041E-01 3.192111975E+02 2.239791459E-03 
SC3411V7_2.9E+13_N 1527486595 0 555 6.322373998E+18 1.000000000E+02 2.733982336E+00 6.520015966E-01 6.453028202E+02 1.265323316E-03 
SC3411V8_2.9E+13_N 1527486646 0 555 6.482173356E+18 1.000000000E+02 2.749617027E+00 6.514720348E-01 6.337542880E+02 1.269816599E-03 
SC3411V9_2.9E+13_N 1527486596 0 555 2.547325417E+18 1.000000000E+02 2.302061433E+00 6.484879036E-01 5.724358454E+02 2.967640626E-04 
SC342V1_7.1E+11_N 1527486179 0 555 3.161054892E+17 1.000000000E+02 1.803632273E+00 6.433164624E-01 4.798873720E+02 4.454355982E-04 
SC3491V1_6.6E+12_N 1527486695 0 555 2.021509273E+18 1.000000000E+02 2.204166323E+00 6.308482369E-01 3.136813017E+02 9.952112625E-04 
SC3491V2_6.6E+12_N 1527486695 0 555 1.901544142E+18 1.000000000E+02 2.190614743E+00 6.332310145E-01 3.402333295E+02 1.353503840E-03 
SC3491V3_6.6E+12_N 1527487618 0 555 1.860867134E+18 1.000000000E+02 2.178067223E+00 6.311387064E-01 3.168038109E+02 8.751064893E-04 
SC3491V4_6.6E+12_N 1527487645 0 555 2.081653341E+18 1.000000000E+02 2.217138417E+00 6.316786363E-01 3.226908100E+02 6.838907566E-04 
SC3491V5_6.6E+12_N 1527486695 0 555 2.136923158E+18 1.000000000E+02 2.221578927E+00 6.320005575E-01 3.262527300E+02 1.269513092E-03 
SC3491V6_6.6E+12_N 1527487683 0 555 1.890879967E+18 1.000000000E+02 2.176504297E+00 6.232460081E-01 2.420482210E+02 1.149720191E-03 
SC3492V1_7.6E+12_N 1527487758 0 555 2.398874343E+18 1.000000000E+02 2.266178853E+00 6.326281211E-01 3.333098775E+02 8.384769846E-04 
SC3492V2_7.6E+12_N 1527487789 0 555 2.219661557E+18 1.000000000E+02 2.235945420E+00 6.260772349E-01 2.665824271E+02 6.741877942E-04 
SC3492V3_7.6E+12_N 1527487824 0 555 2.178441230E+18 1.000000000E+02 2.223329113E+00 6.260886010E-01 2.666857717E+02 1.433601341E-03 
SC3492V4_7.6E+12_N 1527487853 0 555 2.439069275E+18 1.000000000E+02 2.270821404E+00 6.326127313E-01 3.331350020E+02 9.916394559E-04 
SC3492V5_7.6E+12_N 1527487924 0 555 2.548975154E+18 1.000000000E+02 2.289244886E+00 6.326422048E-01 3.334699921E+02 8.174615992E-04 
