fname time Tem kT_1 Nfe tau_r Wph Em t_ass rmsre 
SC2973_1.9E+11_N 1527486179 0 555 1.790119428E+17 1.000000000E+02 1.737841075E+00 6.266698389E-01 2.720243650E+02 3.461789295E-04 
SC312V1_2.6E+11_N 1527485578 0 555 2.385173071E+17 1.000000000E+02 1.771285020E+00 6.479079085E-01 5.612253329E+02 3.604644804E-04 
SC312V2_2.6E+11_N 1527485579 0 555 2.172519211E+17 1.000000000E+02 1.762493960E+00 6.487314533E-01 5.772098295E+02 4.854786175E-04 
SC312V3_2.6E+11_N 1527485579 0 555 2.430271280E+17 1.000000000E+02 1.774308088E+00 6.449714331E-01 5.077488454E+02 1.940683062E-04 
SC312V4_2.6E+11_N 1527485579 0 555 2.770888538E+17 1.000000000E+02 1.793146871E+00 6.436632399E-01 4.855958799E+02 5.358807654E-04 
SC312V5_2.6E+11_N 1527485579 0 555 2.516872534E+17 1.000000000E+02 1.777933807E+00 6.448881410E-01 5.063087256E+02 1.628225795E-04 
SC312V6_2.6E+11_N 1527485579 0 555 2.659879080E+17 1.000000000E+02 1.784314638E+00 6.446399240E-01 5.020412401E+02 2.196904707E-04 
SC3132V1_8.9E+12_N 1527486312 0 555 7.506102431E+18 1.000000000E+02 2.817210594E+00 6.499744000E-01 6.022008831E+02 6.170963907E-03 
SC3132V2_4.8E+12_N 1527933776 0 555 5.143924956E+18 1.000000000E+02 2.631702862E+00 6.541153122E-01 6.935328850E+02 2.793082748E-04 
SC3132V3_4.8E+12_N 1527933776 0 555 6.966929818E+18 1.000000000E+02 2.802915684E+00 6.552738191E-01 7.214798405E+02 6.175003482E-04 
SC3132V4_4.8E+12_N 1527933776 0 555 6.225847393E+18 1.000000000E+02 2.740961818E+00 6.544685886E-01 7.019383599E+02 2.277710036E-04 
SC3132V5_4.8E+12_N 1527933776 0 555 3.842153985E+18 1.000000000E+02 2.479558247E+00 6.535384754E-01 6.800240610E+02 2.560442768E-04 
SC3152V1_1.5E+12_N 1527933776 0 555 1.781264582E+18 1.000000000E+02 2.164495656E+00 6.467291392E-01 5.391132999E+02 1.786751244E-03 
SC3152V2_1.5E+12_N 1527933776 0 555 2.927532078E+18 1.000000000E+02 2.357918627E+00 6.484884492E-01 5.724464961E+02 8.190959641E-04 
SC3152V3_1.5E+12_N 1527933776 0 555 2.744908033E+18 1.000000000E+02 2.310599681E+00 6.506250734E-01 6.157120684E+02 2.713531466E-03 
SC3152V4_1.5E+12_N 1527933776 0 555 2.653420601E+18 1.000000000E+02 2.322990893E+00 6.457267376E-01 5.209964666E+02 7.750811288E-04 
SC320V10_5.3E+11_N 1527933776 0 555 3.596296639E+17 1.000000000E+02 1.822476985E+00 6.323580284E-01 3.302540799E+02 2.636480785E-04 
