fname time Tem kT_1 Rs_EA Is1_EA Is2_EA n1_EA n2_EA Rsh_EA If_EA Voc_EA Isc_EA Pm_EA FF_EA 
0US1 9:25 300.3 38.61 2.278E+000 2.592E-006 1.768E-010 2.726 1.029 4.336E+002 1.665E-005 0.007102 1.657E-005 2.453E-008 0.2085 
0US2 9:45 303.5 38.2 2.257E+000 4.380E-006 5.142E-010 2.966 1.062 4.442E+002 2.002E-005 0.008665 1.992E-005 4.216E-008 0.2443 
0US3 10:6 306.6 37.82 2.238E+000 4.036E-006 5.415E-010 2.771 1.038 4.544E+002 1.650E-005 0.007306 1.642E-005 2.593E-008 0.2162 
0US4 10:22 309.5 37.46 2.220E+000 4.655E-006 8.087E-010 2.752 1.036 4.636E+002 1.317E-005 0.005925 1.311E-005 1.024E-008 0.1318 
0US5 10:47 312.5 37.1 2.201E+000 4.669E-006 7.605E-010 2.635 1.005 4.731E+002 1.312E-005 0.006012 1.306E-005 1.100E-008 0.1401 
0US6 11:4 315.4 36.76 2.183E+000 5.055E-006 1.185E-009 2.578 1.006 4.820E+002 1.280E-005 0.005954 1.274E-005 1.022E-008 0.1347 
0US7 11:25 318.9 36.36 2.161E+000 7.138E-006 2.655E-009 2.688 1.024 4.926E+002 1.410E-005 0.006615 1.404E-005 1.716E-008 0.1849 
0US8 11:41 321.6 36.05 2.144E+000 9.238E-006 4.437E-009 2.785 1.033 5.005E+002 1.621E-005 0.007635 1.614E-005 2.791E-008 0.2265 
0US9 12:1 324.2 35.76 2.128E+000 1.014E-005 6.788E-009 2.76 1.038 5.081E+002 1.557E-005 0.007392 1.550E-005 2.513E-008 0.2193 
US10 12:17 327.7 35.38 2.106E+000 1.215E-005 1.123E-008 2.763 1.041 5.181E+002 1.663E-005 0.007941 1.656E-005 3.074E-008 0.2338 
US11 12:50 330.3 35.1 2.089E+000 1.345E-005 1.785E-008 2.754 1.053 5.254E+002 1.602E-005 0.007685 1.595E-005 2.794E-008 0.228 
