fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 Iph Voc Isc FF Pm Vm Im rmsre 
00L1 41870 298.8 38.803 1.000000000E+00 1.680124578E+00 3.736786946E-12 3.670233632E+04 4.476451807E+00 3.770300249E-05 2.260148923E-03 4.680295661E-01 2.259148923E-03 5.039196913E-01 5.328187249E-04 3.224925097E-01 1.652173078E-03 1.923573827E-01 
00L2 41994 299.05 38.77 1.000000000E+00 1.621453376E+00 3.918337621E-12 2.174976077E+04 4.396047671E+00 3.535514256E-05 2.257278295E-03 4.674375001E-01 2.256278295E-03 5.045179322E-01 5.320994663E-04 3.230450943E-01 1.647127706E-03 2.007872360E-01 
00L3 42114 299.46 38.717 1.000000000E+00 1.614998694E+00 4.323586255E-12 1.704009322E+04 4.389737313E+00 3.531648864E-05 2.259507378E-03 4.661166024E-01 2.258507378E-03 5.074531670E-01 5.342100488E-04 3.245165673E-01 1.646168692E-03 2.237805769E-01 
00L4 42234 299.78 38.676 1.000000000E+00 1.576255096E+00 4.570844105E-12 3.130162368E+04 4.458327976E+00 3.792175619E-05 2.258623907E-03 4.667411939E-01 2.257623907E-03 5.066865831E-01 5.339088660E-04 3.202787341E-01 1.666978199E-03 2.395818881E-01 
00L5 42354 299.95 38.654 1.000000000E+00 1.335882272E+00 3.914302337E-12 4.975419542E+03 4.219982235E+00 3.031591429E-05 2.262203640E-03 4.639439426E-01 2.261203640E-03 -5.290391336E+05 -5.550000000E+02 5.550000000E+02 -5.550000000E+02 2.752848207E-01 
00L6 42476 300.03 38.643 1.000000000E+00 1.583132331E+00 4.616248485E-12 2.328601739E+04 4.411414333E+00 3.686623678E-05 2.258726917E-03 4.647074406E-01 2.257726917E-03 5.054496933E-01 5.303089715E-04 3.204995451E-01 1.654624528E-03 2.770186051E-01 
00L7 42596 300.05 38.641 1.000000000E+00 1.566704226E+00 4.361511506E-12 1.667043674E+04 4.380570037E+00 3.534853418E-05 2.258030835E-03 4.662653748E-01 2.257030835E-03 5.043091180E-01 5.307224737E-04 3.200117628E-01 1.658419682E-03 2.454503545E-01 
00L8 42716 300.02 38.645 1.000000000E+00 1.548815159E+00 4.532040212E-12 1.375913215E+05 4.474817653E+00 3.966380610E-05 2.257157580E-03 4.653295803E-01 2.256157580E-03 5.033708298E-01 5.284673186E-04 3.237331335E-01 1.632226025E-03 2.902825612E-01 
00L9 42834 299.98 38.65 1.000000000E+00 1.634907832E+00 4.678837948E-12 2.892034758E+04 4.428811850E+00 3.736528499E-05 2.258462179E-03 4.656941010E-01 2.257462179E-03 5.048435796E-01 5.307354013E-04 3.216697873E-01 1.649946908E-03 2.963608820E-01 
0L10 42954 299.98 38.65 1.000000000E+00 1.651609923E+00 4.688407706E-12 1.933497082E+04 4.476238522E+00 3.825778262E-05 2.258332841E-03 4.654633057E-01 2.257332841E-03 5.033681427E-01 5.288917294E-04 3.196532431E-01 1.654570093E-03 2.384328135E-01 
0L11 43194 299.99 38.649 1.000000000E+00 1.878139334E+00 4.400057338E-12 9.810792716E+03 3.970468638E+00 2.817435089E-05 2.256690870E-03 4.486264484E-01 2.255690870E-03 -5.484392496E+05 -5.550000000E+02 5.550000000E+02 -5.550000000E+02 2.172357070E-01 
0L12 43318 300.02 38.645 1.000000000E+00 1.602403932E+00 4.711458072E-12 4.612504541E+04 4.473280427E+00 3.844219342E-05 2.257932160E-03 4.672016627E-01 2.256932160E-03 5.031761876E-01 5.305703358E-04 3.238453183E-01 1.638267307E-03 3.358532178E-01 
0L13 43434 300 38.647 1.000000000E+00 1.575718248E+00 4.438890629E-12 6.922224495E+04 4.549627965E+00 4.120644631E-05 2.259836721E-03 4.662201508E-01 2.258836721E-03 5.038868522E-01 5.306509015E-04 3.172988755E-01 1.672479995E-03 2.231924495E-01 
0L14 43560 300.03 38.643 1.000000000E+00 4.823151214E-16 3.657353091E-13 2.495543173E+03 3.281021800E+00 1.012774643E-05 2.254440206E-03 4.576468494E-01 2.253440206E-03 5.045315958E-01 5.203132485E-04 3.100755653E-01 1.676315732E-03 4.803030067E-01 
0L15 43678 300.03 38.643 1.000000000E+00 1.654625890E+00 4.940186288E-12 1.622902736E+19 4.605164072E+00 4.311729514E-05 2.259080587E-03 4.650126875E-01 2.258080587E-03 5.036731008E-01 5.288749497E-04 3.257472710E-01 1.623620368E-03 2.189937131E-01 
0L16 43794 299.99 38.649 1.000000000E+00 1.516631721E+00 6.071025678E-12 3.866119728E+03 4.155184154E+00 2.691755312E-05 2.254232101E-03 5.550000000E+02 2.253232101E-03 4.225126277E-04 5.283705539E-04 3.359533604E-01 1.571897983E-03 2.670079470E-01 
0L17 43916 300.02 38.645 1.000000000E+00 1.624450233E+00 4.825128732E-12 2.523673633E+04 4.490923845E+00 3.898725332E-05 2.258184418E-03 4.656828386E-01 2.257184418E-03 5.057916683E-01 5.316538318E-04 3.219430947E-01 1.651391911E-03 3.587557064E-01 
0L18 44034 300 38.647 1.000000000E+00 1.549548072E+00 4.483533741E-12 1.504758982E+04 4.343256828E+00 3.441506438E-05 2.256770749E-03 4.643004447E-01 2.255770749E-03 5.061816336E-01 5.301520480E-04 3.251717521E-01 1.630124678E-03 2.775862232E-01 
0L19 44154 299.99 38.649 1.000000000E+00 1.608480573E+00 4.584485564E-12 1.737565426E+19 4.312679756E+00 3.629751895E-05 2.253525624E-03 4.645909415E-01 2.252525624E-03 4.857791221E-01 5.083693088E-04 2.969878867E-01 1.711868191E-03 5.959070237E-01 
0L20 44396 300.03 38.643 1.000000000E+00 1.630232637E+00 4.836420806E-12 1.325305929E+04 4.381826985E+00 3.519572015E-05 2.258855329E-03 4.680826935E-01 2.257855329E-03 5.039480018E-01 5.326039989E-04 3.182580389E-01 1.673378790E-03 2.994104360E-01 
0L21 44516 300.01 38.646 1.000000000E+00 1.073936410E+00 3.115124498E-12 3.718142457E+03 3.938322801E+00 2.169108861E-05 2.261788889E-03 4.651531326E-01 2.260788889E-03 -5.277606707E+05 -5.550000000E+02 5.550000000E+02 -5.550000000E+02 2.275799844E-01 
0L22 44636 300.03 38.643 1.000000000E+00 1.642920066E+00 5.019399828E-12 1.982608986E+04 4.432333535E+00 3.731149567E-05 2.259614016E-03 4.647439095E-01 2.258614016E-03 5.084109874E-01 5.336673749E-04 3.251444507E-01 1.641269961E-03 2.820522418E-01 
