T d154 d184 d214 d244
d 150 180 210 240
290 1.227398921E+00 1.223333593E+00 1.221302767E+00 1.219358986E+00
295 1.227640843E+00 1.223684526E+00 1.221741123E+00 1.219618581E+00
300 1.227007407E+00 1.222872338E+00 1.220815677E+00 1.218272129E+00
305 1.224056788E+00 1.219063175E+00 1.216375136E+00 1.213224417E+00
310 1.215831359E+00 1.209277462E+00 1.205201465E+00 1.200952535E+00
315 1.197382174E+00 1.187930232E+00 1.181200439E+00 1.174979953E+00
320 1.160657929E+00 1.146334281E+00 1.135547124E+00 1.125866339E+00
325 1.095054678E+00 1.073770353E+00 1.057425947E+00 1.043433121E+00
330 1.011796800E+00 1.010516424E+00 1.009608473E+00 1.008903297E+00
335 1.012082621E+00 1.011002492E+00 1.010210059E+00 1.009580297E+00
340 1.013581584E+00 1.012627347E+00 1.011903282E+00 1.011306501E+00
