fname time Tem kT_1 n0 Eefo E_B E_T Nb dev 
B565FE100_T 1317817142 0 555 5.780801840E-04 9.533540142E-01 1.732906157E-01 8.961750583E-03 5.623000000E+15 8.395337982E-04 
B565FE101_T 1317817142 0 555 5.788032138E-04 1.010522407E+00 8.791919078E-01 5.361523929E-02 5.623000000E+15 7.810036536E-04 
B565FE102_T 1317817142 0 555 5.852137202E-04 1.101292007E+00 5.037356112E-01 2.955050850E-02 5.623000000E+15 6.301761223E-04 
B565FE103_T 1317817142 0 555 6.227401092E-04 1.494430063E+00 3.598002998E-01 1.931131214E-02 5.623000000E+15 7.468633139E-04 
B565FE140_T 1317817142 0 555 5.781265559E-04 9.571371146E-01 4.562064843E-01 2.691357712E-02 5.623000000E+15 8.380630790E-04 
B565FE141_T 1317817142 0 555 5.791140377E-04 1.030807987E+00 6.073044175E-01 3.629475170E-02 5.623000000E+15 7.427204904E-04 
B565FE142_T 1317817142 0 555 5.902405822E-04 1.206754894E+00 2.490057346E-01 1.307880068E-02 5.623000000E+15 6.994701739E-04 
B565FE210_T 1317817142 0 555 5.781963801E-04 9.627351871E-01 6.052156409E-01 3.635802676E-02 5.623000000E+15 8.373331063E-04 
B565FE211_T 1317817142 0 555 5.795903648E-04 1.040162122E+00 9.774132479E-01 5.977063428E-02 5.623000000E+15 7.701484905E-04 
B565FE212_T 1317817142 0 555 5.926473555E-04 1.280556206E+00 5.699130155E-01 3.325546270E-02 5.623000000E+15 8.753103882E-04 
B565FE310_T 1317817142 0 555 5.783095069E-04 9.707483229E-01 2.762237860E-01 1.544605392E-02 5.623000000E+15 8.398802659E-04 
B565FE311_T 1317817142 0 555 5.810065189E-04 1.024723822E+00 8.447332801E-01 5.139979911E-02 5.623000000E+15 8.923946715E-04 
B565FE312_T 1317817142 0 555 6.010971991E-04 1.232024190E+00 3.157652468E-01 1.727622030E-02 5.623000000E+15 9.014336996E-04 
B565FE460_T 1317817142 0 555 5.784517196E-04 9.818555705E-01 5.625181875E-01 3.359113122E-02 5.623000000E+15 8.371129885E-04 
B565FE461_T 1317817142 0 555 5.822807786E-04 9.946549945E-01 4.234374344E-01 2.475153274E-02 5.623000000E+15 9.956858567E-04 
B565FE462_T 1317817142 0 555 6.090724900E-04 1.290620332E+00 3.823344071E-01 2.133067868E-02 5.623000000E+15 8.806420891E-04 
B565FE680_T 1317817142 0 555 5.786510591E-04 9.959045403E-01 3.168500374E-01 1.795251302E-02 5.623000000E+15 8.290928637E-04 
B565FE681_T 1317817142 0 555 5.826532973E-04 1.018147503E+00 7.736652810E-01 4.693064481E-02 5.623000000E+15 8.395018740E-04 
B565FE682_T 1317817142 0 555 6.170122475E-04 1.394712342E+00 6.848916925E-01 4.023644194E-02 5.623000000E+15 8.295886752E-04 
