N_B T90 T95 T00 T05 T10 T15 T20 T25 T30 T35 T40
T 290 295 300 305 310 315 320 325 330 335 340
1.500000000E+01 1.194931599E+00 1.194913904E+00 1.194528701E+00 1.192135337E+00 1.184504410E+00 1.163780318E+00 1.115178419E+00 1.021098634E+00 1.013926736E+00 1.016295493E+00 1.021185475E+00
1.600000000E+01 1.220688797E+00 1.222235358E+00 1.224149047E+00 1.226060396E+00 1.228393190E+00 1.230701890E+00 1.232259940E+00 1.233795754E+00 1.234443000E+00 1.233694938E+00 1.231682942E+00
1.700000000E+01 1.259432964E+00 1.260498854E+00 1.262370684E+00 1.264475124E+00 1.267432425E+00 1.270591113E+00 1.273185263E+00 1.275929350E+00 1.277917628E+00 1.278561764E+00 1.278708808E+00
1.549996187E+01 1.203940778E+00 1.205252613E+00 1.206858431E+00 1.208788430E+00 1.210624568E+00 1.211671068E+00 1.211717553E+00 1.208813781E+00 1.199407531E+00 1.177142957E+00 1.130015853E+00
1.649996187E+01 1.229539755E+00 1.231426141E+00 1.233529957E+00 1.236419262E+00 1.239439792E+00 1.242125603E+00 1.244931247E+00 1.247352434E+00 1.248851104E+00 1.249981226E+00 1.250194022E+00
1.674996808E+01 1.240974681E+00 1.242494882E+00 1.244246915E+00 1.246952949E+00 1.249920919E+00 1.252628744E+00 1.255660366E+00 1.258282696E+00 1.260040051E+00 1.261320212E+00 1.261655743E+00
1.624993176E+01 1.224961550E+00 1.226659445E+00 1.228926386E+00 1.231266634E+00 1.234113876E+00 1.236736004E+00 1.238937942E+00 1.240847699E+00 1.242320235E+00 1.242486047E+00 1.242081930E+00
1.574996808E+01 1.212669796E+00 1.213738983E+00 1.215491038E+00 1.217520582E+00 1.219658916E+00 1.221281537E+00 1.222904371E+00 1.223644306E+00 1.222513145E+00 1.218799023E+00 1.208903141E+00
1.524993176E+01 1.199397654E+00 1.200148783E+00 1.201450193E+00 1.202489892E+00 1.202612305E+00 1.199981818E+00 1.191407276E+00 1.168897976E+00 1.119025832E+00 1.025800815E+00 1.010626804E+00
