N_Fe N_B T d Jsc_Fe Eta_Fe Voc_Fe FF_Fe Jsc_FeB Eta_FeB Voc_FeB FF_FeB Jsc_e Eta_e Voc_e FF_e
1.300000E+10 4.500E+15 293 2.000E-4 3.667094E+1 1.769660E+1 5.855620E-1 8.241270E+1 3.666074E+1 1.768860E+1 5.853650E-1 8.242610E+1 -2.7822679E-02 -4.5226869E-02 -3.3654216E-02 1.6256987E-02
1.693000E+10 4.500E+15 293 2.000E-4 3.666103E+1 1.768970E+1 5.855360E-1 8.240690E+1 3.664927E+1 1.768000E+1 5.852780E-1 8.242440E+1 -3.2087952E-02 -5.4864253E-02 -4.4081616E-02 2.1231577E-02
2.206000E+10 4.500E+15 293 2.000E-4 3.664817E+1 1.768090E+1 5.855010E-1 8.239940E+1 3.663440E+1 1.766900E+1 5.851660E-1 8.242210E+1 -3.7587623E-02 -6.7349595E-02 -5.7248712E-02 2.7541157E-02
2.874000E+10 4.500E+15 293 2.000E-4 3.663147E+1 1.766940E+1 5.854560E-1 8.238960E+1 3.661514E+1 1.765470E+1 5.850210E-1 8.241920E+1 -4.4599037E-02 -8.3263947E-02 -7.4356305E-02 3.5913962E-02
3.743000E+10 4.500E+15 293 2.000E-4 3.660983E+1 1.765450E+1 5.853980E-1 8.237700E+1 3.659025E+1 1.763630E+1 5.848350E-1 8.241530E+1 -5.3511523E-02 -1.0319625E-01 -9.6266468E-02 4.6471954E-02
4.876000E+10 4.500E+15 293 2.000E-4 3.658184E+1 1.763520E+1 5.853220E-1 8.236080E+1 3.655814E+1 1.761260E+1 5.845970E-1 8.241030E+1 -6.4828243E-02 -1.2831723E-01 -1.2401706E-01 6.0065307E-02
6.352000E+10 4.500E+15 293 2.000E-4 3.654569E+1 1.761030E+1 5.852230E-1 8.233980E+1 3.651686E+1 1.758210E+1 5.842930E-1 8.240380E+1 -7.8949833E-02 -1.6039040E-01 -1.5916672E-01 7.7666321E-02
8.274000E+10 4.500E+15 293 2.000E-4 3.649913E+1 1.757830E+1 5.850940E-1 8.231290E+1 3.646396E+1 1.754330E+1 5.839080E-1 8.239520E+1 -9.6451400E-02 -1.9950636E-01 -2.0311419E-01 9.9884459E-02
1.078000E+11 4.500E+15 293 2.000E-4 3.643937E+1 1.753710E+1 5.849260E-1 8.227860E+1 3.639653E+1 1.748610E+1 5.834230E-1 8.234740E+1 -1.1770353E-01 -2.9166023E-01 -2.5761754E-01 8.3548479E-02
1.404000E+11 4.500E+15 293 2.000E-4 3.636300E+1 1.748450E+1 5.847070E-1 8.223490E+1 3.631106E+1 1.742380E+1 5.828180E-1 8.233250E+1 -1.4304182E-01 -3.4837406E-01 -3.2411490E-01 1.1854371E-01
1.829000E+11 4.500E+15 293 2.000E-4 3.626595E+1 1.741020E+1 5.844220E-1 8.214450E+1 3.620355E+1 1.734620E+1 5.820720E-1 8.231430E+1 -1.7235879E-01 -3.6895689E-01 -4.0373012E-01 2.0628250E-01
