N_Fe N_B T d Jsc_Fe Eta_Fe Voc_Fe FF_Fe Jsc_FeB Eta_FeB Voc_FeB FF_FeB Jsc_e Eta_e Voc_e FF_e
1.300000E+10 4.500E+15 293 2.000E-4 3.689184E+1 1.903910E+1 6.211310E-1 8.308710E+1 3.688011E+1 1.900940E+1 6.199420E-1 8.314290E+1 -3.1805762E-02 -1.5623849E-01 -1.9179214E-01 6.7113367E-02
1.693000E+10 4.500E+15 293 2.000E-4 3.687912E+1 1.902570E+1 6.210920E-1 8.306240E+1 3.686429E+1 1.898780E+1 6.195410E-1 8.313770E+1 -4.0228633E-02 -1.9960185E-01 -2.5034663E-01 9.0572628E-02
2.206000E+10 4.500E+15 293 2.000E-4 3.686261E+1 1.900830E+1 6.210410E-1 8.303040E+1 3.684380E+1 1.896000E+1 6.190310E-1 8.313080E+1 -5.1053366E-02 -2.5474684E-01 -3.2470102E-01 1.2077353E-01
2.874000E+10 4.500E+15 293 2.000E-4 3.684121E+1 1.898580E+1 6.209740E-1 8.298910E+1 3.681731E+1 1.892460E+1 6.183870E-1 8.312180E+1 -6.4915117E-02 -3.2338861E-01 -4.1834644E-01 1.5964524E-01
3.743000E+10 4.500E+15 293 2.000E-4 3.681349E+1 1.895660E+1 6.208870E-1 8.293570E+1 3.678316E+1 1.887970E+1 6.175800E-1 8.310980E+1 -8.2456211E-02 -4.0731579E-01 -5.3547719E-01 2.0948191E-01
4.876000E+10 4.500E+15 293 2.000E-4 3.677765E+1 1.891900E+1 6.207740E-1 8.286690E+1 3.673925E+1 1.882300E+1 6.165790E-1 8.309380E+1 -1.0452037E-01 -5.1001434E-01 -6.8036699E-01 2.7306490E-01
6.352000E+10 4.500E+15 293 2.000E-4 3.673144E+1 1.887060E+1 6.206260E-1 8.277880E+1 3.668300E+1 1.875180E+1 6.153510E-1 8.307220E+1 -1.3205027E-01 -6.3353918E-01 -8.5723433E-01 3.5318675E-01
8.274000E+10 4.500E+15 293 2.000E-4 3.667202E+1 1.880860E+1 6.204320E-1 8.266630E+1 3.661130E+1 1.865560E+1 6.138640E-1 8.300840E+1 -1.6585043E-01 -8.2012908E-01 -1.0699438E+00 4.1212697E-01
1.078000E+11 4.500E+15 293 2.000E-4 3.659592E+1 1.872960E+1 6.201780E-1 8.252370E+1 3.652046E+1 1.854800E+1 6.120920E-1 8.297420E+1 -2.0662390E-01 -9.7908130E-01 -1.3210432E+00 5.4293985E-01
1.404000E+11 4.500E+15 293 2.000E-4 3.649894E+1 1.862930E+1 6.198370E-1 8.234540E+1 3.640626E+1 1.841850E+1 6.100130E-1 8.293520E+1 -2.5457160E-01 -1.1445015E+00 -1.6104575E+00 7.1115763E-01
1.829000E+11 4.500E+15 293 2.000E-4 3.637618E+1 1.849730E+1 6.193780E-1 8.209840E+1 3.626404E+1 1.826450E+1 6.075160E-1 8.290350E+1 -3.0923196E-01 -1.2746037E+00 -1.9525412E+00 9.7112908E-01
