T d154 d184 d214 d244
d 150 180 210 240
290 1.255144194E+00 1.255458669E+00 1.255414155E+00 1.255343007E+00
295 1.255454805E+00 1.255472175E+00 1.255609731E+00 1.255460557E+00
300 1.256400810E+00 1.256159052E+00 1.256233376E+00 1.256270895E+00
305 1.258413859E+00 1.258143683E+00 1.258174537E+00 1.258292055E+00
310 1.261076323E+00 1.260984210E+00 1.260744782E+00 1.260926353E+00
315 1.263874684E+00 1.263781063E+00 1.263465780E+00 1.263706688E+00
320 1.267370462E+00 1.267437086E+00 1.266956356E+00 1.267109585E+00
325 1.270876756E+00 1.270916837E+00 1.270488572E+00 1.270465092E+00
330 1.273881284E+00 1.273936701E+00 1.273734344E+00 1.273445222E+00
335 1.277009398E+00 1.277105061E+00 1.276851122E+00 1.276637568E+00
340 1.279644437E+00 1.279671794E+00 1.279431442E+00 1.279236944E+00
