N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 1.166852052E+00 1.162953390E+00 1.160057779E+00 1.157044955E+00
1.600000000E+01 1.255340794E+00 1.253122072E+00 1.251432272E+00 1.248977739E+00
1.700000000E+01 1.323765048E+00 1.320565418E+00 1.317653893E+00 1.316947162E+00
1.549996187E+01 1.228940779E+00 1.225650610E+00 1.224543457E+00 1.223014672E+00
1.649996187E+01 1.284513311E+00 1.281517658E+00 1.279994592E+00 1.278612326E+00
1.674996808E+01 1.302847869E+00 1.298525831E+00 1.297317923E+00 1.296207085E+00
1.624993176E+01 1.268665500E+00 1.266513472E+00 1.264756667E+00 1.263483185E+00
1.574996808E+01 1.242604637E+00 1.240373211E+00 1.237794135E+00 1.236666645E+00
1.524993176E+01 1.209241091E+00 1.206272056E+00 1.204427380E+00 1.202872951E+00
