fname time Tem kT_1 n Rs Io Rsh Iph Voc Isc FF Pm Vm Im rmsre 
00L1 54434 320.18 36.212 1.177467283E+00 2.268906290E+00 1.755894054E-08 3.643461410E+03 1.711511166E-04 2.776475285E-01 1.511885761E-04 5.850809289E-01 2.456002083E-05 2.000501545E-01 1.227693249E-04 1.379982453E-01 
00L2 54556 320.11 36.219 1.172050269E+00 2.290672799E+00 1.660895542E-08 3.569932965E+03 1.714878998E-04 2.776472210E-01 1.510892179E-04 5.850070244E-01 2.454075302E-05 1.995165451E-01 1.230005711E-04 1.380819979E-01 
00L3 54646 320.04 36.227 1.161883753E+00 2.298553588E+00 1.467311739E-08 3.426881031E+03 1.721905482E-04 2.777969563E-01 1.509293403E-04 5.843375860E-01 2.449993763E-05 1.998057430E-01 1.226187615E-04 1.656213115E-01 
00L4 54732 319.99 36.233 1.175218276E+00 2.279254647E+00 1.696573150E-08 3.599208508E+03 1.714114559E-04 2.778288124E-01 1.511616566E-04 5.852799464E-01 2.458003910E-05 1.999468307E-01 1.229328409E-04 1.405843963E-01 
00L5 54826 319.98 36.234 1.159717221E+00 2.314046733E+00 1.435225412E-08 3.407240643E+03 1.726202798E-04 2.777508366E-01 1.510930919E-04 5.857086472E-01 2.457998537E-05 2.000365675E-01 1.228774873E-04 1.757412398E-01 
00L6 54914 319.99 36.233 1.163009032E+00 2.303544973E+00 1.498078124E-08 3.431743119E+03 1.721609430E-04 2.775064022E-01 1.509627379E-04 5.848296657E-01 2.450034302E-05 1.995273426E-01 1.227918921E-04 1.525134301E-01 
00L7 55032 320.09 36.222 1.185387776E+00 2.703836105E+00 2.330413162E-08 4.691996438E+03 1.260849952E-04 2.597981693E-01 1.107258263E-04 5.771687965E-01 1.660304941E-05 1.854052982E-01 8.953230264E-05 5.604650568E-01 
00L8 55152 319.76 36.259 1.186790267E+00 2.690882183E+00 2.252666321E-08 4.794959165E+03 1.263174108E-04 2.614565594E-01 1.113189839E-04 5.785634168E-01 1.683913368E-05 1.868581715E-01 9.009664890E-05 5.387631878E-01 
00L9 55240 319.74 36.261 1.187524534E+00 2.682704959E+00 2.249855336E-08 4.790320913E+03 1.272326164E-04 2.619223694E-01 1.123135580E-04 5.787223756E-01 1.702452685E-05 1.876238499E-01 9.072205643E-05 3.481357021E-01 
0L10 55330 319.76 36.259 1.190130201E+00 2.670018221E+00 2.305713754E-08 4.815043316E+03 1.280525994E-04 2.620702587E-01 1.132299071E-04 5.791929753E-01 1.718708299E-05 1.878429241E-01 9.148906850E-05 2.817991181E-01 
0L11 55424 319.81 36.253 1.192154053E+00 2.671877365E+00 2.380374322E-08 4.866122279E+03 1.286876215E-04 2.622939808E-01 1.138912147E-04 5.795805913E-01 1.731379945E-05 1.878120251E-01 9.217019184E-05 2.601687234E-01 
0L12 55510 319.84 36.25 1.193211847E+00 2.657996264E+00 2.388965154E-08 4.813416449E+03 1.294647119E-04 2.625360676E-01 1.145130542E-04 5.791563848E-01 1.741164574E-05 1.880944424E-01 9.255548484E-05 2.264612049E-01 
0L13 55602 319.88 36.245 1.193836952E+00 2.647511926E+00 2.405471819E-08 4.838414216E+03 1.300815432E-04 2.625710182E-01 1.152799750E-04 5.792239070E-01 1.753263294E-05 1.882371960E-01 9.313871288E-05 2.096793379E-01 
0L14 55688 319.89 36.244 1.194684422E+00 2.640969450E+00 2.420399626E-08 4.790832390E+03 1.312438883E-04 2.630610428E-01 1.162799750E-04 5.785035310E-01 1.769568917E-05 1.881964092E-01 9.401268387E-05 1.798562276E-01 
0L15 55780 319.9 36.243 1.183467672E+00 2.671193320E+00 2.155731494E-08 4.575483916E+03 1.331052429E-04 2.632268108E-01 1.174204724E-04 5.784188637E-01 1.787789545E-05 1.886058216E-01 9.478666713E-05 1.841042098E-01 
0L16 55872 319.89 36.244 1.204696758E+00 2.608805382E+00 2.650561362E-08 5.810713321E+03 1.303814860E-04 2.642951466E-01 1.183044104E-04 5.779409941E-01 1.807064375E-05 1.889790821E-01 9.559441573E-05 2.420030632E-01 
0L17 55960 319.92 36.241 1.190884842E+00 2.653709195E+00 2.319954937E-08 4.720960512E+03 1.339786870E-04 2.639235725E-01 1.187312432E-04 5.797797044E-01 1.816796168E-05 1.891246166E-01 9.604700672E-05 1.456089342E-01 
0L18 56050 319.93 36.24 1.180798938E+00 2.666721766E+00 2.078925431E-08 4.502404463E+03 1.354875197E-04 2.609605278E-01 1.195067374E-04 5.868616164E-01 1.830218402E-05 1.891867237E-01 9.670309701E-05 3.113115342E+00 
0L19 56148 319.94 36.239 1.191814088E+00 2.634635091E+00 2.319920820E-08 4.706965971E+03 1.352276251E-04 2.632460686E-01 1.200221424E-04 5.820720760E-01 1.839077511E-05 1.895927372E-01 9.698516985E-05 2.731120017E-01 
0L20 56230 319.95 36.238 1.194130536E+00 2.625064021E+00 2.360224967E-08 4.693143666E+03 1.363796064E-04 2.647217728E-01 1.210963240E-04 5.797822959E-01 1.858598457E-05 1.901306896E-01 9.774673716E-05 1.189843025E-01 
0L21 56322 319.95 36.238 1.188764647E+00 2.637838531E+00 2.234862099E-08 3.954628869E+03 1.402972196E-04 2.650834858E-01 1.220087167E-04 5.798763898E-01 1.875464977E-05 1.902758282E-01 9.855141302E-05 7.885772868E-02 
0L22 56412 319.93 36.24 1.182695150E+00 2.646788924E+00 2.091858209E-08 4.514440424E+03 1.384984624E-04 2.654180588E-01 1.227105431E-04 5.828480512E-01 1.898312447E-05 1.917215755E-01 9.898302920E-05 1.218285969E-01 
0L23 56502 319.94 36.239 1.195076760E+00 2.624584991E+00 2.373612155E-08 4.723868099E+03 1.383716058E-04 2.657262863E-01 1.230755355E-04 5.807876305E-01 1.899431388E-05 1.908613349E-01 9.951008263E-05 1.001436268E-01 
0L24 56590 319.95 36.238 1.185615669E+00 2.645330866E+00 2.153054054E-08 4.463218070E+03 1.398258688E-04 2.658130993E-01 1.238092179E-04 5.804525670E-01 1.910275894E-05 1.908627210E-01 1.000755673E-04 1.056510779E-01 
0L25 56680 319.94 36.239 1.182404030E+00 2.650782077E+00 2.069607007E-08 3.815474440E+03 1.436085236E-04 2.661515438E-01 1.246092179E-04 5.799460934E-01 1.923387490E-05 1.910485932E-01 1.006772073E-04 8.001112337E-02 
0L26 56772 319.98 36.234 1.182784706E+00 2.641381198E+00 2.077930544E-08 3.794526389E+03 1.446228551E-04 2.663419151E-01 1.254896234E-04 5.806302117E-01 1.940648869E-05 1.912874653E-01 1.014459188E-04 8.001415106E-02 
