X Y Yfit Y1 Y2
5.055E-2 2.262E-8 6.721E-12 6.721E-12 0.000E+0
9.926E-2 3.813E-8 8.567E-11 8.567E-11 0.000E+0
1.473E-1 5.669E-8 3.797E-10 3.797E-10 0.000E+0
2.004E-1 8.614E-8 1.213E-9 1.213E-9 0.000E+0
2.469E-1 1.223E-7 2.664E-9 2.664E-9 0.000E+0
2.996E-1 1.774E-7 5.527E-9 5.527E-9 0.000E+0
3.519E-1 2.492E-7 1.014E-8 1.014E-8 0.000E+0
4.021E-1 3.404E-7 1.677E-8 1.677E-8 0.000E+0
4.496E-1 4.479E-7 2.555E-8 2.555E-8 0.000E+0
5.047E-1 5.921E-7 3.952E-8 3.952E-8 0.000E+0
5.525E-1 7.437E-7 5.560E-8 5.560E-8 0.000E+0
6.016E-1 9.186E-7 7.666E-8 7.666E-8 0.000E+0
6.498E-1 1.179E-6 1.025E-7 1.025E-7 0.000E+0
7.045E-1 1.412E-6 1.391E-7 1.391E-7 0.000E+0
7.484E-1 1.631E-6 1.747E-7 1.747E-7 0.000E+0
7.975E-1 1.878E-6 2.220E-7 2.220E-7 0.000E+0
8.970E-1 2.379E-6 3.459E-7 3.459E-7 0.000E+0
9.917E-1 2.905E-6 5.051E-7 5.051E-7 0.000E+0
1.185E+0 3.995E-6 9.887E-7 9.887E-7 0.000E+0
1.371E+0 5.133E-6 1.714E-6 1.714E-6 0.000E+0
1.559E+0 6.364E-6 2.782E-6 2.782E-6 0.000E+0
1.803E+0 8.063E-6 4.815E-6 4.815E-6 0.000E+0
1.986E+0 9.696E-6 6.934E-6 6.934E-6 0.000E+0
2.168E+0 1.174E-5 9.652E-6 9.652E-6 0.000E+0
2.399E+0 1.441E-5 1.414E-5 1.414E-5 0.000E+0
2.594E+0 1.904E-5 1.899E-5 1.899E-5 0.000E+0
2.790E+0 2.483E-5 2.499E-5 2.499E-5 0.000E+0
2.983E+0 3.193E-5 3.217E-5 3.217E-5 0.000E+0
3.176E+0 4.070E-5 4.075E-5 4.075E-5 0.000E+0
3.364E+0 5.066E-5 5.062E-5 5.062E-5 0.000E+0
3.554E+0 6.264E-5 6.227E-5 6.227E-5 0.000E+0
3.798E+0 8.099E-5 8.000E-5 8.000E-5 0.000E+0
3.983E+0 9.685E-5 9.572E-5 9.572E-5 0.000E+0
4.167E+0 1.148E-4 1.135E-4 1.135E-4 0.000E+0
4.398E+0 1.350E-4 1.391E-4 1.391E-4 0.000E+0
4.596E+0 1.632E-4 1.642E-4 1.642E-4 0.000E+0
4.796E+0 1.930E-4 1.929E-4 1.929E-4 0.000E+0
4.990E+0 2.244E-4 2.240E-4 2.240E-4 0.000E+0
5.205E+0 2.634E-4 2.626E-4 2.626E-4 0.000E+0
