N_Fe N_B T d n_FeB n_FeB_SRH
1.000000E+13 1.360E+15 300 3.500E-4 1.223093100E+00 1.223094602E+00
1.292000E+13 1.360E+15 300 3.500E-4 1.223402074E+00 1.223403267E+00
1.668000E+13 1.360E+15 300 3.500E-4 1.223646825E+00 1.223647753E+00
2.154000E+13 1.360E+15 300 3.500E-4 1.223826798E+00 1.223827532E+00
2.783000E+13 1.360E+15 300 3.500E-4 1.235846915E+00 1.235847453E+00
3.594000E+13 1.360E+15 300 3.500E-4 1.235917613E+00 1.235918362E+00
4.642000E+13 1.360E+15 300 3.500E-4 1.235901144E+00 1.235901706E+00
5.995000E+13 1.360E+15 300 3.500E-4 1.235780999E+00 1.235781255E+00
7.743000E+13 1.360E+15 300 3.500E-4 1.236716687E+00 1.236740164E+00
1.000000E+14 1.360E+15 300 3.500E-4 1.247174746E+00 1.247174954E+00
