N_Fe N_B T d n_Fe n_Fe_SRH
1.000000E+13 1.360E+15 300 3.500E-4 1.230863178E+00 1.230893437E+00
1.292000E+13 1.360E+15 300 3.500E-4 1.239913297E+00 1.239914314E+00
1.668000E+13 1.360E+15 300 3.500E-4 1.240344485E+00 1.240345557E+00
2.154000E+13 1.360E+15 300 3.500E-4 1.240635883E+00 1.240636749E+00
2.783000E+13 1.360E+15 300 3.500E-4 1.240783693E+00 1.240784318E+00
3.594000E+13 1.360E+15 300 3.500E-4 1.240818247E+00 1.240818746E+00
4.642000E+13 1.360E+15 300 3.500E-4 1.243373226E+00 1.243391776E+00
5.995000E+13 1.360E+15 300 3.500E-4 1.251098079E+00 1.251098430E+00
7.743000E+13 1.360E+15 300 3.500E-4 1.250573287E+00 1.250573545E+00
1.000000E+14 1.360E+15 300 3.500E-4 1.249757007E+00 1.249757212E+00
