Name T sdV sdI I01med I01er n1med n1er Rsh1med Rsh1er I02med I02er n2med n2er Rsh2med Rsh2er Rsmed Rser Iphmed Ipher
STLBO 300 0 0 1.500474254E-05 3.161690000E-02 5.521425606E+00 6.821286784E-03 1.000565318E+04 5.653178857E-02 9.665837317E-05 1.377493969E-04 2.666687881E+00 7.955260714E-04 2.114603511E+03 3.551978722E-04 4.999064574E+01 1.870851371E-02 9.999928235E-04 7.176475714E-04
STLBO 300 0 2E-7 1.503063597E-05 2.042398257E-01 5.514809659E+00 1.130100424E-01 1.059305262E+04 5.930526227E+00 9.663758151E-05 2.137273124E-02 2.665379898E+00 4.825384767E-02 2.113973943E+03 2.941731794E-02 5.029122380E+01 5.824476071E-01 1.000210681E-03 2.106806643E-02
STLBO 300 0 4E-7 1.383909459E-05 7.739369390E+00 5.403342270E+00 2.131963128E+00 9.714123398E+03 2.858766020E+00 9.654116963E-05 1.211178535E-01 2.653909661E+00 4.783877169E-01 2.110253858E+03 2.053414262E-01 5.366677713E+01 7.333554264E+00 1.002326386E-03 2.326386473E-01
STLBO 300 0 6E-7 1.315304631E-05 1.231302460E+01 5.327703093E+00 3.501977726E+00 9.692714876E+03 3.072851238E+00 9.652576077E-05 1.370594522E-01 2.645728952E+00 7.851643253E-01 2.108913031E+03 2.687496321E-01 5.614538634E+01 1.229077268E+01 1.003755110E-03 3.755109510E-01
STLBO 300 0 8E-7 1.161884043E-05 2.254106378E+01 5.168519731E+00 6.385186364E+00 8.390389772E+03 1.609610228E+01 9.627301817E-05 3.985401004E-01 2.628896607E+00 1.416377267E+00 2.102346195E+03 5.792976470E-01 6.060806853E+01 2.121613707E+01 1.007836188E-03 7.836188490E-01
STLBO 300 0 1E-6 1.084192641E-05 2.772049063E+01 5.047956498E+00 8.568887920E+00 8.412418049E+03 1.587581951E+01 9.623372756E-05 4.391891095E-01 2.621102552E+00 1.708654301E+00 2.098582225E+03 7.572971440E-01 6.445846095E+01 2.891692191E+01 1.010846589E-03 1.084658902E+00
STLBO 300 2E-5 0 1.499704876E-05 1.967496571E-02 5.520742729E+00 5.547315375E-03 1.000288219E+04 2.882186500E-02 9.666004336E-05 1.865688252E-03 2.666583894E+00 3.103969285E-03 2.114605962E+03 4.711058620E-04 5.002058381E+01 4.116762286E-02 1.000000931E-03 9.307857143E-05
STLBO 300 2E-5 2E-7 1.533224963E-05 2.214997546E+00 5.540128353E+00 3.455747926E-01 1.083704951E+04 8.370495135E+00 9.670076051E-05 4.399054515E-02 2.670958064E+00 1.609273725E-01 2.115796061E+03 5.675133014E-02 4.925690757E+01 1.486184870E+00 9.999387868E-04 6.121316857E-03
STLBO 300 2E-5 4E-7 1.407044683E-05 6.197021151E+00 5.421257047E+00 1.807481735E+00 1.040410157E+04 4.041015653E+00 9.650644015E-05 1.570480358E-01 2.651206593E+00 5.797527610E-01 2.109833804E+03 2.252059265E-01 5.361668442E+01 7.233368842E+00 1.001692355E-03 1.692354546E-01
STLBO 300 2E-5 6E-7 1.297952135E-05 1.346985766E+01 5.308938880E+00 3.841844539E+00 9.345421696E+03 6.545783041E+00 9.642475038E-05 2.415620681E-01 2.647211928E+00 7.295527199E-01 2.107331946E+03 3.435197132E-01 5.612436941E+01 1.224873881E+01 1.004605896E-03 4.605896227E-01
STLBO 300 2E-5 8E-7 1.206149186E-05 1.959005424E+01 5.204368714E+00 5.735871661E+00 8.894885395E+03 1.105114605E+01 9.657840336E-05 8.259685005E-02 2.641494107E+00 9.439709811E-01 2.106833717E+03 3.670811534E-01 5.942153120E+01 1.884306239E+01 1.007096981E-03 7.096980759E-01
STLBO 300 2E-5 1E-6 1.229790585E-05 1.801396103E+01 5.222083603E+00 5.415010737E+00 9.212965855E+03 7.870341452E+00 9.604986133E-05 6.294121331E-01 2.617471445E+00 1.844820809E+00 2.098226082E+03 7.741392810E-01 6.068367152E+01 2.136734303E+01 1.006118181E-03 6.118181396E-01
STLBO 300 4E-5 0 1.505268118E-05 3.512078771E-01 5.525053294E+00 7.252778905E-02 1.006411144E+04 6.411144016E-01 9.666163056E-05 3.507766125E-03 2.666916619E+00 9.373213392E-03 2.114713213E+03 5.543038549E-03 4.989236763E+01 2.152647403E-01 9.999432282E-04 5.677184000E-03
STLBO 300 4E-5 2E-7 1.490742219E-05 6.171853886E-01 5.504894984E+00 2.925895928E-01 1.050901771E+04 5.090177108E+00 9.658225965E-05 7.860723985E-02 2.662403241E+00 1.598784787E-01 2.112999371E+03 7.550517113E-02 5.071669496E+01 1.433389916E+00 1.000312397E-03 3.123974071E-02
STLBO 300 4E-5 4E-7 1.432226045E-05 4.518263643E+00 5.446803400E+00 1.344773416E+00 1.057598459E+04 5.759845900E+00 9.641424077E-05 2.524350267E-01 2.652560003E+00 5.289999139E-01 2.108836431E+03 2.723720958E-01 5.275089654E+01 5.501793086E+00 1.001388396E-03 1.388396340E-01
STLBO 300 4E-5 6E-7 1.310427784E-05 1.263814776E+01 5.320555776E+00 3.631433504E+00 9.674956592E+03 3.250434080E+00 9.660455539E-05 5.554066677E-02 2.652680475E+00 5.244822128E-01 2.110183525E+03 2.086675104E-01 5.568547683E+01 1.137095367E+01 1.004038028E-03 4.038028403E-01
STLBO 300 4E-5 8E-7 1.173882229E-05 2.174118473E+01 5.170794266E+00 6.343988855E+00 8.655703601E+03 1.344296399E+01 9.627243555E-05 3.991428632E-01 2.624686401E+00 1.574259965E+00 2.101026522E+03 6.417054517E-01 6.144966671E+01 2.289933343E+01 1.007143429E-03 7.143429170E-01
STLBO 300 4E-5 1E-6 1.223130401E-05 1.845797326E+01 5.202824371E+00 5.763843567E+00 8.659071419E+03 1.340928581E+01 9.637553468E-05 2.924792938E-01 2.630798506E+00 1.345056052E+00 2.102540733E+03 5.700978579E-01 6.029728097E+01 2.059456193E+01 1.007303185E-03 7.303185240E-01
STLBO 300 6E-5 0 1.493892153E-05 4.071898305E-01 5.515591356E+00 9.885155289E-02 9.970435418E+03 2.956458191E-01 9.666103473E-05 2.891327955E-03 2.666193714E+00 1.773574928E-02 2.114490033E+03 5.011203086E-03 5.018375943E+01 3.675188574E-01 1.000074538E-03 7.453845000E-03
