T file kT1 Voc Jsc FF eta Vmpp Jmpp Wph TDD TDD1 d N_B
315 001_315 36.807 4.498510E-1 3.633865E-1 7.804590E+1 2.551630E+1 3.764750E-1 3.388843E-1 5.000000E-1 1.000000E+10 1.000000E+10 3.800E-4 1.778E+16
315 002_315 36.807 4.494890E-1 3.622037E-1 7.803530E+1 2.540940E+1 3.761430E-1 3.377617E-1 5.000000E-1 1.468000E+10 1.468000E+10 3.800E-4 1.778E+16
315 003_315 36.807 4.489770E-1 3.605122E-1 7.801980E+1 2.525690E+1 3.756740E-1 3.361534E-1 5.000000E-1 2.154000E+10 2.154000E+10 3.800E-4 1.778E+16
315 004_315 36.807 4.482600E-1 3.581205E-1 7.799750E+1 2.504210E+1 3.750290E-1 3.338680E-1 5.000000E-1 3.162000E+10 3.162000E+10 3.800E-4 1.778E+16
315 005_315 36.807 4.472780E-1 3.547915E-1 7.796550E+1 2.474480E+1 3.741110E-1 3.307142E-1 5.000000E-1 4.642000E+10 4.642000E+10 3.800E-4 1.778E+16
315 006_315 36.807 4.459660E-1 3.502556E-1 7.792040E+1 2.434270E+1 3.728810E-1 3.264138E-1 5.000000E-1 6.813000E+10 6.813000E+10 3.800E-4 1.778E+16
315 007_315 36.807 4.442670E-1 3.442447E-1 7.785830E+1 2.381480E+1 3.712990E-1 3.206957E-1 5.000000E-1 1.000000E+11 1.000000E+11 3.800E-4 1.778E+16
315 008_315 36.807 4.421450E-1 3.365509E-1 7.777560E+1 2.314670E+1 3.692680E-1 3.134133E-1 5.000000E-1 1.468000E+11 1.468000E+11 3.800E-4 1.778E+16
315 009_315 36.807 4.395650E-1 3.270932E-1 7.767490E+1 2.233600E+1 3.668260E-1 3.044491E-1 5.000000E-1 2.154000E+11 2.154000E+11 3.800E-4 1.778E+16
315 010_315 36.807 4.364600E-1 3.159574E-1 7.757190E+1 2.139480E+1 3.639750E-1 2.939048E-1 5.000000E-1 3.162000E+11 3.162000E+11 3.800E-4 1.778E+16
315 011_315 36.807 4.330280E-1 3.033670E-1 7.743940E+1 2.034590E+1 3.607520E-1 2.819930E-1 5.000000E-1 4.642000E+11 4.642000E+11 3.800E-4 1.778E+16
315 012_315 36.807 4.292510E-1 2.895857E-1 7.728670E+1 1.921430E+1 3.571780E-1 2.689731E-1 5.000000E-1 6.813000E+11 6.813000E+11 3.800E-4 1.778E+16
315 013_315 36.807 4.250290E-1 2.748124E-1 7.713120E+1 1.801840E+1 3.532710E-1 2.550215E-1 5.000000E-1 1.000000E+12 1.000000E+12 3.800E-4 1.778E+16
315 014_315 36.807 4.205350E-1 2.591467E-1 7.693520E+1 1.676890E+1 3.490140E-1 2.402317E-1 5.000000E-1 1.468000E+12 1.468000E+12 3.800E-4 1.778E+16
315 015_315 36.807 4.154940E-1 2.426433E-1 7.673810E+1 1.547300E+1 3.443460E-1 2.246725E-1 5.000000E-1 2.154000E+12 2.154000E+12 3.800E-4 1.778E+16
315 016_315 36.807 4.101340E-1 2.253992E-1 7.648880E+1 1.414190E+1 3.392480E-1 2.084292E-1 5.000000E-1 3.162000E+12 3.162000E+12 3.800E-4 1.778E+16
315 017_315 36.807 4.041660E-1 2.076030E-1 7.623340E+1 1.279290E+1 3.337210E-1 1.916706E-1 5.000000E-1 4.642000E+12 4.642000E+12 3.800E-4 1.778E+16
315 018_315 36.807 3.978050E-1 1.895273E-1 7.592670E+1 1.144900E+1 3.277440E-1 1.746634E-1 5.000000E-1 6.813000E+12 6.813000E+12 3.800E-4 1.778E+16
315 019_315 36.807 3.909970E-1 1.714906E-1 7.557370E+1 1.013480E+1 3.212990E-1 1.577160E-1 5.000000E-1 1.000000E+13 1.000000E+13 3.800E-4 1.778E+16
315 020_315 36.807 3.836540E-1 1.538175E-1 7.518600E+1 8.873900E+0 3.144240E-1 1.411128E-1 5.000000E-1 1.468000E+13 1.468000E+13 3.800E-4 1.778E+16
315 021_315 36.807 3.758930E-1 1.368086E-1 7.473280E+1 7.686300E+0 3.071000E-1 1.251438E-1 5.000000E-1 2.154000E+13 2.154000E+13 3.800E-4 1.778E+16
315 022_315 36.807 3.677100E-1 1.207192E-1 7.420180E+1 6.587600E+0 2.993070E-1 1.100475E-1 5.000000E-1 3.162000E+13 3.162000E+13 3.800E-4 1.778E+16
315 023_315 36.807 3.590880E-1 1.057464E-1 7.357860E+1 5.587900E+0 2.910450E-1 9.599713E-2 5.000000E-1 4.642000E+13 4.642000E+13 3.800E-4 1.778E+16
315 024_315 36.807 3.499930E-1 9.202294E-2 7.284410E+1 4.692200E+0 2.822750E-1 8.311450E-2 5.000000E-1 6.813000E+13 6.813000E+13 3.800E-4 1.778E+16
315 025_315 36.807 3.403530E-1 7.961875E-2 7.197770E+1 3.901000E+0 2.729000E-1 7.147235E-2 5.000000E-1 1.000000E+14 1.000000E+14 3.800E-4 1.778E+16
