N_Fe Bo105 Bo175 Bo315 Bo565 Bo106 Bo176 Bo316 Bo566 Bo107
Bo 1.500000000E+01 1.524993176E+01 1.549996187E+01 1.574996808E+01 1.600000000E+01 1.624993176E+01 1.649996187E+01 1.674996808E+01 1.700000000E+01
1.000000000E+01 2.962740000E-03 1.719796000E-03 1.658631000E-03 1.291281100E-02 2.203286800E-02 3.144882200E-02 4.223603000E-02 5.438067700E-02 7.134864300E-02
1.016672606E+01 2.103004000E-03 1.241194000E-03 1.117596000E-03 9.029547000E-03 1.556147800E-02 2.248286000E-02 3.068669900E-02 4.031595200E-02 5.439051300E-02
1.033324570E+01 1.474298000E-03 8.815230000E-04 7.607040000E-04 6.271628000E-03 1.087944500E-02 1.585091100E-02 2.188600100E-02 2.918584900E-02 3.947939300E-02
1.049996187E+01 1.024091000E-03 6.187730000E-04 5.252640000E-04 4.337027000E-03 7.550491000E-03 1.105989100E-02 1.538815900E-02 2.073045800E-02 2.845483500E-02
1.066670514E+01 7.065450000E-04 4.307770000E-04 3.693580000E-04 2.991868000E-03 5.213255000E-03 7.658073000E-03 1.070201500E-02 1.450433300E-02 1.973436200E-02
1.083333839E+01 4.849650000E-04 2.982650000E-04 2.656980000E-04 2.062373000E-03 3.587031000E-03 5.272457000E-03 7.379955000E-03 1.002562400E-02 1.370408600E-02
1.100000000E+01 3.315210000E-04 2.058560000E-04 1.965460000E-04 1.422788000E-03 2.462760000E-03 3.614417000E-03 5.054334000E-03 6.860255000E-03 9.387282000E-03
1.116672606E+01 2.258380000E-04 1.419040000E-04 1.503410000E-04 9.839380000E-04 1.688909000E-03 2.469422000E-03 3.441648000E-03 4.654330000E-03 6.359695000E-03
1.133324570E+01 1.533490000E-04 9.790000000E-05 1.195140000E-04 6.832830000E-04 1.157857000E-03 1.682560000E-03 2.331944000E-03 3.136001000E-03 4.274810000E-03
1.149996187E+01 1.038040000E-04 6.776500000E-05 9.901600000E-05 4.773970000E-04 7.942030000E-04 1.144052000E-03 1.574074000E-03 2.103562000E-03 2.862611000E-03
1.166670514E+01 7.006800000E-05 4.722600000E-05 8.524300000E-05 3.362560000E-04 5.455440000E-04 7.771010000E-04 1.060674000E-03 1.410079000E-03 1.918941000E-03
1.183333839E+01 4.721500000E-05 3.331000000E-05 7.567200000E-05 2.391040000E-04 3.757730000E-04 5.283700000E-04 7.159780000E-04 9.492490000E-04 1.293992000E-03
1.200000000E+01 3.185900000E-05 2.395800000E-05 6.830400000E-05 1.718910000E-04 2.600620000E-04 3.608050000E-04 4.865050000E-04 6.451630000E-04 8.815840000E-04
1.216672606E+01 2.166500000E-05 1.776200000E-05 6.170100000E-05 1.249740000E-04 1.814440000E-04 2.486590000E-04 3.346110000E-04 4.449050000E-04 6.090430000E-04
1.233324570E+01 1.502300000E-05 1.369600000E-05 5.499700000E-05 9.204200000E-05 1.281860000E-04 1.738990000E-04 2.341880000E-04 3.125710000E-04 4.281230000E-04
1.249996187E+01 1.079800000E-05 1.562000000E-05 4.805300000E-05 6.876700000E-05 9.219300000E-05 1.241050000E-04 1.674730000E-04 2.244230000E-04 3.071830000E-04
1.266670514E+01 8.176000000E-06 2.406600000E-05 4.122900000E-05 5.228900000E-05 6.779400000E-05 9.072600000E-05 1.227400000E-04 1.650890000E-04 2.851540000E-04
1.283333839E+01 6.571000000E-06 2.699500000E-05 3.498300000E-05 4.056600000E-05 5.113700000E-05 6.805500000E-05 9.231600000E-05 1.308580000E-04 2.077480000E-04
1.300000000E+01 5.571000000E-06 2.666100000E-05 2.958400000E-05 3.211800000E-05 3.958100000E-05 5.243200000E-05 7.130800000E-05 1.268410000E-04 1.445320000E-04
