Ytrue Ypred RSE
681299999999.999756 686807318528.000000 0.000065
464200000000.000854 466778947584.000000 0.000031
68129999999.999977 68224221184.000000 0.000002
1467999999999.998779 1453894270976.000000 0.000093
14679999999999.988281 14506541449216.000000 0.000141
68129999999.999977 68296171520.000000 0.000006
146799999999.999878 146606080000.000000 0.000002
10000000000000.000000 9963942445056.000000 0.000013
215400000000.000427 214630645760.000000 0.000013
681299999999.999756 687685632000.000000 0.000087
14679999999999.988281 14769535844352.000000 0.000037
100000000000000.000000 102027795365888.000000 0.000403
1000000000000.000000 993180909568.000000 0.000047
2154000000000.004395 2141974822912.000000 0.000031
46420000000.000084 46736764928.000000 0.000046
31620000000.000057 31597996032.000000 0.000000
68129999999999.976562 68923823226880.000000 0.000134
10000000000000.000000 10056638660608.000000 0.000032
68129999999.999977 68422115328.000000 0.000018
3162000000000.005859 3124644282368.000000 0.000141
100000000000.000000 101598085120.000000 0.000251
6812999999999.998047 6838245916672.000000 0.000014
316200000000.000610 321289125888.000000 0.000255
14679999999999.988281 14601075818496.000000 0.000029
14679999999999.988281 14762531356672.000000 0.000031
21540000000000.042969 21734451314688.000000 0.000081
4642000000000.007812 4660865269760.000000 0.000016
3162000000000.005859 3143667023872.000000 0.000034
316200000000.000610 322366144512.000000 0.000373
68129999999999.976562 68895226462208.000000 0.000125
68129999999999.976562 71376257941504.000000 0.002167
10000000000000.000000 10033962156032.000000 0.000011
10000000000000.000000 10074033487872.000000 0.000054
31620000000000.058594 32236755746816.000000 0.000373
14679999999.999989 14740892672.000000 0.000017
681299999999.999756 678976618496.000000 0.000012
1000000000000.000000 994896576512.000000 0.000026
316200000000.000610 318582194176.000000 0.000056
21540000000.000042 21759473664.000000 0.000103
68129999999999.976562 69850055573504.000000 0.000622
21540000000.000042 22096726016.000000 0.000651
10000000000000.000000 9918056759296.000000 0.000068
464200000000.000854 466638536704.000000 0.000027
3162000000000.005859 3116640239616.000000 0.000209
10000000000.000000 10210355200.000000 0.000433
