Ytrue Ypred RSE
21540000000.000042 20836132864.000000 0.001104
6812999999999.998047 6678961455104.000000 0.000395
3162000000000.005859 3110104465408.000000 0.000274
18790000000.000011 18722080768.000000 0.000013
10000000000000.000000 9711463170048.000000 0.000857
5483999999999.995117 5405593829376.000000 0.000207
56749999999.999962 56097722368.000000 0.000134
171400000000.000183 171458674688.000000 0.000000
6826000000000.003906 6719637291008.000000 0.000247
10000000000000.000000 9653058535424.000000 0.001247
31620000000.000057 31273488384.000000 0.000121
90000000000000.062500 85067523162112.000000 0.003178
10000000000.000000 9908152320.000000 0.000085
21540000000000.042969 21018666074112.000000 0.000600
68129999999999.976562 64709977964544.000000 0.002653
1564000000000.001709 1541289934848.000000 0.000214
3266999999999.995117 3193772179456.000000 0.000514
10000000000000.000000 9756607512576.000000 0.000607
46420000000000.085938 43800927928320.000000 0.003374
90000000000000.062500 85872879861760.000000 0.002204
1467999999999.998779 1463776968704.000000 0.000008
4642000000000.007812 4550250463232.000000 0.000399
2260000000000.001465 2216471298048.000000 0.000378
29799999999999.941406 28361128673280.000000 0.002450
681299999999.999756 680122646528.000000 0.000003
46420000000000.085938 43996613181440.000000 0.002876
21540000000000.042969 20661992947712.000000 0.001732
211399999999.999786 208135438336.000000 0.000242
14260000000000.021484 13601383383040.000000 0.002236
68129999999999.976562 63532880101376.000000 0.004882
464200000000.000854 460674301952.000000 0.000058
7874000000000.015625 7760142401536.000000 0.000212
90000000000000.062500 83750973079552.000000 0.005181
1290000000000.002197 1256071233536.000000 0.000710
2154000000000.004395 2116943872000.000000 0.000301
39259999999.999962 38605647872.000000 0.000283
4642000000000.007812 4645191680000.000000 0.000000
21540000000000.042969 21059136913408.000000 0.000510
31620000000.000057 32013273088.000000 0.000153
10000000000000.000000 9837000785920.000000 0.000270
215400000000.000427 210941263872.000000 0.000438
68129999999999.976562 62155550359552.000000 0.008429
316200000000.000610 313185009664.000000 0.000092
48050000000000.085938 46045279027200.000000 0.001816
46420000000000.085938 42685700243456.000000 0.007038
247800000000.000458 241686888448.000000 0.000624
31620000000000.058594 30526253563904.000000 0.001239
681299999999.999756 674670968832.000000 0.000096
62260000000000.117188 59531899961344.000000 0.002008
14679999999999.988281 14359672651776.000000 0.000487
171400000000.000183 168196046848.000000 0.000356
10000000000.000000 10056837120.000000 0.000032
1467999999999.998779 1444611096576.000000 0.000258
68129999999.999977 67714072576.000000 0.000037
1467999999999.998779 1449746497536.000000 0.000157
14679999999.999989 14933575680.000000 0.000293
21540000000.000042 21662263296.000000 0.000032
1082000000000.001831 1059506356224.000000 0.000441
1082000000000.001831 1076433453056.000000 0.000027
82040000000.000137 82421841920.000000 0.000022
90000000000000.062500 87408389390336.000000 0.000854
171400000000.000183 167720255488.000000 0.000471
14679999999.999989 14683902976.000000 0.000000
20619999999999.968750 19671719870464.000000 0.002217
23310000000000.023438 21987915202560.000000 0.003410
517700000000.000488 517706579968.000000 0.000000
31620000000.000057 31326892032.000000 0.000087
100000000000.000000 99140935680.000000 0.000074
10000000000000.000000 9855054118912.000000 0.000213
68129999999.999977 68190523392.000000 0.000001
10000000000000.000000 9968778477568.000000 0.000010
2154000000000.004395 2116093345792.000000 0.000315
62260000000000.117188 59440464134144.000000 0.002148
1000000000000.000000 988971859968.000000 0.000123
247800000000.000458 241227726848.000000 0.000723
39259999999.999962 39248879616.000000 0.000000
4722000000000.004883 4669183623168.000000 0.000127
48050000000000.085938 46655449595904.000000 0.000868
1467999999999.998779 1453000491008.000000 0.000105
21540000000.000042 21593399296.000000 0.000006
100000000000.000000 99464314880.000000 0.000029
464200000000.000854 456787001344.000000 0.000259
1000000000000.000000 998203129856.000000 0.000003
68129999999999.976562 64289884864512.000000 0.003367
39259999999.999962 39531638784.000000 0.000048
100000000000000.000000 95406927118336.000000 0.002211
1000000000000.000000 992027803648.000000 0.000064
21540000000.000042 21622200320.000000 0.000015
16230000000000.031250 16061804052480.000000 0.000109
31620000000000.058594 30160252305408.000000 0.002234
46420000000.000084 46376697856.000000 0.000001
316200000000.000610 312430788608.000000 0.000144
2154000000000.004395 2122650746880.000000 0.000215
14679999999.999989 14311949312.000000 0.000645
21540000000.000042 21144629248.000000 0.000343
681299999999.999756 669223288832.000000 0.000320
146799999999.999878 144313040896.000000 0.000292
68129999999.999977 67847880704.000000 0.000017
681299999999.999756 679732969472.000000 0.000005
100000000000000.000000 97121457930240.000000 0.000853
4722000000000.004883 4677424381952.000000 0.000090
27160000000.000034 27724544000.000000 0.000423
4642000000000.007812 4567479091200.000000 0.000262
21540000000000.042969 20892809691136.000000 0.000931
681299999999.999756 673142276096.000000 0.000145
56749999999.999962 56668123136.000000 0.000002
18790000000.000011 19005077504.000000 0.000130
2260000000000.001465 2205275914240.000000 0.000601
14679999999.999989 14820509696.000000 0.000091
4642000000000.007812 4600717901824.000000 0.000080
681299999999.999756 680333279232.000000 0.000002
14679999999.999989 14695870464.000000 0.000001
748299999999.999878 742267813888.000000 0.000066
7874000000000.015625 7637508816896.000000 0.000930
748299999999.999878 733999792128.000000 0.000372
24119999999.999950 24019118080.000000 0.000018
14679999999999.988281 14126014267392.000000 0.001480
46420000000000.085938 45647113748480.000000 0.000282
146799999999.999878 143997124608.000000 0.000372
118599999999.999893 117369765888.000000 0.000109
100000000000000.000000 94186678255616.000000 0.003588
68129999999999.976562 66306644639744.000000 0.000736
3162000000000.005859 3107305553920.000000 0.000304
43069999999999.960938 42307478880256.000000 0.000319
31620000000.000057 31563530240.000000 0.000003
46420000000.000084 46100824064.000000 0.000048
68129999999999.976562 66340140351488.000000 0.000709
31620000000.000057 31497545728.000000 0.000015
18790000000.000011 18415738880.000000 0.000405
748299999999.999878 736631783424.000000 0.000247
46420000000000.085938 44195507077120.000000 0.002412
16230000000000.031250 15605419737088.000000 0.001540
215400000000.000427 210902351872.000000 0.000445
90000000000000.062500 86908470296576.000000 0.001222
464200000000.000854 454248300544.000000 0.000470
