Ytrue Ypred RSE
11700000000.000013 11406158848.000000 0.000647
16800000000.000017 16717202432.000000 0.000024
24119999999.999950 24008359936.000000 0.000022
34640000000.000023 34363965440.000000 0.000064
49729999999.999969 49276010496.000000 0.000084
71409999999.999878 70790602752.000000 0.000076
102499999999.999969 102035406848.000000 0.000021
147200000000.000183 145715118080.000000 0.000103
211399999999.999786 209715478528.000000 0.000064
303500000000.000488 300993839104.000000 0.000069
435800000000.000732 428960874496.000000 0.000250
625799999999.999146 615499169792.000000 0.000275
898499999999.998657 881059889152.000000 0.000384
1290000000000.002197 1277787635712.000000 0.000090
1851999999999.997559 1846534471680.000000 0.000009
2660000000000.000488 2569988472832.000000 0.001185
3819000000000.004395 3835586674688.000000 0.000019
5483999999999.995117 5457081008128.000000 0.000024
7874000000000.015625 7839993561088.000000 0.000019
11309999999999.998047 11294845435904.000000 0.000002
16230000000000.031250 16285122428928.000000 0.000011
23310000000000.023438 23355497381888.000000 0.000004
33470000000000.011719 33970444042240.000000 0.000220
48050000000000.085938 48707982589952.000000 0.000185
69000000000000.054688 69377852440576.000000 0.000030
11700000000.000013 11443590144.000000 0.000491
16800000000.000017 16688483328.000000 0.000044
24119999999.999950 23904989184.000000 0.000080
34640000000.000023 34294609920.000000 0.000100
49729999999.999969 49084858368.000000 0.000171
71409999999.999878 70640123904.000000 0.000117
102499999999.999969 101077590016.000000 0.000195
147200000000.000183 144752934912.000000 0.000281
211399999999.999786 208216801280.000000 0.000230
303500000000.000488 300600164352.000000 0.000092
435800000000.000732 426148954112.000000 0.000502
625799999999.999146 612674109440.000000 0.000449
898499999999.998657 874556162048.000000 0.000730
1290000000000.002197 1280723124224.000000 0.000052
1851999999999.997559 1847532191744.000000 0.000006
2660000000000.000488 2701532069888.000000 0.000240
3819000000000.004395 3886286110720.000000 0.000305
5483999999999.995117 5444381704192.000000 0.000053
7874000000000.015625 7801970098176.000000 0.000084
11309999999999.998047 11359740755968.000000 0.000019
16230000000000.031250 16396539920384.000000 0.000104
23310000000000.023438 23648318521344.000000 0.000208
33470000000000.011719 33938233884672.000000 0.000193
48050000000000.085938 48622171324416.000000 0.000140
69000000000000.054688 69879818354688.000000 0.000161
11700000000.000013 11422400512.000000 0.000577
16800000000.000017 16854580224.000000 0.000011
24119999999.999950 24078475264.000000 0.000003
34640000000.000023 34684112896.000000 0.000002
49729999999.999969 49918251008.000000 0.000014
71409999999.999878 71434903552.000000 0.000000
102499999999.999969 102721994752.000000 0.000005
147200000000.000183 146853216256.000000 0.000006
211399999999.999786 209953243136.000000 0.000047
303500000000.000488 302673362944.000000 0.000007
435800000000.000732 434679644160.000000 0.000007
625799999999.999146 616409464832.000000 0.000229
898499999999.998657 887791222784.000000 0.000144
1290000000000.002197 1309229711360.000000 0.000219
1851999999999.997559 1851890597888.000000 0.000000
2660000000000.000488 2655356452864.000000 0.000003
3819000000000.004395 3773472702464.000000 0.000144
5483999999999.995117 5451906809856.000000 0.000034
7874000000000.015625 7880573452288.000000 0.000001
11309999999999.998047 11354578616320.000000 0.000015
16230000000000.031250 16504223432704.000000 0.000281
23310000000000.023438 23495673118720.000000 0.000063
33470000000000.011719 34057534570496.000000 0.000303
48050000000000.085938 48929458618368.000000 0.000329
69000000000000.054688 69918347231232.000000 0.000175
11700000000.000013 11489996800.000000 0.000328
16800000000.000017 17096465408.000000 0.000306
24119999999.999950 24208791552.000000 0.000014
34640000000.000023 34885312512.000000 0.000050
49729999999.999969 50453618688.000000 0.000209
71409999999.999878 71852752896.000000 0.000038
102499999999.999969 103031259136.000000 0.000027
147200000000.000183 147364593664.000000 0.000001
211399999999.999786 209327620096.000000 0.000097
303500000000.000488 301827129344.000000 0.000031
435800000000.000732 435755745280.000000 0.000000
625799999999.999146 614965575680.000000 0.000305
898499999999.998657 907476074496.000000 0.000099
1290000000000.002197 1317466406912.000000 0.000444
1851999999999.997559 1853721411584.000000 0.000001
2660000000000.000488 2643255623680.000000 0.000040
3819000000000.004395 3764187037696.000000 0.000209
5483999999999.995117 5456062840832.000000 0.000026
7874000000000.015625 7858333155328.000000 0.000004
11309999999999.998047 11277051101184.000000 0.000009
16230000000000.031250 16403201523712.000000 0.000113
23310000000000.023438 24015427076096.000000 0.000889
33470000000000.011719 33637152063488.000000 0.000025
48050000000000.085938 50214211682304.000000 0.001941
69000000000000.054688 71416707809280.000000 0.001185
11700000000.000013 11421071360.000000 0.000582
16800000000.000017 16878840832.000000 0.000022
24119999999.999950 23975065600.000000 0.000036
34640000000.000023 34722828288.000000 0.000006
49729999999.999969 49581334528.000000 0.000009
71409999999.999878 71267098624.000000 0.000004
102499999999.999969 102593953792.000000 0.000001
147200000000.000183 147266240512.000000 0.000000
211399999999.999786 207767830528.000000 0.000300
303500000000.000488 295062798336.000000 0.000795
435800000000.000732 433594728448.000000 0.000026
625799999999.999146 637163274240.000000 0.000324
898499999999.998657 931942170624.000000 0.001336
1290000000000.002197 1302931439616.000000 0.000099
1851999999999.997559 1843034456064.000000 0.000024
2660000000000.000488 2640082632704.000000 0.000056
3819000000000.004395 3807240257536.000000 0.000010
5483999999999.995117 5319012909056.000000 0.000933
7874000000000.015625 7921849597952.000000 0.000037
11309999999999.998047 11579841052672.000000 0.000556
16230000000000.031250 16071682686976.000000 0.000096
23310000000000.023438 24488693465088.000000 0.002434
33470000000000.011719 34743573807104.000000 0.001395
48050000000000.085938 48777234743296.000000 0.000226
