Ytrue Ypred RSE
13000000000.000006 12927003648.000000 0.000032
18790000000.000011 18932183040.000000 0.000057
27160000000.000034 27450001408.000000 0.000113
39259999999.999962 39432626176.000000 0.000019
56749999999.999962 57180749824.000000 0.000057
82040000000.000137 82351284224.000000 0.000014
118599999999.999893 119288127488.000000 0.000033
171400000000.000183 170760552448.000000 0.000014
247800000000.000458 248146231296.000000 0.000002
358099999999.999512 353805991936.000000 0.000146
517700000000.000488 509445832704.000000 0.000258
748299999999.999878 742096699392.000000 0.000069
1082000000000.001831 1075677298688.000000 0.000034
1564000000000.001709 1602189262848.000000 0.000582
2260000000000.001465 2266497548288.000000 0.000008
3266999999999.995117 3314384633856.000000 0.000207
4722000000000.004883 4727869276160.000000 0.000002
6826000000000.003906 6827608113152.000000 0.000000
9867000000000.019531 10004349321216.000000 0.000191
14260000000000.021484 14523243167744.000000 0.000335
20619999999999.968750 20564716552192.000000 0.000007
29799999999999.941406 30093699186688.000000 0.000096
43069999999999.960938 43687291650048.000000 0.000203
62260000000000.117188 63043409018880.000000 0.000156
90000000000000.062500 93944591417344.000000 0.001840
13000000000.000006 12886531072.000000 0.000077
18790000000.000011 18828163072.000000 0.000004
27160000000.000034 27346939904.000000 0.000047
39259999999.999962 39303647232.000000 0.000001
56749999999.999962 56917671936.000000 0.000009
82040000000.000137 81811996672.000000 0.000008
118599999999.999893 118697074688.000000 0.000001
171400000000.000183 170654466048.000000 0.000019
247800000000.000458 249007046656.000000 0.000024
358099999999.999512 351705989120.000000 0.000325
517700000000.000488 507914387456.000000 0.000364
748299999999.999878 739662888960.000000 0.000135
1082000000000.001831 1084007448576.000000 0.000003
1564000000000.001709 1609732587520.000000 0.000831
2260000000000.001465 2301272522752.000000 0.000328
3266999999999.995117 3302295863296.000000 0.000115
4722000000000.004883 4716618055680.000000 0.000001
6826000000000.003906 6809550585856.000000 0.000006
9867000000000.019531 9989114560512.000000 0.000151
14260000000000.021484 14413315702784.000000 0.000114
20619999999999.968750 20544992837632.000000 0.000013
29799999999999.941406 30141184999424.000000 0.000130
43069999999999.960938 43566772518912.000000 0.000132
62260000000000.117188 63051994759168.000000 0.000160
90000000000000.062500 93183987941376.000000 0.001209
13000000000.000006 12759426048.000000 0.000349
18790000000.000011 18678964224.000000 0.000035
27160000000.000034 27118323712.000000 0.000002
39259999999.999962 38991765504.000000 0.000047
56749999999.999962 56455233536.000000 0.000027
82040000000.000137 81158889472.000000 0.000117
118599999999.999893 117925724160.000000 0.000033
171400000000.000183 169665396736.000000 0.000103
247800000000.000458 248240521216.000000 0.000003
358099999999.999512 350755782656.000000 0.000429
517700000000.000488 506933837824.000000 0.000442
748299999999.999878 738971287552.000000 0.000157
1082000000000.001831 1081256837120.000000 0.000000
1564000000000.001709 1610825203712.000000 0.000870
2260000000000.001465 2305450311680.000000 0.000396
3266999999999.995117 3323815788544.000000 0.000297
4722000000000.004883 4699394146304.000000 0.000023
6826000000000.003906 6834522947584.000000 0.000002
9867000000000.019531 9991878606848.000000 0.000158
14260000000000.021484 14417557192704.000000 0.000121
20619999999999.968750 20837048516608.000000 0.000110
29799999999999.941406 30137808584704.000000 0.000127
43069999999999.960938 43870716952576.000000 0.000339
62260000000000.117188 63307687919616.000000 0.000278
90000000000000.062500 93101150437376.000000 0.001148
13000000000.000006 12668050432.000000 0.000669
18790000000.000011 18551140352.000000 0.000164
27160000000.000034 26880399360.000000 0.000107
39259999999.999962 38689665024.000000 0.000214
56749999999.999962 56009715712.000000 0.000172
82040000000.000137 80492257280.000000 0.000363
118599999999.999893 117106655232.000000 0.000161
171400000000.000183 168531378176.000000 0.000285
247800000000.000458 247328030720.000000 0.000004
358099999999.999512 349914169344.000000 0.000535
517700000000.000488 505437716480.000000 0.000575
748299999999.999878 738011250688.000000 0.000192
1082000000000.001831 1082033569792.000000 0.000000
1564000000000.001709 1608305082368.000000 0.000780
2260000000000.001465 2308596301824.000000 0.000453
3266999999999.995117 3342575599616.000000 0.000523
4722000000000.004883 4701056139264.000000 0.000020
6826000000000.003906 6835213434880.000000 0.000002
9867000000000.019531 10014085349376.000000 0.000219
14260000000000.021484 14369136050176.000000 0.000058
20619999999999.968750 20940807208960.000000 0.000238
29799999999999.941406 30394149765120.000000 0.000390
43069999999999.960938 44003957407744.000000 0.000460
62260000000000.117188 63796265615360.000000 0.000594
90000000000000.062500 92941615890432.000000 0.001034
13000000000.000006 12784892928.000000 0.000278
18790000000.000011 18664652800.000000 0.000045
27160000000.000034 26938841088.000000 0.000067
39259999999.999962 39022346240.000000 0.000037
56749999999.999962 56259080192.000000 0.000075
82040000000.000137 80998473728.000000 0.000163
118599999999.999893 117366931456.000000 0.000109
171400000000.000183 168928559104.000000 0.000211
247800000000.000458 248286314496.000000 0.000004
358099999999.999512 351835783168.000000 0.000311
517700000000.000488 504224940032.000000 0.000696
748299999999.999878 737994997760.000000 0.000192
1082000000000.001831 1088816939008.000000 0.000039
1564000000000.001709 1606215663616.000000 0.000709
2260000000000.001465 2296028069888.000000 0.000250
3266999999999.995117 3310376714240.000000 0.000174
4722000000000.004883 4717374078976.000000 0.000001
6826000000000.003906 6838876635136.000000 0.000004
9867000000000.019531 9983062179840.000000 0.000137
14260000000000.021484 14445888667648.000000 0.000168
20619999999999.968750 20806597869568.000000 0.000081
29799999999999.941406 30148663443456.000000 0.000135
