Ytrue Ypred RSE
10000000000.000000 9970136064.000000 0.000009
14679999999.999989 14540282880.000000 0.000091
21540000000.000042 21387974656.000000 0.000050
31620000000.000057 31419000832.000000 0.000041
46420000000.000084 46276190208.000000 0.000010
68129999999.999977 67991060480.000000 0.000004
100000000000.000000 99540140032.000000 0.000021
146799999999.999878 146045059072.000000 0.000027
215400000000.000427 213722939392.000000 0.000061
316200000000.000610 312785698816.000000 0.000118
464200000000.000854 454902120448.000000 0.000409
681299999999.999756 671344295936.000000 0.000217
1000000000000.000000 999233945600.000000 0.000001
1467999999999.998779 1495546462208.000000 0.000346
2154000000000.004395 2180769120256.000000 0.000153
3162000000000.005859 3175380418560.000000 0.000018
4642000000000.007812 4618360717312.000000 0.000026
6812999999999.998047 6811090944000.000000 0.000000
10000000000000.000000 10134496477184.000000 0.000178
14679999999999.988281 14757605146624.000000 0.000028
21540000000000.042969 21601745633280.000000 0.000008
31620000000000.058594 32178054365184.000000 0.000306
46420000000000.085938 46916301750272.000000 0.000113
68129999999999.976562 68984393170944.000000 0.000155
100000000000000.000000 101689155649536.000000 0.000281
10000000000.000000 9981790208.000000 0.000003
14679999999.999989 14630281216.000000 0.000012
21540000000.000042 21466411008.000000 0.000012
31620000000.000057 31493396480.000000 0.000016
46420000000.000084 46410010624.000000 0.000000
68129999999.999977 68176297984.000000 0.000000
100000000000.000000 99841138688.000000 0.000003
146799999999.999878 146411126784.000000 0.000007
215400000000.000427 214037626880.000000 0.000040
316200000000.000610 313457475584.000000 0.000076
464200000000.000854 455847116800.000000 0.000330
681299999999.999756 672164478976.000000 0.000182
1000000000000.000000 1000004386816.000000 0.000000
1467999999999.998779 1466708131840.000000 0.000001
2154000000000.004395 2150094471168.000000 0.000003
3162000000000.005859 3153138548736.000000 0.000008
4642000000000.007812 4594670239744.000000 0.000105
6812999999999.998047 6761451880448.000000 0.000058
10000000000000.000000 10117441388544.000000 0.000136
14679999999999.988281 14739565445120.000000 0.000016
21540000000000.042969 21667212427264.000000 0.000035
31620000000000.058594 32156722135040.000000 0.000283
46420000000000.085938 46989093896192.000000 0.000148
68129999999999.976562 69011513540608.000000 0.000165
100000000000000.000000 101934404993024.000000 0.000367
10000000000.000000 10014239744.000000 0.000002
14679999999.999989 14690417664.000000 0.000001
21540000000.000042 21565157376.000000 0.000001
31620000000.000057 31549808640.000000 0.000005
46420000000.000084 46497226752.000000 0.000003
68129999999.999977 68353183744.000000 0.000011
100000000000.000000 99889602560.000000 0.000001
146799999999.999878 146488623104.000000 0.000005
215400000000.000427 214960816128.000000 0.000004
316200000000.000610 314866204672.000000 0.000018
464200000000.000854 456993701888.000000 0.000245
681299999999.999756 675232677888.000000 0.000080
1000000000000.000000 1000081260544.000000 0.000000
1467999999999.998779 1480658780160.000000 0.000074
2154000000000.004395 2160649043968.000000 0.000009
3162000000000.005859 3163555627008.000000 0.000000
4642000000000.007812 4593681432576.000000 0.000109
6812999999999.998047 6810447642624.000000 0.000000
10000000000000.000000 10015317426176.000000 0.000002
14679999999999.988281 14684160786432.000000 0.000000
21540000000000.042969 21793999945728.000000 0.000137
31620000000000.058594 31888875978752.000000 0.000072
46420000000000.085938 47255960682496.000000 0.000319
