N_Fe N_B T d n_FeB n_FeB_SRH
1.000000E+10 5.623E+16 290 1.800E-4 1.241201835E+00 1.252890464E+00
1.468000E+10 5.623E+16 290 1.800E-4 1.244664310E+00 1.253306843E+00
2.154000E+10 5.623E+16 290 1.800E-4 1.247557902E+00 1.253867408E+00
3.162000E+10 5.623E+16 290 1.800E-4 1.250078396E+00 1.254684955E+00
4.642000E+10 5.623E+16 290 1.800E-4 1.252418469E+00 1.255739008E+00
6.813000E+10 5.623E+16 290 1.800E-4 1.254721397E+00 1.257163359E+00
1.000000E+11 5.623E+16 290 1.800E-4 1.257219309E+00 1.259054049E+00
1.468000E+11 5.623E+16 290 1.800E-4 1.260059312E+00 1.261462892E+00
2.154000E+11 5.623E+16 290 1.800E-4 1.263237724E+00 1.264304888E+00
3.162000E+11 5.623E+16 290 1.800E-4 1.266936226E+00 1.267740882E+00
4.642000E+11 5.623E+16 290 1.800E-4 1.270949517E+00 1.271573253E+00
6.813000E+11 5.623E+16 290 1.800E-4 1.275283559E+00 1.275790930E+00
1.000000E+12 5.623E+16 290 1.800E-4 1.279967185E+00 1.280385389E+00
1.468000E+12 5.623E+16 290 1.800E-4 1.284972289E+00 1.285344041E+00
2.154000E+12 5.623E+16 290 1.800E-4 1.290301928E+00 1.290643711E+00
3.162000E+12 5.623E+16 290 1.800E-4 1.295884703E+00 1.296178201E+00
4.642000E+12 5.623E+16 290 1.800E-4 1.301946214E+00 1.302192756E+00
6.813000E+12 5.623E+16 290 1.800E-4 1.299517692E+00 1.299725563E+00
1.000000E+13 5.623E+16 290 1.800E-4 1.313336158E+00 1.313522536E+00
