fname time Tem kT_1 n Rs Io Rsh Iph Voc Isc FF Pm Vm Im rmsre 
0L21 31626 340.04 34.097 1.071481447E+00 8.497239345E-01 4.650411104E-08 3.494452715E+04 1.231068146E-04 2.462030369E-01 1.229546500E-04 6.149415466E-01 1.861539258E-05 1.843879498E-01 1.009354072E-04 3.303535349E-02 
0L21 31626 340.04 34.097 1.071481447E+00 8.497239345E-01 4.650411104E-08 3.494452715E+04 1.231068146E-04 2.462030369E-01 1.229546500E-04 6.149415466E-01 1.861539258E-05 1.843879498E-01 1.009354072E-04 3.303535349E-02 
0L22 31744 339.84 34.117 1.082389421E+00 7.969008070E-01 4.915226823E-08 6.109947704E+04 1.259624902E-04 2.484878170E-01 1.259624902E-04 6.174739953E-01 1.932702510E-05 1.862332108E-01 1.037694542E-04 3.185459667E-02 
0L22 31744 339.84 34.117 1.082389421E+00 7.969008070E-01 4.915226823E-08 6.109947704E+04 1.259624902E-04 2.484878170E-01 1.259624902E-04 6.174739953E-01 1.932702510E-05 1.862332108E-01 1.037694542E-04 3.185459667E-02 
0L23 31830 339.97 34.104 1.068824529E+00 8.055693501E-01 4.232851727E-08 3.474591947E+04 1.284508793E-04 2.494306923E-01 1.283799849E-04 6.172868854E-01 1.976670416E-05 1.872937649E-01 1.055387659E-04 1.628336935E-02 
0L23 31830 339.97 34.104 1.068824529E+00 8.055693501E-01 4.232851727E-08 3.474591947E+04 1.284508793E-04 2.494306923E-01 1.283799849E-04 6.172868854E-01 1.976670416E-05 1.872937649E-01 1.055387659E-04 1.628336935E-02 
0L24 31924 340.05 34.096 1.079887119E+00 7.861339402E-01 4.712768532E-08 4.185257118E+04 1.310634865E-04 2.506085842E-01 1.310634865E-04 6.191255197E-01 2.033557072E-05 1.882359789E-01 1.080258864E-04 4.164037443E-02 
0L24 31924 340.05 34.096 1.079887119E+00 7.861339402E-01 4.712768532E-08 4.185257118E+04 1.310634865E-04 2.506085842E-01 1.310634865E-04 6.191255197E-01 2.033557072E-05 1.882359789E-01 1.080258864E-04 4.164037443E-02 
0L25 32014 340.07 34.094 1.068098671E+00 8.027243580E-01 4.094721291E-08 3.541862993E+04 1.330460979E-04 2.515748493E-01 1.329445509E-04 6.222741434E-01 2.081227321E-05 1.891688932E-01 1.099855199E-04 2.821172967E-02 
0L25 32014 340.07 34.094 1.068098671E+00 8.027243580E-01 4.094721291E-08 3.541862993E+04 1.330460979E-04 2.515748493E-01 1.329445509E-04 6.222741434E-01 2.081227321E-05 1.891688932E-01 1.099855199E-04 2.821172967E-02 
0L26 32106 340.07 34.094 1.083967073E+00 7.573285608E-01 4.743087188E-08 6.655964724E+04 1.350585692E-04 2.538115425E-01 1.350585692E-04 6.189659187E-01 2.121779503E-05 1.894138515E-01 1.120351839E-04 4.964191286E-02 
0L26 32106 340.07 34.094 1.083967073E+00 7.573285608E-01 4.743087188E-08 6.655964724E+04 1.350585692E-04 2.538115425E-01 1.350585692E-04 6.189659187E-01 2.121779503E-05 1.894138515E-01 1.120351839E-04 4.964191286E-02 
0L27 32192 340.05 34.096 1.074933262E+00 7.643923223E-01 4.237345431E-08 4.402966346E+04 1.376631872E-04 2.540699890E-01 1.376631872E-04 6.238097971E-01 2.181842415E-05 1.911116255E-01 1.141245163E-04 4.244209159E-02 
0L27 32192 340.05 34.096 1.074933262E+00 7.643923223E-01 4.237345431E-08 4.402966346E+04 1.376631872E-04 2.540699890E-01 1.376631872E-04 6.238097971E-01 2.181842415E-05 1.911116255E-01 1.141245163E-04 4.244209159E-02 
0L28 32280 340.05 34.096 1.066687826E+00 7.560562534E-01 3.800784212E-08 3.409213254E+04 1.394575324E-04 2.556090206E-01 1.392985467E-04 6.225317166E-01 2.216584257E-05 1.919941250E-01 1.154239413E-04 3.067919959E-02 
0L28 32280 340.05 34.096 1.066687826E+00 7.560562534E-01 3.800784212E-08 3.409213254E+04 1.394575324E-04 2.556090206E-01 1.392985467E-04 6.225317166E-01 2.216584257E-05 1.919941250E-01 1.154239413E-04 3.067919959E-02 
0L29 32370 340.04 34.097 1.059395739E+00 7.966682884E-01 3.505790331E-08 3.022473017E+04 1.413634451E-04 2.565693939E-01 1.409201420E-04 6.216210287E-01 2.247520274E-05 1.921784967E-01 1.169510251E-04 2.699505172E-02 
0L29 32370 340.04 34.097 1.059395739E+00 7.966682884E-01 3.505790331E-08 3.022473017E+04 1.413634451E-04 2.565693939E-01 1.409201420E-04 6.216210287E-01 2.247520274E-05 1.921784967E-01 1.169510251E-04 2.699505172E-02 
0L30 32462 340.04 34.097 1.038385927E+00 8.303392530E-01 2.750197047E-08 1.869263220E+04 1.446897517E-04 2.566161568E-01 1.430743138E-04 6.260966726E-01 2.298725238E-05 1.937694878E-01 1.186065443E-04 8.525818149E-02 
0L30 32462 340.04 34.097 1.038385927E+00 8.303392530E-01 2.750197047E-08 1.869263220E+04 1.446897517E-04 2.566161568E-01 1.430743138E-04 6.260966726E-01 2.298725238E-05 1.937694878E-01 1.186065443E-04 8.525818149E-02 
0L31 32556 340.04 34.097 1.073784412E+00 7.206500518E-01 3.939094893E-08 3.975951522E+04 1.445584141E-04 2.579888760E-01 1.445584141E-04 6.258890251E-01 2.334219495E-05 1.938719555E-01 1.203757669E-04 9.116094173E-02 
0L31 32556 340.04 34.097 1.073784412E+00 7.206500518E-01 3.939094893E-08 3.975951522E+04 1.445584141E-04 2.579888760E-01 1.445584141E-04 6.258890251E-01 2.334219495E-05 1.938719555E-01 1.203757669E-04 9.116094173E-02 
0L32 32644 340.04 34.097 1.071511788E+00 7.185731620E-01 3.820471840E-08 3.900130938E+04 1.458972431E-04 2.602227982E-01 1.458972431E-04 6.218874986E-01 2.361044946E-05 1.947308538E-01 1.212560028E-04 2.710942186E+00 
0L32 32644 340.04 34.097 1.071511788E+00 7.185731620E-01 3.820471840E-08 3.900130938E+04 1.458972431E-04 2.602227982E-01 1.458972431E-04 6.218874986E-01 2.361044946E-05 1.947308538E-01 1.212560028E-04 2.710942186E+00 
0L33 32732 340.04 34.097 1.076047261E+00 6.860190797E-01 3.949024381E-08 4.013081681E+04 1.472174164E-04 2.591095295E-01 1.472174164E-04 6.262770178E-01 2.388960959E-05 1.956185102E-01 1.221163735E-04 1.560155063E-01 
0L33 32732 340.04 34.097 1.076047261E+00 6.860190797E-01 3.949024381E-08 4.013081681E+04 1.472174164E-04 2.591095295E-01 1.472174164E-04 6.262770178E-01 2.388960959E-05 1.956185102E-01 1.221163735E-04 1.560155063E-01 
0L34 32826 340.04 34.097 1.069289284E+00 7.131150673E-01 3.660218548E-08 3.605970385E+04 1.488305199E-04 2.594449780E-01 1.487985689E-04 6.277226497E-01 2.423325889E-05 1.960243418E-01 1.236089268E-04 1.269689469E-01 
0L34 32826 340.04 34.097 1.069289284E+00 7.131150673E-01 3.660218548E-08 3.605970385E+04 1.488305199E-04 2.594449780E-01 1.487985689E-04 6.277226497E-01 2.423325889E-05 1.960243418E-01 1.236089268E-04 1.269689469E-01 
