X Y Yfit
4.271E-5 -2.302E-4 5.827E-3 -2.302E-4
8.416E-3 -2.292E-4 1.263E-2 -2.292E-4
1.843E-2 -2.278E-4 2.190E-2 -2.278E-4
2.850E-2 -2.263E-4 3.152E-2 -2.263E-4
3.813E-2 -2.248E-4 4.082E-2 -2.248E-4
4.802E-2 -2.232E-4 5.039E-2 -2.232E-4
5.908E-2 -2.211E-4 6.244E-2 -2.211E-4
6.879E-2 -2.194E-4 7.177E-2 -2.194E-4
7.872E-2 -2.178E-4 8.023E-2 -2.178E-4
8.866E-2 -2.157E-4 9.086E-2 -2.157E-4
9.846E-2 -2.138E-4 1.001E-1 -2.138E-4
1.092E-1 -2.114E-4 1.111E-1 -2.114E-4
1.194E-1 -2.094E-4 1.199E-1 -2.094E-4
1.290E-1 -2.071E-4 1.296E-1 -2.071E-4
1.389E-1 -2.049E-4 1.384E-1 -2.049E-4
1.490E-1 -2.024E-4 1.480E-1 -2.024E-4
1.600E-1 -1.993E-4 1.592E-1 -1.993E-4
1.696E-1 -1.970E-4 1.672E-1 -1.970E-4
1.795E-1 -1.940E-4 1.770E-1 -1.940E-4
1.898E-1 -1.910E-4 1.864E-1 -1.910E-4
1.992E-1 -1.878E-4 1.959E-1 -1.878E-4
2.091E-1 -1.846E-4 2.050E-1 -1.846E-4
2.204E-1 -1.803E-4 2.165E-1 -1.803E-4
2.302E-1 -1.767E-4 2.257E-1 -1.767E-4
2.400E-1 -1.730E-4 2.346E-1 -1.730E-4
2.500E-1 -1.681E-4 2.459E-1 -1.681E-4
2.597E-1 -1.637E-4 2.556E-1 -1.637E-4
2.706E-1 -1.581E-4 2.672E-1 -1.581E-4
2.809E-1 -1.532E-4 2.770E-1 -1.532E-4
2.904E-1 -1.476E-4 2.876E-1 -1.476E-4
3.004E-1 -1.419E-4 2.980E-1 -1.419E-4
3.103E-1 -1.360E-4 3.083E-1 -1.360E-4
3.212E-1 -1.297E-4 3.189E-1 -1.297E-4
3.309E-1 -1.230E-4 3.298E-1 -1.230E-4
3.411E-1 -1.166E-4 3.399E-1 -1.166E-4
3.508E-1 -1.098E-4 3.503E-1 -1.098E-4
3.606E-1 -1.030E-4 3.604E-1 -1.030E-4
3.716E-1 -9.458E-5 3.728E-1 -9.458E-5
3.814E-1 -8.774E-5 3.826E-1 -8.774E-5
3.915E-1 -8.089E-5 3.923E-1 -8.089E-5
4.013E-1 -7.234E-5 4.043E-1 -7.234E-5
4.207E-1 -5.750E-5 4.250E-1 -5.750E-5
4.418E-1 -4.105E-5 4.479E-1 -4.105E-5
4.619E-1 -2.626E-5 4.689E-1 -2.626E-5
4.825E-1 -1.092E-5 4.913E-1 -1.092E-5
5.023E-1 2.012E-6 5.109E-1 2.012E-6
5.528E-1 3.265E-5 5.611E-1 3.265E-5
6.032E-1 5.730E-5 6.070E-1 5.730E-5
6.537E-1 7.903E-5 6.529E-1 7.903E-5
7.043E-1 1.000E-4 7.028E-1 1.000E-4
7.547E-1 1.194E-4 7.541E-1 1.194E-4
8.050E-1 1.378E-4 8.069E-1 1.378E-4
8.553E-1 1.548E-4 8.587E-1 1.548E-4
9.058E-1 1.708E-4 9.094E-1 1.708E-4
9.566E-1 1.858E-4 9.582E-1 1.858E-4
1.005E+0 1.994E-4 1.003E+0 1.994E-4
