T Fe nFsrh nFBsrh dnsrh nF nFB dn dnF dnFB
290 1.000000000E+01 1.285901093E+00 1.214270286E+00 7.163080700E-02 1.249157489E+00 1.202906878E+00 4.625061100E-02 3.674360400E-02 1.136340800E-02
290 1.016672606E+01 1.286074197E+00 1.214925391E+00 7.114880600E-02 1.254896424E+00 1.206726793E+00 4.816963100E-02 3.117777300E-02 8.198598000E-03
290 1.033324570E+01 1.286325791E+00 1.215824063E+00 7.050172800E-02 1.260208006E+00 1.209936705E+00 5.027130100E-02 2.611778500E-02 5.887358000E-03
290 1.049996187E+01 1.286690168E+00 1.217033332E+00 6.965683600E-02 1.265222984E+00 1.212810402E+00 5.241258200E-02 2.146718400E-02 4.222930000E-03
290 1.066670514E+01 1.287214957E+00 1.218603355E+00 6.861160200E-02 1.269960145E+00 1.215555953E+00 5.440419200E-02 1.725481200E-02 3.047402000E-03
290 1.083333839E+01 1.287964651E+00 1.220578569E+00 6.738608200E-02 1.274401710E+00 1.218354777E+00 5.604693300E-02 1.356294100E-02 2.223792000E-03
290 1.100000000E+01 1.289023434E+00 1.222983549E+00 6.603988500E-02 1.278564550E+00 1.221328409E+00 5.723614100E-02 1.045888400E-02 1.655140000E-03
290 1.116672606E+01 1.290495329E+00 1.225810850E+00 6.468447900E-02 1.282539381E+00 1.224547612E+00 5.799176900E-02 7.955948000E-03 1.263238000E-03
290 1.133324570E+01 1.292498803E+00 1.229058413E+00 6.344039000E-02 1.286488848E+00 1.228065306E+00 5.842354200E-02 6.009955000E-03 9.931070000E-04
290 1.149996187E+01 1.295152507E+00 1.232660662E+00 6.249184500E-02 1.290614089E+00 1.231859952E+00 5.875413700E-02 4.538418000E-03 8.007100000E-04
290 1.166670514E+01 1.298551066E+00 1.236603811E+00 6.194725500E-02 1.295106111E+00 1.235943910E+00 5.916220100E-02 3.444955000E-03 6.599010000E-04
290 1.183333839E+01 1.302735535E+00 1.240878281E+00 6.185725400E-02 1.300097647E+00 1.240325497E+00 5.977215000E-02 2.637888000E-03 5.527840000E-04
290 1.200000000E+01 1.307671074E+00 1.245479665E+00 6.219140900E-02 1.305630824E+00 1.245011775E+00 6.061904900E-02 2.040250000E-03 4.678900000E-04
290 1.216672606E+01 1.313247239E+00 1.250420818E+00 6.282642100E-02 1.311654437E+00 1.250022554E+00 6.163188300E-02 1.592802000E-03 3.982640000E-04
290 1.233324570E+01 1.319306189E+00 1.255682595E+00 6.362359400E-02 1.318053505E+00 1.255343007E+00 6.271049800E-02 1.252684000E-03 3.395880000E-04
290 1.249996187E+01 1.325684887E+00 1.261280224E+00 6.440466300E-02 1.324694781E+00 1.260990888E+00 6.370389300E-02 9.901060000E-04 2.893360000E-04
290 1.266670514E+01 1.332246848E+00 1.267198498E+00 6.504835000E-02 1.331462191E+00 1.266952650E+00 6.450954100E-02 7.846570000E-04 2.458480000E-04
290 1.283333839E+01 1.338890127E+00 1.273415862E+00 6.547426500E-02 1.338267889E+00 1.273207873E+00 6.506001600E-02 6.222380000E-04 2.079890000E-04
290 1.300000000E+01 1.345538291E+00 1.279863100E+00 6.567519100E-02 1.345045375E+00 1.279687886E+00 6.535748900E-02 4.929160000E-04 1.752140000E-04
295 1.000000000E+01 1.286823705E+00 1.217044823E+00 6.977888200E-02 1.251860567E+00 1.203760930E+00 4.809963700E-02 3.496313800E-02 1.328389300E-02
295 1.016672606E+01 1.286978118E+00 1.217700038E+00 6.927808000E-02 1.257974693E+00 1.208242763E+00 4.973193000E-02 2.900342500E-02 9.457275000E-03
