T nFsrh nFBsrh dnsrh nF nFB dn
290 1.188502291E+00 1.002463312E+0 1.860389790E-01 1.188502291E+00 1.002463312E+0 1.860389790E-01
295 1.186471322E+00 1.002396096E+0 1.840752260E-01 1.186471322E+00 1.002396096E+0 1.840752260E-01
300 1.194296331E+00 1.002333524E+0 1.919628070E-01 1.194296331E+00 1.002333524E+0 1.919628070E-01
305 1.194874412E+00 1.002275180E+0 1.925992320E-01 1.194874412E+00 1.002275180E+0 1.925992320E-01
310 1.199999593E+00 1.002220694E+0 1.977788990E-01 1.199999593E+00 1.002220694E+0 1.977788990E-01
315 1.201950213E+00 1.002169736E+0 1.997804770E-01 1.201950213E+00 1.002169736E+0 1.997804770E-01
320 1.204957228E+00 1.002122013E+0 2.028352150E-01 1.204957228E+00 1.002122013E+0 2.028352150E-01
325 1.211116049E+00 1.002077258E+0 2.090387910E-01 1.211116049E+00 1.002077258E+0 2.090387910E-01
330 1.216429317E+00 1.002035236E+0 2.143940810E-01 1.216429317E+00 1.002035236E+0 2.143940810E-01
335 1.220620076E+00 1.001995732E+0 2.186243440E-01 1.220620076E+00 1.001995732E+0 2.186243440E-01
340 1.223407537E+00 1.001958553E+0 2.214489840E-01 1.223407537E+00 1.001958553E+0 2.214489840E-01
