fname time Tem kT_1 A Rs Io Rsh Iph Voc Isc Pm FF dev 
0001 9:34:16 345.5 33.56 1.442E+001 1.603E+002 2.130E-006 1.074E+004 2.822E-004 3.309E-001 2.741E-004 4.019E-005 4.431E-001 4.968E-001 
0002 9:37:14 345.5 33.56 1.445E+001 1.615E+002 2.099E-006 1.050E+004 2.821E-004 3.309E-001 2.739E-004 4.010E-005 4.425E-001 4.323E-001 
0003 9:41:14 345.6 33.55 1.474E+001 1.625E+002 1.886E-006 9.589E+003 2.829E-004 3.310E-001 2.746E-004 4.026E-005 4.429E-001 2.961E-002 
0004 9:44:34 345.5 33.56 1.450E+001 1.615E+002 2.074E-006 1.066E+004 2.817E-004 3.308E-001 2.737E-004 4.012E-005 4.432E-001 1.221E-002 
0005 9:49:28 345.5 33.56 1.442E+001 1.574E+002 2.106E-006 1.032E+004 2.814E-004 3.311E-001 2.733E-004 4.011E-005 4.433E-001 2.607E-002 
0011 10:20:06 345.4 33.57 1.379E+001 1.529E+002 2.727E-006 1.151E+004 2.766E-004 3.270E-001 2.682E-004 3.849E-005 4.389E-001 7.769E-003 
0012 10:24:00 345.7 33.54 1.369E+001 1.511E+002 2.853E-006 1.228E+004 2.758E-004 3.266E-001 2.676E-004 3.839E-005 4.394E-001 3.207E-003 
0013 10:34:56 345.3 33.58 1.358E+001 1.519E+002 2.982E-006 1.360E+004 2.757E-004 3.267E-001 2.675E-004 3.845E-005 4.399E-001 4.444E-003 
0014 10:46:30 345.6 33.55 1.391E+001 1.526E+002 2.629E-006 1.108E+004 2.762E-004 3.266E-001 2.678E-004 3.842E-005 4.392E-001 4.831E-003 
0015 11:05:06 345.3 33.58 1.355E+001 1.532E+002 2.980E-006 1.384E+004 2.729E-004 3.268E-001 2.648E-004 3.806E-005 4.398E-001 4.208E-003 
0016 11:25:44 345.5 33.56 1.356E+001 1.526E+002 2.983E-006 1.383E+004 2.723E-004 3.262E-001 2.642E-004 3.791E-005 4.399E-001 7.726E-003 
0017 11:45:54 345.7 33.54 1.357E+001 1.526E+002 2.924E-006 1.331E+004 2.682E-004 3.259E-001 2.602E-004 3.728E-005 4.397E-001 5.901E-003 
0018 11:50:42 345.4 33.57 1.382E+001 1.546E+002 2.682E-006 1.300E+004 2.684E-004 3.262E-001 2.606E-004 3.754E-005 4.415E-001 8.560E-003 
0019 11:56:48 345.4 33.57 1.393E+001 1.538E+002 2.591E-006 1.209E+004 2.704E-004 3.262E-001 2.625E-004 3.778E-005 4.413E-001 7.779E-003 
