X Y Xfit Y
9.4780000E-4 -1.7140000E-4 3.6365042E-3 -1.7140000E-4
1.0630000E-2 -1.7090000E-4 1.0632350E-2 -1.7090000E-4
2.0390000E-2 -1.7040000E-4 1.7297058E-2 -1.7040000E-4
3.0350000E-2 -1.6960000E-4 2.7336092E-2 -1.6960000E-4
4.0050000E-2 -1.6870000E-4 3.7811801E-2 -1.6870000E-4
5.0010000E-2 -1.6770000E-4 4.8565682E-2 -1.6770000E-4
6.0980000E-2 -1.6650000E-4 6.0410911E-2 -1.6650000E-4
7.1010000E-2 -1.6510000E-4 7.2991101E-2 -1.6510000E-4
8.0830000E-2 -1.6400000E-4 8.2077932E-2 -1.6400000E-4
9.0510000E-2 -1.6260000E-4 9.2776687E-2 -1.6260000E-4
1.0040000E-1 -1.6140000E-4 1.0127661E-1 -1.6140000E-4
1.1130000E-1 -1.5970000E-4 1.1241023E-1 -1.5970000E-4
1.2130000E-1 -1.5810000E-4 1.2205298E-1 -1.5810000E-4
1.3110000E-1 -1.5640000E-4 1.3154000E-1 -1.5640000E-4
1.4080000E-1 -1.5440000E-4 1.4184508E-1 -1.5440000E-4
1.5090000E-1 -1.5250000E-4 1.5090000E-1 -1.5250000E-4
1.6200000E-1 -1.5010000E-4 1.6146665E-1 -1.5010000E-4
1.7170000E-1 -1.4760000E-4 1.7159372E-1 -1.4760000E-4
1.8160000E-1 -1.4510000E-4 1.8095872E-1 -1.4510000E-4
1.9150000E-1 -1.4240000E-4 1.9034223E-1 -1.4240000E-4
2.0140000E-1 -1.3920000E-4 2.0062598E-1 -1.3920000E-4
2.1120000E-1 -1.3600000E-4 2.1013635E-1 -1.3600000E-4
2.2230000E-1 -1.3200000E-4 2.2110676E-1 -1.3200000E-4
2.3200000E-1 -1.2790000E-4 2.3145917E-1 -1.2790000E-4
2.4190000E-1 -1.2410000E-4 2.4037140E-1 -1.2410000E-4
2.5180000E-1 -1.1910000E-4 2.5125061E-1 -1.1910000E-4
2.6170000E-1 -1.1390000E-4 2.6170000E-1 -1.1390000E-4
2.7250000E-1 -1.0840000E-4 2.7194483E-1 -1.0840000E-4
2.8240000E-1 -1.0210000E-4 2.8282109E-1 -1.0210000E-4
2.9220000E-1 -9.5580000E-5 2.9326338E-1 -9.5580000E-5
3.0210000E-1 -8.8540000E-5 3.0375524E-1 -8.8540000E-5
3.1190000E-1 -8.1750000E-5 3.1321945E-1 -8.1750000E-5
3.2290000E-1 -7.3400000E-5 3.2410906E-1 -7.3400000E-5
3.3260000E-1 -6.4900000E-5 3.3447205E-1 -6.4900000E-5
3.4250000E-1 -5.6340000E-5 3.4428149E-1 -5.6340000E-5
3.5240000E-1 -4.7140000E-5 3.5422371E-1 -4.7140000E-5
3.6220000E-1 -3.8030000E-5 3.6353975E-1 -3.8030000E-5
3.7330000E-1 -2.7270000E-5 3.7395918E-1 -2.7270000E-5
3.8310000E-1 -1.7000000E-5 3.8339389E-1 -1.7000000E-5
3.9300000E-1 -5.1310000E-6 3.9376248E-1 -5.1310000E-6
4.0290000E-1 5.8360000E-6 4.0290000E-1 5.8360000E-6
4.2260000E-1 3.0490000E-5 4.2215057E-1 3.0490000E-5
4.4330000E-1 5.7300000E-5 4.4146423E-1 5.7300000E-5
4.6310000E-1 8.6230000E-5 4.6085649E-1 8.6230000E-5
4.8410000E-1 1.1860000E-4 4.8119187E-1 1.1860000E-4
5.0360000E-1 1.5170000E-4 5.0084698E-1 1.5170000E-4
5.5410000E-1 2.4600000E-4 5.5264827E-1 2.4600000E-4
6.0460000E-1 3.4750000E-4 6.0451712E-1 3.4750000E-4
6.5480000E-1 4.5210000E-4 6.5634724E-1 4.5210000E-4
7.0540000E-1 5.5370000E-4 7.0670021E-1 5.5370000E-4
7.5570000E-1 6.5120000E-4 7.5605423E-1 6.5120000E-4
8.0630000E-1 7.4740000E-4 8.0649122E-1 7.4740000E-4
8.5640000E-1 8.3850000E-4 8.5640000E-1 8.3850000E-4
9.0700000E-1 9.2500000E-4 9.0612363E-1 9.2500000E-4
9.5750000E-1 1.0100000E-3 9.5750000E-1 1.0100000E-3
1.0070000E+0 1.0890000E-3 1.0076746E+0 1.0890000E-3
