T file kT1 Voc Jsc FF eta Vmpp Jmpp Wph TDD TDD1 TDD11 TDD111 d N_B
325 001_325 35.674 4.174520E-1 2.931571E-1 7.638150E+1 2.336870E+1 3.446890E-1 2.711862E-1 4.000000E-1 1.000000E+10 1.000000E+10 1.000000E+10 1.000000E+10 2.300E-4 5.623E+15
325 002_325 35.674 4.169140E-1 2.926689E-1 7.636220E+1 2.329380E+1 3.441040E-1 2.707768E-1 4.000000E-1 1.468000E+10 1.468000E+10 1.468000E+10 1.468000E+10 2.300E-4 5.623E+15
325 003_325 35.674 4.161480E-1 2.919588E-1 7.633460E+1 2.318620E+1 3.432870E-1 2.701676E-1 4.000000E-1 2.154000E+10 2.154000E+10 2.154000E+10 2.154000E+10 2.300E-4 5.623E+15
325 004_325 35.674 4.150720E-1 2.909298E-1 7.629550E+1 2.303290E+1 3.421700E-1 2.692581E-1 4.000000E-1 3.162000E+10 3.162000E+10 3.162000E+10 3.162000E+10 2.300E-4 5.623E+15
325 005_325 35.674 4.135860E-1 2.894477E-1 7.624050E+1 2.281710E+1 3.406850E-1 2.678973E-1 4.000000E-1 4.642000E+10 4.642000E+10 4.642000E+10 4.642000E+10 2.300E-4 5.623E+15
325 006_325 35.674 4.115770E-1 2.873308E-1 7.616370E+1 2.251750E+1 3.387860E-1 2.658620E-1 4.000000E-1 6.813000E+10 6.813000E+10 6.813000E+10 6.813000E+10 2.300E-4 5.623E+15
325 007_325 35.674 4.088720E-1 2.843430E-1 7.606720E+1 2.210890E+1 3.364690E-1 2.628345E-1 4.000000E-1 1.000000E+11 1.000000E+11 1.000000E+11 1.000000E+11 2.300E-4 5.623E+15
325 008_325 35.674 4.053600E-1 2.801958E-1 7.589480E+1 2.155030E+1 3.332480E-1 2.586705E-1 4.000000E-1 1.468000E+11 1.468000E+11 1.468000E+11 1.468000E+11 2.300E-4 5.623E+15
325 009_325 35.674 4.011110E-1 2.745685E-1 7.572590E+1 2.084970E+1 3.290420E-1 2.534593E-1 4.000000E-1 2.154000E+11 2.154000E+11 2.154000E+11 2.154000E+11 2.300E-4 5.623E+15
325 010_325 35.674 3.959660E-1 2.671593E-1 7.549230E+1 1.996500E+1 3.247360E-1 2.459236E-1 4.000000E-1 3.162000E+11 3.162000E+11 3.162000E+11 3.162000E+11 2.300E-4 5.623E+15
325 011_325 35.674 3.902330E-1 2.577693E-1 7.525000E+1 1.892340E+1 3.189370E-1 2.373317E-1 4.000000E-1 4.642000E+11 4.642000E+11 4.642000E+11 4.642000E+11 2.300E-4 5.623E+15
325 012_325 35.674 3.838400E-1 2.464011E-1 7.495210E+1 1.772210E+1 3.132850E-1 2.262753E-1 4.000000E-1 6.813000E+11 6.813000E+11 6.813000E+11 6.813000E+11 2.300E-4 5.623E+15
325 013_325 35.674 3.771520E-1 2.333203E-1 7.467490E+1 1.642790E+1 3.070120E-1 2.140371E-1 4.000000E-1 1.000000E+12 1.000000E+12 1.000000E+12 1.000000E+12 2.300E-4 5.623E+15
325 014_325 35.674 3.703220E-1 2.190174E-1 7.430700E+1 1.506700E+1 3.005090E-1 2.005535E-1 4.000000E-1 1.468000E+12 1.468000E+12 1.468000E+12 1.468000E+12 2.300E-4 5.623E+15
