P1 P2 T TCmean TCstd
10 10 300 85.6233 5.0106
10 15 300 73.1619 5.4505
10 20 300 62.8329 5.1795
10 25 300 53.2918 5.2839
10 30 300 45.3891 4.9649
10 35 300 38.9117 4.6258
10 40 300 33.1835 4.4142
10 45 300 28.2367 3.8721
10 50 300 23.6258 3.5493
10 55 300 20.4576 3.1943
10 5 300 95.3455 4.6174
10 60 300 17.9575 2.3693
10 65 300 17.3050 2.0423
10 70 300 17.0954 1.8329
10 75 300 17.9599 1.8632
20 10 300 62.5238 5.4398
20 15 300 55.8135 5.1743
20 20 300 49.8130 5.0824
20 25 300 41.9757 4.6108
20 30 300 35.4158 4.3739
20 35 300 29.9310 4.1413
20 40 300 25.3698 3.7152
20 45 300 21.1694 3.3670
20 50 300 17.5559 3.0222
20 55 300 14.4688 2.6835
20 5 300 69.9158 5.7108
20 60 300 12.3727 2.2119
20 65 300 11.5412 1.8944
20 70 300 11.2743 1.7399
20 75 300 11.5993 1.7834
30 10 300 45.5670 4.9770
30 15 300 40.5190 4.6504
30 20 300 35.8334 4.4367
30 25 300 31.5911 4.1955
30 30 300 27.5532 3.8511
30 35 300 23.1437 3.6197
30 40 300 18.9036 3.0197
30 45 300 15.7458 2.8451
30 50 300 12.5263 2.6404
30 55 300 10.0482 2.1921
30 5 300 51.2230 5.4524
30 60 300 8.1864 1.9031
30 65 300 7.3153 1.5936
30 70 300 6.9698 1.4610
30 75 300 6.8814 1.4669
40 10 300 33.4070 4.3439
40 15 300 29.1063 3.9168
40 20 300 25.4864 3.7248
40 25 300 21.9378 3.3810
40 30 300 19.0542 3.1152
40 35 300 16.1796 2.7710
40 40 300 13.8251 2.7321
40 45 300 11.0449 2.4406
40 50 300 8.6753 2.1431
40 55 300 6.6148 1.7908
40 5 300 37.6787 4.7713
40 60 300 5.1500 1.4601
40 65 300 4.2966 1.2118
40 70 300 3.8683 1.1683
40 75 300 3.7514 1.1730
50 10 300 23.8874 3.6483
50 15 300 20.6638 3.2839
50 20 300 17.6751 3.1391
50 25 300 14.9198 2.7782
50 30 300 12.7254 2.6652
50 35 300 10.4923 2.4025
50 40 300 8.6838 2.1819
50 45 300 7.1611 1.8873
50 50 300 5.7744 1.7187
50 55 300 4.1509 1.4146
50 5 300 27.4941 3.9359
50 60 300 3.0561 1.0863
50 65 300 2.3870 0.8883
50 70 300 1.9904 0.7696
50 75 300 1.8402 0.7155
55 10 300 21.1332 3.1649
55 15 300 18.5957 3.0842
55 20 300 16.0420 2.9542
55 25 300 13.9205 2.8069
55 30 300 11.7568 2.6858
55 35 300 10.0068 2.3668
55 40 300 8.3149 2.2541
55 45 300 6.8525 1.9945
55 50 300 5.4130 1.7910
55 55 300 4.3370 1.4549
55 5 300 23.7807 3.3033
55 60 300 3.1423 1.1186
55 65 300 2.3744 0.8427
55 70 300 2.0077 0.8010
55 75 300 1.7157 0.7451
60 10 300 18.8901 2.5634
60 15 300 16.3477 2.5380
60 20 300 13.7784 2.3972
60 25 300 11.4741 2.2192
60 30 300 9.7168 2.1788
60 35 300 8.0352 2.1070
60 40 300 6.3998 1.8039
60 45 300 5.0856 1.5960
