P1 P2 T TCmean TCstd
10 10 300 84.2335 6.0294
10 15 300 72.4242 6.8161
10 20 300 62.3912 6.7244
10 25 300 52.2052 7.1672
10 30 300 44.0743 6.3355
10 35 300 36.6955 5.8405
10 40 300 30.1665 5.3757
10 45 300 24.3174 4.6947
10 50 300 19.4265 3.8809
10 55 300 14.8678 3.0821
10 5 300 96.2587 5.9944
10 60 300 12.0427 2.5971
10 65 300 9.9787 1.9874
10 70 300 8.9786 1.4712
10 75 300 8.5017 1.1736
20 10 300 61.4339 7.4158
20 15 300 54.2652 6.3564
20 20 300 47.0668 6.1138
20 25 300 39.8053 5.8902
20 30 300 33.7224 5.5358
20 35 300 28.6388 5.0458
20 40 300 23.7040 4.4824
20 45 300 19.3435 3.7604
20 50 300 15.2808 3.4748
20 55 300 11.8697 2.6073
20 5 300 69.4016 7.5846
20 60 300 9.3033 2.0748
20 65 300 7.7980 1.6549
20 70 300 6.9580 1.3309
20 75 300 6.4525 0.9881
30 10 300 43.1371 6.7977
30 15 300 38.6457 6.0886
30 20 300 33.6703 5.7549
30 25 300 29.0472 5.3666
30 30 300 24.9044 4.9679
30 35 300 21.0504 4.5628
30 40 300 17.9392 3.9506
30 45 300 14.5986 3.4110
30 50 300 11.6484 2.7558
30 55 300 9.0784 2.3980
30 5 300 48.1643 7.3772
30 60 300 7.1523 1.8807
30 65 300 5.7631 1.3886
30 70 300 5.0354 1.1174
30 75 300 4.6597 0.9510
40 10 300 29.7133 4.9591
40 15 300 26.5364 4.7518
40 20 300 23.3864 4.4979
40 25 300 20.4429 4.2958
40 30 300 17.5064 3.8744
40 35 300 15.3831 3.5853
40 40 300 12.9904 3.2078
40 45 300 10.7527 2.7855
40 50 300 8.6566 2.3518
40 55 300 6.5517 1.8911
40 5 300 32.7450 5.9324
40 60 300 5.1265 1.4692
40 65 300 4.1452 1.2094
40 70 300 3.5303 1.0070
40 75 300 3.1265 0.9129
50 10 300 18.5254 3.7518
50 15 300 16.7438 3.4486
50 20 300 14.5519 3.1950
50 25 300 13.1732 3.0238
50 30 300 11.4009 2.8667
50 35 300 9.8114 2.5223
50 40 300 8.6481 2.4106
50 45 300 7.2163 1.9678
50 50 300 5.9187 1.7264
50 55 300 4.5600 1.3729
50 5 300 21.1554 3.9709
50 60 300 3.4862 1.0524
50 65 300 2.7763 0.9822
50 70 300 2.3302 0.7907
50 75 300 2.0809 0.7141
55 10 300 14.7433 3.1241
55 15 300 13.0391 2.9407
55 20 300 11.2589 2.6423
55 25 300 10.2861 2.4221
55 30 300 8.7764 2.2809
55 35 300 7.5383 2.0623
55 40 300 6.6355 1.8874
55 45 300 5.5992 1.6545
55 50 300 4.5549 1.3843
55 55 300 3.4606 1.1077
55 5 300 16.9266 3.4900
55 60 300 2.7352 0.9477
55 65 300 2.1673 0.7693
55 70 300 1.8249 0.6509
55 75 300 1.6468 0.5878
60 10 300 12.0030 2.5070
60 15 300 10.2166 2.3075
60 20 300 8.7668 2.1087
60 25 300 7.7178 1.9677
60 30 300 6.6755 1.7432
60 35 300 5.8273 1.6564
60 40 300 4.9697 1.4818
60 45 300 4.2592 1.3274
60 50 300 3.3646 1.0332
60 55 300 2.6558 0.9161
60 5 300 13.8811 2.8511
60 60 300 2.0887 0.7442
60 65 300 1.7050 0.6827
60 70 300 1.4509 0.5824
60 75 300 1.3370 0.5631
65 10 300 10.1942 2.0109
65 15 300 8.5680 1.8293
65 20 300 7.3366 1.6311
65 25 300 6.2789 1.5582
65 30 300 5.5735 1.4177
65 35 300 4.6893 1.2394
65 40 300 3.9753 1.2024
65 45 300 3.2705 1.0526
65 50 300 2.6297 0.8949
65 55 300 2.0800 0.7344
65 5 300 12.1987 2.2861
65 60 300 1.6848 0.7004
65 65 300 1.3329 0.5807
65 70 300 1.1507 0.5543
65 75 300 1.0246 0.4629
70 10 300 9.3978 1.7277
70 15 300 7.7544 1.3740
70 20 300 6.5714 1.3861
70 25 300 5.5966 1.2283
70 30 300 4.6203 1.0823
70 35 300 3.9710 1.1045
70 40 300 3.2320 0.9403
70 45 300 2.6997 0.8670
70 50 300 2.1703 0.7183
70 55 300 1.7482 0.6470
70 5 300 11.4368 2.0329
70 60 300 1.3645 0.5885
70 65 300 1.1044 0.5544
70 70 300 0.9143 0.5008
70 75 300 0.8228 0.4953
75 10 300 9.0754 1.3925
75 15 300 7.4537 1.2575
75 20 300 6.2255 1.0908
75 25 300 5.2585 1.0896
75 30 300 4.3233 0.9338
75 35 300 3.5378 0.9306
75 40 300 2.8919 0.8697
75 45 300 2.3421 0.7590
75 50 300 1.8828 0.6758
75 55 300 1.4896 0.5565
75 5 300 10.9157 1.7484
75 60 300 1.2033 0.5139
75 65 300 0.9466 0.4711
75 70 300 0.7458 0.4065
75 75 300 0.5780 0.3934
15 10 300 72.9313 6.2555
15 15 300 63.1300 6.3970
15 20 300 54.5766 6.3805
15 25 300 46.3069 6.3542
15 30 300 39.1362 6.0329
15 35 300 32.7613 5.3615
15 40 300 26.9472 4.9133
15 45 300 22.0857 4.1848
15 50 300 17.3845 3.5969
15 55 300 13.4979 3.0090
15 5 300 82.1022 7.1677
15 60 300 10.7848 2.3923
15 65 300 8.9188 1.8058
15 70 300 7.8851 1.3157
15 75 300 7.4301 1.0120
25 10 300 52.2945 6.9686
25 15 300 46.0350 6.4844
25 20 300 39.7099 6.2499
25 25 300 34.4066 5.8435
25 30 300 29.2142 5.3074
25 35 300 24.9194 4.8100
25 40 300 20.5035 4.1174
25 45 300 16.7569 3.5394
25 50 300 13.3391 2.9982
25 55 300 10.3238 2.5389
25 5 300 58.2273 7.7849
25 60 300 8.1834 1.9214
25 65 300 6.7402 1.4964
25 70 300 6.0241 1.2137
25 75 300 5.4788 0.9751
35 10 300 36.3274 5.6587
35 15 300 32.2645 5.4998
35 20 300 28.2961 5.2726
35 25 300 24.8169 4.8105
35 30 300 21.0800 4.4791
35 35 300 18.0911 4.1695
35 40 300 15.0646 3.5514
35 45 300 12.4413 3.1754
35 50 300 10.0049 2.5514
35 55 300 7.7945 2.1037
35 5 300 39.6995 6.6361
35 60 300 6.0614 1.6261
35 65 300 4.8623 1.3424
35 70 300 4.2229 1.0871
35 75 300 3.8451 0.9884
45 10 300 23.9767 4.4418
45 15 300 21.2678 4.0325
45 20 300 18.7529 3.8662
45 25 300 16.9060 3.5353
45 30 300 14.4346 3.2701
45 35 300 12.5659 3.1165
45 40 300 10.6179 2.8521
45 45 300 8.9996 2.3631
45 50 300 7.2761 1.9949
45 55 300 5.5748 1.6186
45 5 300 26.6325 4.9569
45 60 300 4.2940 1.2701
45 65 300 3.4819 0.9921
45 70 300 2.9434 0.9139
45 75 300 2.5578 0.8394
5 10 300 96.1718 5.8550
5 15 300 82.0054 7.0735
5 20 300 69.2290 7.8026
5 25 300 58.3003 7.8133
5 30 300 48.7889 7.1389
5 35 300 40.6759 6.6132
5 40 300 32.9992 5.8779
5 45 300 26.9697 5.0471
5 50 300 21.3653 4.2858
5 55 300 16.6863 3.6580
5 5 300 111.2350 4.4847
5 60 300 13.2221 2.7705
5 65 300 11.2192 2.2058
5 70 300 10.0146 1.5397
5 75 300 9.5770 1.3224
