P1 P2 T TCmean TCstd
10 10 300 83.6451 6.3170
10 15 300 72.6930 6.6602
10 20 300 63.2713 6.6481
10 25 300 55.0019 6.3385
10 30 300 47.6375 6.4402
10 35 300 41.9062 5.7495
10 40 300 36.7008 5.0134
10 45 300 31.8438 4.7145
10 50 300 27.8920 4.1055
10 55 300 24.6679 3.4649
10 5 300 95.8899 6.5983
10 60 300 22.5780 2.7968
10 65 300 21.7370 2.6269
10 70 300 21.6884 2.5813
10 75 300 22.2975 2.9628
20 10 300 62.7784 7.0450
20 15 300 54.1080 6.6900
20 20 300 46.6560 6.2886
20 25 300 39.8970 6.0613
20 30 300 34.1785 5.4430
20 35 300 29.7066 4.9701
20 40 300 25.3624 4.3793
20 45 300 22.2581 3.9884
20 50 300 19.0534 3.4140
20 55 300 16.5079 3.1092
20 5 300 72.9729 7.3930
20 60 300 14.6882 2.6062
20 65 300 13.8300 2.5456
20 70 300 13.3868 2.6294
20 75 300 13.1732 2.8774
30 10 300 47.6454 6.2734
30 15 300 40.9308 5.8934
30 20 300 34.2867 5.6133
30 25 300 29.1855 5.2949
30 30 300 24.8334 4.8581
30 35 300 21.1461 4.4398
30 40 300 18.0298 3.9641
30 45 300 15.2040 3.5668
30 50 300 12.7817 3.0663
30 55 300 10.8698 2.6560
30 5 300 55.7215 7.3799
30 60 300 9.3860 2.4089
30 65 300 8.5742 2.2126
30 70 300 7.9304 2.2629
30 75 300 7.2698 2.3180
40 10 300 36.5142 5.3960
40 15 300 30.9116 4.7930
40 20 300 25.5731 4.6210
40 25 300 21.5045 4.3831
40 30 300 17.9868 3.9688
40 35 300 15.3581 3.6828
40 40 300 12.7287 3.1941
40 45 300 10.8956 2.7296
40 50 300 8.8637 2.4087
40 55 300 7.0995 2.1107
40 5 300 42.8309 5.7561
40 60 300 6.0604 1.8209
40 65 300 5.2960 1.7062
40 70 300 4.6033 1.7638
40 75 300 4.1913 1.6984
50 10 300 27.8065 4.2330
50 15 300 23.1555 3.7374
50 20 300 19.0208 3.3586
50 25 300 15.7309 3.3100
50 30 300 12.7823 3.0338
50 35 300 10.6034 2.7112
50 40 300 8.8212 2.4986
50 45 300 7.3025 2.0285
50 50 300 5.8003 1.6928
50 55 300 4.4699 1.3544
50 5 300 32.9674 4.5294
50 60 300 3.5639 1.1824
50 65 300 2.9856 1.0918
50 70 300 2.5864 1.0330
50 75 300 2.1738 0.9619
55 10 300 24.7543 3.5821
55 15 300 20.3396 3.2871
55 20 300 16.2629 3.0736
55 25 300 13.3410 2.7960
55 30 300 10.7532 2.7030
55 35 300 8.7477 2.3784
55 40 300 7.1700 2.0441
55 45 300 5.7716 1.7006
55 50 300 4.5048 1.3526
55 55 300 3.4258 1.1339
55 5 300 29.3288 3.8441
55 60 300 2.6286 0.9365
55 65 300 2.2055 0.8440
55 70 300 1.8486 0.7738
55 75 300 1.5601 0.7239
60 10 300 22.6044 2.9277
60 15 300 18.3195 2.8576
60 20 300 14.4772 2.6296
60 25 300 11.7764 2.4715
60 30 300 9.3637 2.3565
60 35 300 7.5305 2.1483
60 40 300 5.9547 1.7710
60 45 300 4.7293 1.5208
60 50 300 3.5646 1.1807
60 55 300 2.6088 0.8778
60 5 300 27.0296 3.1153
60 60 300 1.9879 0.7513
60 65 300 1.5724 0.6261
60 70 300 1.2697 0.5614
