P1 P2 T TCmean TCstd
10 10 300 85.7015 4.9911
10 15 300 72.6735 5.2340
10 20 300 60.3021 5.8439
10 25 300 49.8416 5.5894
10 30 300 40.5479 5.3129
10 35 300 32.5686 4.6936
10 40 300 25.7137 4.3559
10 45 300 19.9967 3.8264
10 50 300 14.7749 3.3111
10 55 300 10.8950 2.7990
10 5 300 94.6816 4.9658
10 60 300 7.8156 2.0623
10 65 300 6.0458 1.5676
10 70 300 4.9248 1.1020
10 75 300 4.4576 0.8755
20 10 300 60.6339 5.6145
20 15 300 55.0163 5.3252
20 20 300 49.8368 5.1068
20 25 300 41.8422 4.8669
20 30 300 34.6267 4.4759
20 35 300 28.1073 3.9191
20 40 300 22.4045 3.6602
20 45 300 17.2257 3.2534
20 50 300 13.3021 2.9785
20 55 300 9.2642 2.5142
20 5 300 65.5832 5.8791
20 60 300 6.5403 1.8807
20 65 300 4.9785 1.3698
20 70 300 4.1105 1.0006
20 75 300 3.5712 0.7501
30 10 300 40.3775 5.3793
30 15 300 37.2281 4.7487
30 20 300 34.2268 4.5033
30 25 300 30.9852 4.0345
30 30 300 27.8478 3.9624
30 35 300 22.9883 3.4735
30 40 300 18.4249 3.1676
30 45 300 14.4586 2.8374
30 50 300 10.7185 2.4964
30 55 300 7.6449 2.1073
30 5 300 42.9070 5.6685
30 60 300 5.3293 1.5600
30 65 300 4.0184 1.2046
30 70 300 3.2430 0.8446
30 75 300 2.7961 0.6591
40 10 300 25.3610 4.2225
40 15 300 23.8082 3.9284
40 20 300 22.4191 3.6736
40 25 300 20.4613 3.4017
40 30 300 18.2291 3.2433
40 35 300 16.0828 2.9189
40 40 300 14.0648 2.6656
40 45 300 11.0710 2.4304
40 50 300 8.3959 2.1480
40 55 300 6.0183 1.7494
40 5 300 26.9472 4.6034
40 60 300 4.1679 1.3278
40 65 300 3.0680 0.9915
40 70 300 2.4025 0.6880
40 75 300 2.0334 0.5711
50 10 300 14.7006 3.3475
50 15 300 13.8071 3.0928
50 20 300 12.5502 2.9153
50 25 300 11.6578 2.8449
50 30 300 10.6311 2.4975
50 35 300 9.4786 2.2534
50 40 300 8.3635 2.0478
50 45 300 7.0753 1.8397
50 50 300 5.8786 1.7467
50 55 300 4.1867 1.3849
50 5 300 15.7571 3.2234
50 60 300 2.9146 1.0360
50 65 300 2.1286 0.8091
50 70 300 1.6456 0.5985
50 75 300 1.3426 0.4945
55 10 300 11.8454 2.8978
55 15 300 11.2095 2.8523
55 20 300 10.6071 2.9153
55 25 300 9.9949 2.6912
55 30 300 9.3023 2.4267
55 35 300 8.4700 2.3863
55 40 300 7.5169 2.2475
55 45 300 6.6777 1.9686
55 50 300 5.4944 1.7870
55 55 300 4.4122 1.4849
55 5 300 12.4383 2.9165
55 60 300 3.1382 1.1414
55 65 300 2.3181 0.8518
55 70 300 1.8213 0.6873
55 75 300 1.4669 0.5974
60 10 300 8.7000 2.2200
60 15 300 8.2237 2.3061
60 20 300 7.5697 2.1991
60 25 300 7.0438 2.1068
60 30 300 6.4545 1.9286
60 35 300 5.9594 1.8659
60 40 300 5.2615 1.7331
60 45 300 4.5091 1.4987
60 50 300 3.8765 1.3094
60 55 300 3.2011 1.1077
60 5 300 9.6336 2.2086
60 60 300 2.5778 0.9883
60 65 300 1.9269 0.7786
60 70 300 1.4633 0.6573
60 75 300 1.1522 0.4886
65 10 300 6.9535 1.6890
65 15 300 6.1385 1.6659
65 20 300 5.6905 1.6135
65 25 300 5.1382 1.4889
65 30 300 4.7485 1.3982
65 35 300 4.3405 1.3265
65 40 300 3.8066 1.2201
65 45 300 3.2740 1.0916
65 50 300 2.7813 0.9959
65 55 300 2.2991 0.8437
65 5 300 7.8665 1.7013
65 60 300 1.9425 0.7847
65 65 300 1.5821 0.6537
