P1 P2 T TCmean TCstd
10 10 300 84.2593 5.9537
10 15 300 72.6795 6.5513
10 20 300 62.5553 6.6933
10 25 300 52.6462 6.9390
10 30 300 44.3442 6.4267
10 35 300 36.9902 6.1008
10 40 300 30.1409 5.4332
10 45 300 24.4594 4.5865
10 50 300 19.3635 4.0070
10 55 300 15.0243 3.2598
10 5 300 95.8027 6.1199
10 60 300 11.8564 2.4907
10 65 300 10.0592 1.9895
10 70 300 9.0793 1.4598
10 75 300 8.5092 1.1705
20 10 300 62.0348 7.1435
20 15 300 53.7786 6.4179
20 20 300 46.8102 6.2664
20 25 300 39.6697 5.8891
20 30 300 34.1064 5.4057
20 35 300 28.5384 5.0468
20 40 300 23.6816 4.4398
20 45 300 19.3156 3.8441
20 50 300 15.4007 3.2758
20 55 300 11.9113 2.6233
20 5 300 69.2356 7.8013
20 60 300 9.3875 2.1316
20 65 300 7.8359 1.6426
20 70 300 6.9308 1.2490
20 75 300 6.4784 1.0019
30 10 300 43.5717 6.6632
30 15 300 38.4474 6.0490
30 20 300 33.9886 5.4698
30 25 300 28.9046 5.4236
30 30 300 24.8881 4.8247
30 35 300 21.1899 4.5613
30 40 300 17.5785 3.9830
30 45 300 14.6023 3.3903
30 50 300 11.6610 2.8117
30 55 300 8.9775 2.2947
30 5 300 48.0074 7.4468
30 60 300 7.1060 1.8094
30 65 300 5.8330 1.4529
30 70 300 5.0579 1.1255
30 75 300 4.6244 1.0037
40 10 300 29.7621 5.3583
40 15 300 26.4059 4.7807
40 20 300 23.6080 4.5549
40 25 300 20.3682 4.2173
40 30 300 17.3907 3.7945
40 35 300 14.9235 3.6551
40 40 300 12.6652 3.2360
40 45 300 10.5668 2.7610
40 50 300 8.6506 2.2346
40 55 300 6.6959 1.8780
40 5 300 32.5362 5.7578
40 60 300 5.2380 1.4392
40 65 300 4.1434 1.1579
40 70 300 3.5032 0.9743
40 75 300 3.1099 0.8836
50 10 300 18.8120 3.8098
50 15 300 16.7064 3.5028
50 20 300 14.7766 3.2195
50 25 300 13.0691 3.0028
50 30 300 11.4217 2.8023
50 35 300 9.9141 2.5776
50 40 300 8.5840 2.3895
50 45 300 7.1948 1.9317
50 50 300 5.8474 1.6981
50 55 300 4.5424 1.3436
50 5 300 21.1004 3.9525
50 60 300 3.4987 1.1310
50 65 300 2.7522 0.8600
50 70 300 2.3397 0.7699
50 75 300 2.0426 0.7037
55 10 300 14.7521 3.0430
55 15 300 12.9910 3.0471
55 20 300 11.4169 2.7150
55 25 300 10.0268 2.4613
55 30 300 8.6587 2.1434
55 35 300 7.6753 2.1026
55 40 300 6.6505 1.8972
55 45 300 5.5944 1.6013
55 50 300 4.5084 1.3372
55 55 300 3.5620 1.1685
55 5 300 16.7772 3.3497
55 60 300 2.7030 0.9054
55 65 300 2.1885 0.7360
55 70 300 1.8121 0.6326
55 75 300 1.6483 0.5994
60 10 300 12.0298 2.5975
60 15 300 10.1257 2.2827
60 20 300 8.9037 2.1002
60 25 300 7.7640 1.9474
60 30 300 6.7030 1.7374
60 35 300 5.8058 1.6565
60 40 300 4.9943 1.3598
60 45 300 4.1481 1.2567
60 50 300 3.4428 1.1050
60 55 300 2.6903 0.9283
60 5 300 13.9475 2.9273
60 60 300 2.1067 0.7784
60 65 300 1.7277 0.7070
60 70 300 1.4529 0.6272
60 75 300 1.2871 0.5083
65 10 300 10.3223 2.0429
65 15 300 8.6591 1.8888
65 20 300 7.2875 1.7044
65 25 300 6.2898 1.4702
65 30 300 5.4384 1.4349
65 35 300 4.6823 1.2779
65 40 300 3.9658 1.1684
65 45 300 3.3097 1.0352
65 50 300 2.6634 0.8711
65 55 300 2.0991 0.7872
65 5 300 12.1507 2.3409
65 60 300 1.6578 0.6390
65 65 300 1.3294 0.6000
65 70 300 1.1659 0.5355
65 75 300 1.0585 0.5288
70 10 300 9.3963 1.7248
70 15 300 7.7700 1.4111
70 20 300 6.5686 1.4226
70 25 300 5.4988 1.1943
70 30 300 4.6775 1.1194
70 35 300 3.9776 1.0678
70 40 300 3.2288 0.9253
70 45 300 2.7047 0.8697
70 50 300 2.1758 0.8000
70 55 300 1.7454 0.6559
70 5 300 11.2983 1.9779
70 60 300 1.4129 0.6141
70 65 300 1.1231 0.5260
70 70 300 0.9232 0.4901
70 75 300 0.8074 0.4447
75 10 300 9.0631 1.3805
75 15 300 7.5483 1.2278
75 20 300 6.2377 1.1053
75 25 300 5.2133 1.0954
75 30 300 4.3351 0.9767
75 35 300 3.5817 0.9655
75 40 300 2.8642 0.8913
75 45 300 2.3158 0.7598
75 50 300 1.8630 0.6316
75 55 300 1.5197 0.6337
75 5 300 11.0240 1.7063
75 60 300 1.1767 0.5229
75 65 300 0.9379 0.4887
75 70 300 0.7726 0.4105
75 75 300 0.5839 0.3830
15 10 300 72.4674 6.3684
15 15 300 63.0656 6.4412
15 20 300 54.3567 6.2809
15 25 300 46.2751 6.2184
15 30 300 38.8728 5.9430
15 35 300 32.8710 5.4573
15 40 300 26.7886 5.0270
15 45 300 21.8324 4.1158
15 50 300 17.5746 3.4864
15 55 300 13.5481 2.9814
15 5 300 81.6611 7.3911
15 60 300 10.7427 2.3305
15 65 300 8.9560 1.8043
15 70 300 7.9426 1.3576
15 75 300 7.5363 1.1146
25 10 300 52.0183 6.9566
25 15 300 46.2349 6.4409
25 20 300 40.0996 5.9453
25 25 300 34.2716 5.6028
25 30 300 29.1864 5.2844
25 35 300 24.4304 4.9774
25 40 300 20.4568 4.1279
25 45 300 16.8531 3.4670
25 50 300 13.4748 3.0664
25 55 300 10.3845 2.4544
25 5 300 57.9931 7.8149
25 60 300 8.1452 2.0176
25 65 300 6.6963 1.5083
25 70 300 5.9997 1.2109
25 75 300 5.4935 0.9888
35 10 300 35.6691 6.1102
35 15 300 32.0458 5.4471
35 20 300 28.1996 4.9749
35 25 300 24.5012 4.6551
35 30 300 20.9475 4.4666
35 35 300 17.8237 4.1311
35 40 300 15.1452 3.6063
35 45 300 12.4358 3.1143
35 50 300 10.0922 2.6091
35 55 300 7.9287 1.9943
35 5 300 40.2930 6.5803
35 60 300 6.1321 1.6645
35 65 300 4.9243 1.3091
35 70 300 4.3080 1.1564
35 75 300 3.8775 0.9558
45 10 300 23.7493 4.5408
45 15 300 21.2341 4.1615
45 20 300 18.8874 3.7399
45 25 300 16.4008 3.6041
45 30 300 14.4596 3.2869
45 35 300 12.6070 3.1516
45 40 300 10.6131 2.7734
45 45 300 8.9848 2.4250
45 50 300 7.2652 2.0085
45 55 300 5.6648 1.6497
45 5 300 26.2680 4.9598
45 60 300 4.2609 1.3040
45 65 300 3.4388 1.0012
45 70 300 2.8751 0.8953
45 75 300 2.5490 0.8650
5 10 300 96.2260 5.9203
5 15 300 82.4753 6.5494
5 20 300 69.5352 7.7580
5 25 300 58.0342 8.0168
5 30 300 48.4884 7.4202
5 35 300 40.6377 6.4902
5 40 300 33.2752 6.0176
5 45 300 26.8837 5.0077
5 50 300 21.5184 4.4696
5 55 300 16.6159 3.5303
5 5 300 111.1659 4.4249
5 60 300 13.1912 2.7756
5 65 300 11.1648 2.1448
5 70 300 10.0190 1.6263
5 75 300 9.5389 1.3502
