Por T TCmean TCstd
10 300 85.4306 4.9850
15 300 65.4258 5.2903
20 300 49.2114 5.1088
25 300 37.1204 4.3945
30 300 27.4898 3.7768
35 300 20.0880 3.2066
3 300 123.4092 3.0774
40 300 13.9966 2.6459
45 300 9.5470 2.1103
50 300 5.8004 1.5937
55 300 3.3552 1.1096
5 300 111.1716 3.6946
60 300 2.0035 0.7679
65 300 1.2159 0.5315
70 300 0.7101 0.3655
75 300 0.3928 0.2316
80 300 0.1948 0.1401
85 300 0.0815 0.0604
90 300 0.0480 0.0335
10 500 50.0698 2.1458
15 500 40.1220 2.5643
20 500 31.5660 2.5134
25 500 24.5479 2.4451
30 500 18.8435 2.2061
35 500 14.2274 1.9215
3 500 67.3975 1.1408
40 500 10.3464 1.7339
45 500 7.1602 1.4112
50 500 4.5380 1.0592
55 500 2.7786 0.7461
5 500 62.0325 1.5422
60 500 1.6930 0.5125
65 500 1.0829 0.3725
70 500 0.6881 0.2722
75 500 0.4214 0.1856
80 500 0.2510 0.1313
85 500 0.1612 0.1016
90 500 0.1325 0.0894
10 700 28.2899 1.5018
15 700 22.0427 1.6468
20 700 17.1865 1.5558
25 700 13.3846 1.5172
30 700 10.3833 1.3523
35 700 7.9945 1.1861
3 700 41.4265 1.0667
40 700 5.9398 1.1078
45 700 4.2131 0.9191
50 700 2.6702 0.7164
55 700 1.6007 0.4837
5 700 36.9434 1.2782
60 700 0.9695 0.3279
65 700 0.6250 0.2304
70 700 0.4087 0.1676
75 700 0.2598 0.1099
80 700 0.1649 0.0698
85 700 0.1073 0.0346
90 700 0.0807 0.0127
10 900 21.9553 1.0540
15 900 17.1123 1.1889
20 900 13.2138 1.1318
25 900 10.1443 1.0676
30 900 7.7056 0.9398
35 900 5.7780 0.8012
3 900 31.2519 0.6416
40 900 4.1945 0.7108
45 900 2.9186 0.5741
50 900 1.8769 0.4381
55 900 1.1678 0.3151
5 900 28.2392 0.8338
60 900 0.7228 0.2196
65 900 0.4731 0.1583
70 900 0.3146 0.1155
75 900 0.2071 0.0768
80 900 0.1414 0.0544
85 900 0.1093 0.0432
90 900 0.1008 0.0399
