N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 -1.146811580E-01 -1.132879270E-01 -1.142372540E-01 -1.158623430E-01
1.600000000E+01 2.940622800E-02 2.952023500E-02 2.919138500E-02 2.891241800E-02
1.700000000E+01 6.231246400E-02 6.229663900E-02 6.104868000E-02 6.152243000E-02
1.549996187E+01 9.693188000E-03 9.030252000E-03 9.625962000E-03 9.777769000E-03
1.649996187E+01 4.762611200E-02 4.854086800E-02 4.868218200E-02 4.879846800E-02
1.674996808E+01 5.744779200E-02 5.637940100E-02 5.708967600E-02 5.698547800E-02
1.624993176E+01 3.769684800E-02 3.806334200E-02 3.804357900E-02 3.770273200E-02
1.574996808E+01 2.294434700E-02 2.304417100E-02 2.233147400E-02 2.290084500E-02
1.524993176E+01 -2.892990200E-02 -2.756460500E-02 -2.747532400E-02 -2.825976700E-02
