name time T kT_1 I
01RV 01rv.dat 292.1 39.69 2.306E-006
02RV 02rv.dat 292.1 39.69 2.292E-006
03RV 03rv.dat 555 20.89 2.282E-006
04RV 04rv.dat 294.1 39.42 2.682E-006
05RV 05rv.dat 293.8 39.46 2.706E-006
06RV 06rv.dat 295.1 39.29 2.873E-006
07RV 07rv.dat 295 39.3 2.879E-006
08RV 08rv.dat 295 39.3 2.876E-006
09RV 09rv.dat 297.6 38.96 3.124E-006
10RV 10rv.dat 297.5 38.97 3.125E-006
11RV 11rv.dat 297.5 38.97 3.131E-006
12RV 12rv.dat 300.1 38.63 3.394E-006
13RV 13rv.dat 300 38.65 3.396E-006
14RV 14rv.dat 302.6 38.32 3.540E-006
15RV 15rv.dat 302.5 38.33 3.460E-006
16RV 16rv.dat 302.5 38.33 3.677E-006
17RV 17rv.dat 305.1 38 3.774E-006
18RV 18rv.dat 305 38.01 3.801E-006
19RV 19rv.dat 305 38.01 3.701E-006
20RV 20rv.dat 307.5 37.7 4.041E-006
21RV 21rv.dat 307.5 37.7 4.048E-006
22RV 22rv.dat 307.5 37.7 4.126E-006
23RV 23rv.dat 310 37.4 4.280E-006
24RV 24rv.dat 310 37.4 4.311E-006
25RV 25rv.dat 310 37.4 4.186E-006
26RV 26rv.dat 312.6 37.09 4.472E-006
27RV 27rv.dat 312.5 37.1 4.469E-006
28RV 28rv.dat 312.5 37.1 4.580E-006
29RV 29rv.dat 315 36.81 4.570E-006
30RV 30rv.dat 315 36.81 4.572E-006
31RV 31rv.dat 315 36.81 4.443E-006
32RV 32rv.dat 317.6 36.51 4.814E-006
33RV 33rv.dat 317.5 36.52 4.857E-006
34RV 34rv.dat 317.5 36.52 4.805E-006
35RV 35rv.dat 320.1 36.22 5.236E-006
36RV 36rv.dat 320 36.23 5.264E-006
37RV 37rv.dat 320 36.23 5.306E-006
38RV 38rv.dat 322.5 35.95 5.760E-006
39RV 39rv.dat 322.5 35.95 5.749E-006
40RV 40rv.dat 322.4 35.96 5.728E-006
41RV 41rv.dat 325.1 35.66 6.134E-006
42RV 42rv.dat 325 35.67 6.136E-006
43RV 43rv.dat 325 35.67 6.197E-006
44RV 44rv.dat 327.6 35.39 6.652E-006
45RV 45rv.dat 327.6 35.39 6.786E-006
46RV 46rv.dat 327.5 35.4 6.762E-006
47RV 47rv.dat 330.1 35.12 7.286E-006
48RV 48rv.dat 330.1 35.12 7.484E-006
49RV 49rv.dat 329.9 35.14 7.218E-006
50RV 50rv.dat 332.6 34.86 7.930E-006
51RV 51rv.dat 332.5 34.87 7.829E-006
52RV 52rv.dat 332.6 34.86 8.085E-006
53RV 53rv.dat 332.5 34.87 8.014E-006
54RV 54rv.dat 335 34.61 8.808E-006
55RV 55rv.dat 335.1 34.6 8.719E-006
56RV 56rv.dat 335 34.61 8.874E-006
57RV 57rv.dat 337.5 34.35 9.632E-006
58RV 58rv.dat 337.5 34.35 9.867E-006
59RV 59rv.dat 337.5 34.35 9.828E-006
60RV 60rv.dat 340.1 34.09 1.032E-005
61RV 61rv.dat 340 34.1 1.067E-005
62RV 62rv.dat 339.9 34.11 1.057E-005
