T(K) Nd(cm-3) Mu(cm2/Vs)
362 5.60315E+18 1.12904E+2
474 4.69608E+16 1.49835E+2
270 1.84652E+16 4.53937E+2
231 4.66530E+18 1.84128E+2
355 3.68422E+16 2.62558E+2
414 1.16564E+18 1.20984E+2
318 1.94299E+17 2.34550E+2
320 8.34919E+17 1.72822E+2
290 1.71241E+17 2.68739E+2
232 5.50662E+18 1.80954E+2
233 1.55725E+17 3.45163E+2
313 2.13259E+16 3.48465E+2
496 1.85818E+18 8.88914E+1
351 1.03298E+18 1.50164E+2
461 4.51027E+17 1.22159E+2
322 1.20369E+16 3.49346E+2
388 3.53017E+17 1.62113E+2
340 9.64007E+16 2.44741E+2
257 4.87281E+18 1.65227E+2
396 4.79674E+18 1.03554E+2
259 4.84893E+18 1.63645E+2
410 1.40084E+18 1.18579E+2
493 1.32728E+18 9.41101E+1
260 8.16974E+17 2.13123E+2
459 1.29338E+17 1.45135E+2
444 1.58795E+16 1.81666E+2
262 5.91206E+18 1.58504E+2
499 9.64329E+16 1.28594E+2
370 6.73070E+17 1.52593E+2
481 1.11091E+16 1.55302E+2
476 1.91309E+16 1.55830E+2
384 7.45987E+18 1.02488E+2
477 7.19240E+18 7.89345E+1
241 9.10382E+17 2.24464E+2
354 4.75579E+18 1.17835E+2
445 6.99290E+16 1.63660E+2
327 2.37335E+17 2.17415E+2
387 9.31102E+17 1.36582E+2
310 3.86932E+16 3.27357E+2
481 1.48260E+18 9.57283E+1
491 3.45105E+17 1.15005E+2
441 2.56074E+17 1.42004E+2
427 1.45742E+18 1.12029E+2
222 1.06496E+17 3.97952E+2
408 9.68441E+18 9.32694E+1
238 4.57810E+17 2.61297E+2
236 4.79051E+16 4.57324E+2
228 3.81465E+18 1.90702E+2
234 1.11024E+16 6.18651E+2
423 1.23294E+18 1.16697E+2
373 6.74598E+16 2.24044E+2
337 1.85790E+18 1.41815E+2
376 4.08048E+16 2.34304E+2
493 1.46179E+17 1.26237E+2
446 4.95245E+17 1.26132E+2
451 1.80435E+17 1.43871E+2
227 5.22362E+17 2.65241E+2
388 5.69748E+16 2.13816E+2
286 2.64968E+18 1.59636E+2
372 1.23218E+17 2.05945E+2
287 6.37211E+18 1.43401E+2
213 4.34556E+17 2.91840E+2
390 3.74462E+16 2.20858E+2
478 3.45421E+17 1.19965E+2
487 4.51913E+18 8.08985E+1
219 1.47870E+18 2.25367E+2
370 1.44372E+17 2.02549E+2
242 4.07309E+17 2.63701E+2
396 1.09343E+17 1.90298E+2
416 1.45018E+16 2.08360E+2
479 2.39178E+16 1.52733E+2
299 5.93196E+16 3.21409E+2
432 1.06992E+18 1.16227E+2
436 8.54822E+16 1.66510E+2
245 1.06595E+17 3.61233E+2
250 2.25723E+16 4.94268E+2
460 1.03687E+17 1.48022E+2
236 3.57739E+17 2.78305E+2
491 4.03604E+18 8.10997E+1
319 1.32420E+18 1.58905E+2
288 2.50775E+16 3.92416E+2
450 1.92117E+18 1.00574E+2
352 1.27833E+18 1.44019E+2
243 1.17523E+17 3.54624E+2
250 9.51846E+18 1.59896E+2
277 1.52351E+16 4.47342E+2
382 3.12910E+18 1.14188E+2
216 2.36394E+18 2.12984E+2
395 1.05081E+17 1.92241E+2
422 8.37348E+16 1.76534E+2
360 7.52079E+17 1.54550E+2
269 3.48522E+18 1.63638E+2
353 1.05998E+16 2.95814E+2
272 6.02457E+16 3.65232E+2
486 2.21331E+18 8.89295E+1
497 5.72385E+16 1.34606E+2
212 1.45708E+18 2.32918E+2
419 6.55239E+17 1.31124E+2
273 3.39248E+18 1.61713E+2
332 2.50755E+17 2.11126E+2
277 2.63565E+16 4.12910E+2
334 1.77942E+16 3.15216E+2
228 6.65069E+16 4.36825E+2
454 5.70805E+17 1.20273E+2
327 2.60501E+17 2.13552E+2
470 1.02710E+18 1.04532E+2
335 1.94848E+16 3.10897E+2
451 8.50567E+16 1.56736E+2
464 8.12445E+17 1.10443E+2
