T d154 d184 d214 d244
d 150 180 210 240
290 2.046100000E-05 1.813800000E-05 1.673200000E-05 1.586500000E-05
295 1.815300000E-05 1.616500000E-05 1.486100000E-05 1.409300000E-05
300 1.614000000E-05 1.444500000E-05 1.340500000E-05 1.270400000E-05
305 1.440600000E-05 1.311200000E-05 1.226000000E-05 1.178700000E-05
310 1.299500000E-05 1.209700000E-05 1.168000000E-05 1.151400000E-05
315 1.132300000E-05 1.116400000E-05 1.135300000E-05 1.175500000E-05
320 8.215000000E-06 9.338000000E-06 1.067500000E-05 1.213000000E-05
325 1.602000000E-06 4.822000000E-06 8.178000000E-06 1.144700000E-05
330 1.229200000E-05 1.036400000E-05 9.173000000E-06 8.417000000E-06
335 1.277000000E-05 1.063900000E-05 9.331000000E-06 8.465000000E-06
340 1.523100000E-05 1.250900000E-05 1.079800000E-05 9.668000000E-06
